parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
k_1_2			1.00E-06	1.00E+02		1			
K_1_2			1.00E-06	1.00E+01		1			
k_2_1			1.00E-06	1.00E+02		1			
K_2_1			1.00E-06	1.00E+01		1			
k_3_4			1.00E-06	1.00E+02		1			
K_3_4			1.00E-06	1.00E+01		1			
k_4_3			1.00E-06	1.00E+02		1			
K_4_3			1.00E-06	1.00E+01		1			
k_5_6			1.00E-06	1.00E+02		1			
K_5_6			1.00E-06	1.00E+01		1			
k_6_5			1.00E-06	1.00E+02		1			
K_6_5			1.00E-06	1.00E+01		1			
k_7_8			1.00E-06	1.00E+02		1			
K_7_8			1.00E-06	1.00E+01		1			
k_8_7			1.00E-06	1.00E+02		1			
K_8_7			1.00E-06	1.00E+01		1			
fgf_input			1.00E-06	1.00E+02		1			
r_5_6			1.00E-06	1.00E+02		1			
r_6_5			1.00E-06	1.00E+02		1			
r_5_7			1.00E-06	1.00E+02		1			
r_7_5			1.00E-06	1.00E+02		1			
