observableId	simulationConditionId	simulation	time	noiseParameters	replicateId	datasetId
Sphinga_obs	mutant	0.000795	0	sd_Sphinga_obs	R1	mut_day2
Sphinga_obs	mutant	0.000795	0	sd_Sphinga_obs	R2	mut_day2
Sphinga_obs	mutant	0.000795	0	sd_Sphinga_obs	R3	mut_day2
Sphinga_obs	mutant	0.000795	0	sd_Sphinga_obs	R4	mut_day2
Sphinga_obs	mutant	0.00023808252146852583	2	sd_Sphinga_obs	R1	mut_day4
Sphinga_obs	mutant	0.00023808252146852583	2	sd_Sphinga_obs	R2	mut_day4
Sphinga_obs	mutant	0.00023808252146852583	2	sd_Sphinga_obs	R3	mut_day4
Sphinga_obs	mutant	0.00023808252146852583	2	sd_Sphinga_obs	R4	mut_day4
Cer_obs	mutant	0.822	0	sd_Cer_obs	R1	mut_day2
Cer_obs	mutant	0.822	0	sd_Cer_obs	R2	mut_day2
Cer_obs	mutant	0.822	0	sd_Cer_obs	R3	mut_day2
Cer_obs	mutant	0.822	0	sd_Cer_obs	R4	mut_day2
Cer_obs	mutant	0.8722233694707532	2	sd_Cer_obs	R1	mut_day4
Cer_obs	mutant	0.8722233694707532	2	sd_Cer_obs	R2	mut_day4
Cer_obs	mutant	0.8722233694707532	2	sd_Cer_obs	R3	mut_day4
Cer_obs	mutant	0.8722233694707532	2	sd_Cer_obs	R4	mut_day4
Sphingo_obs	mutant	0.000364	0	sd_Sphingo_obs	R1	mut_day2
Sphingo_obs	mutant	0.000364	0	sd_Sphingo_obs	R2	mut_day2
Sphingo_obs	mutant	0.000364	0	sd_Sphingo_obs	R3	mut_day2
Sphingo_obs	mutant	0.000364	0	sd_Sphingo_obs	R4	mut_day2
Sphingo_obs	mutant	0.0003062581698170869	2	sd_Sphingo_obs	R1	mut_day4
Sphingo_obs	mutant	0.0003062581698170869	2	sd_Sphingo_obs	R2	mut_day4
Sphingo_obs	mutant	0.0003062581698170869	2	sd_Sphingo_obs	E3	mut_day4
Sphingo_obs	mutant	0.0003062581698170869	2	sd_Sphingo_obs	E4	mut_day4
S1P_obs	mutant	2.07	0	sd_S1P_obs	R1	mut_day2
S1P_obs	mutant	2.07	0	sd_S1P_obs	R2	mut_day2
S1P_obs	mutant	2.07	0	sd_S1P_obs	R3	mut_day2
S1P_obs	mutant	2.07	0	sd_S1P_obs	R4	mut_day2
S1P_obs	mutant	2.07	0	sd_S1P_obs	R5	mut_day2
Sphinga_obs	wild_type	0.000732	0	sd_Sphinga_obs	R1	wt_day2
Sphinga_obs	wild_type	0.000732	0	sd_Sphinga_obs	R2	wt_day2
Sphinga_obs	wild_type	0.000732	0	sd_Sphinga_obs	R3	wt_day2
Sphinga_obs	wild_type	0.000732	0	sd_Sphinga_obs	R4	wt_day2
Sphinga_obs	wild_type	0.0001601119722584617	2	sd_Sphinga_obs	R1	wt_day4
Sphinga_obs	wild_type	0.0001601119722584617	2	sd_Sphinga_obs	R2	wt_day4
Sphinga_obs	wild_type	0.0001601119722584617	2	sd_Sphinga_obs	R3	wt_day4
Sphinga_obs	wild_type	0.0001601119722584617	2	sd_Sphinga_obs	R4	wt_day4
Cer_obs	wild_type	0.988	0	sd_Cer_obs	R1	wt_day2
Cer_obs	wild_type	0.988	0	sd_Cer_obs	R2	wt_day2
Cer_obs	wild_type	0.988	0	sd_Cer_obs	R3	wt_day2
Cer_obs	wild_type	0.988	0	sd_Cer_obs	R4	wt_day2
Cer_obs	wild_type	0.6974072504687345	2	sd_Cer_obs	R1	wt_day4
Cer_obs	wild_type	0.6974072504687345	2	sd_Cer_obs	R2	wt_day4
Cer_obs	wild_type	0.6974072504687345	2	sd_Cer_obs	R3	wt_day4
Cer_obs	wild_type	0.6974072504687345	2	sd_Cer_obs	R4	wt_day4
Sphingo_obs	wild_type	0.000395	0	sd_Sphingo_obs	R1	wt_day2
Sphingo_obs	wild_type	0.000395	0	sd_Sphingo_obs	R2	wt_day2
Sphingo_obs	wild_type	0.000395	0	sd_Sphingo_obs	R3	wt_day2
Sphingo_obs	wild_type	0.000395	0	sd_Sphingo_obs	R4	wt_day2
Sphingo_obs	wild_type	0.0002427001845696418	2	sd_Sphingo_obs	R1	wt_day4
Sphingo_obs	wild_type	0.0002427001845696418	2	sd_Sphingo_obs	R2	wt_day4
Sphingo_obs	wild_type	0.0002427001845696418	2	sd_Sphingo_obs	R3	wt_day4
Sphingo_obs	wild_type	0.0002427001845696418	2	sd_Sphingo_obs	R4	wt_day4
S1P_obs	wild_type	1.551	0	sd_S1P_obs	R1	wt_day2
S1P_obs	wild_type	1.551	0	sd_S1P_obs	R2	wt_day2
S1P_obs	wild_type	1.551	0	sd_S1P_obs	R3	wt_day2
S1P_obs	wild_type	1.551	0	sd_S1P_obs	R4	wt_day2
S1P_obs	wild_type	1.551	0	sd_S1P_obs	R5	wt_day2
