observableId	simulationConditionId	measurement	time	datasetId	realDate
y_I_CA	u_CA	225	0	data_CA	2020-03-20
y_I_CA	u_CA	187	1	data_CA	2020-03-21
y_I_CA	u_CA	282	2	data_CA	2020-03-22
y_I_CA	u_CA	462	3	data_CA	2020-03-23
y_I_CA	u_CA	430	4	data_CA	2020-03-24
y_I_CA	u_CA	460	5	data_CA	2020-03-25
y_I_CA	u_CA	901	6	data_CA	2020-03-26
y_I_CA	u_CA	758	7	data_CA	2020-03-27
y_I_CA	u_CA	437	8	data_CA	2020-03-28
y_I_CA	u_CA	757	9	data_CA	2020-03-29
y_I_CA	u_CA	1286	10	data_CA	2020-03-30
y_I_NY	u_NY	2945	0	data_NY	2020-03-20
y_I_NY	u_NY	3400	1	data_NY	2020-03-21
y_I_NY	u_NY	4090	2	data_NY	2020-03-22
y_I_NY	u_NY	5084	3	data_NY	2020-03-23
y_I_NY	u_NY	4797	4	data_NY	2020-03-24
y_I_NY	u_NY	5160	5	data_NY	2020-03-25
y_I_NY	u_NY	7036	6	data_NY	2020-03-26
y_I_NY	u_NY	6999	7	data_NY	2020-03-27
y_I_NY	u_NY	7534	8	data_NY	2020-03-28
y_I_NY	u_NY	7237	9	data_NY	2020-03-29
y_I_NY	u_NY	7015	10	data_NY	2020-03-30
