observableId	simulationConditionId	simulation	time	datasetId	realDate
y_I_CA	u_CA	232.90259817432732	0	data_CA	2020-03-20
y_I_CA	u_CA	271.4853360271253	1	data_CA	2020-03-21
y_I_CA	u_CA	316.4596269224767	2	data_CA	2020-03-22
y_I_CA	u_CA	368.88425526905985	3	data_CA	2020-03-23
y_I_CA	u_CA	429.9933868075959	4	data_CA	2020-03-24
y_I_CA	u_CA	501.2256151087449	5	data_CA	2020-03-25
y_I_CA	u_CA	584.2578235735369	6	data_CA	2020-03-26
y_I_CA	u_CA	681.0446392087888	7	data_CA	2020-03-27
y_I_CA	u_CA	793.8644504219546	8	data_CA	2020-03-28
y_I_CA	u_CA	925.372964005614	9	data_CA	2020-03-29
y_I_CA	u_CA	1078.6657355213915	10	data_CA	2020-03-30
y_I_NY	u_NY	3631.9734930511822	0	data_NY	2020-03-20
y_I_NY	u_NY	3933.774422652228	1	data_NY	2020-03-21
y_I_NY	u_NY	4260.6044141150305	2	data_NY	2020-03-22
y_I_NY	u_NY	4614.530642468502	3	data_NY	2020-03-23
y_I_NY	u_NY	4997.789551950084	4	data_NY	2020-03-24
y_I_NY	u_NY	5412.800497178714	5	data_NY	2020-03-25
y_I_NY	u_NY	5862.180187794238	6	data_NY	2020-03-26
y_I_NY	u_NY	6348.758704246087	7	data_NY	2020-03-27
y_I_NY	u_NY	6875.596499122382	8	data_NY	2020-03-28
y_I_NY	u_NY	7446.002294879638	9	data_NY	2020-03-29
y_I_NY	u_NY	8063.553164594006	10	data_NY	2020-03-30
