parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
K2	K2	log10	0.001	100000	0.09994855801565	1
K_par	K_{par}	log10	0.001	100000	11.4120804594265	1
Ka	Ka	log10	0.001	100000	0.197593940310187	1
Kd	Kd	log10	0.001	100000	0.392497512107474	1
Kf	Kf	log10	0.001	100000	1.13794968361236	1
Kp	Kp	log10	0.001	100000	0.996567464196472	1
Ky	Ky	log10	0.001	100000	0.200364133028272	1
Kz	Kz	log10	0.001	100000	0.303353547057472	1
Vd	Vd	log10	0.001	100000	92.8739300577976	1
Vm2	Vm2	log10	0.001	100000	7.45712445492225	1
Vm3	Vm3	log10	0.001	100000	22.7025248825352	1
Vp	Vp	log10	0.001	100000	2.75685784345759	1
beta_par	beta_{par}	log10	0.001	100000	1.12395230256787	1
epsilon_par	epsilon_{par}	log10	0.001	100000	0.163232195306188	1
init_A_state	init_{A,state}	lin	0	1	0.99999999999996	1
init_Y_state	init_{Y,state}	lin	0	1	0.999348084438687	1
init_Z_state	init_{Z,state}	lin	0	1	0.087920524425504	1
n_par	n_{par}	log10	0.001	100000	4.1025144127497	1
offset	offset	log10	0.001	100000	0.300763662073358	1
scale	scale	log10	0.001	100000	0.658073142979721	1
sigma	sigma	log10	0.001	100000	0.104922918935031	1
v0	v0	log10	0.001	100000	2.31778715779187	1
v1	v1	log10	0.001	100000	1.00488755696677	1
