observableId	preequilibrationConditionId	simulationConditionId	simulation	time	observableParameters	noiseParameters	datasetId
ERB_B1_P_tot		model1_data1	8.88387621921431E-13	1800	EGFR_t	0.1	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	43.5718043105709	1950	EGFR_t	7.4	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	52.1145985039882	2100	EGFR_t	6.8	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	55.7486613742705	2250	EGFR_t	8.9	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	57.8091974066766	2400	EGFR_t	4.7	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	60.0885250712489	2700	EGFR_t	4.7	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	62.5599123936139	3600	EGFR_t	2.5	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	63.3375379783163	4500	EGFR_t	2.4	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	63.6475120605309	5400	EGFR_t	13.1	model1_data1_ERB_B1_P_tot
ERB_B1_P_tot		model1_data1	63.657723259226	9000	EGFR_t	13.1	model1_data1_ERB_B1_P_tot
ERK_PP		model1_data1	2.52423312491575E-11	1800	ERK_t	0.1	model1_data1_ERK_PP
ERK_PP		model1_data1	69.3855801236379	1950	ERK_t	0.46	model1_data1_ERK_PP
ERK_PP		model1_data1	69.0806370662617	2100	ERK_t	1.9	model1_data1_ERK_PP
ERK_PP		model1_data1	67.3562315614362	2250	ERK_t	1.5	model1_data1_ERK_PP
ERK_PP		model1_data1	65.4726536397062	2400	ERK_t	1.2	model1_data1_ERK_PP
ERK_PP		model1_data1	61.7105809137709	2700	ERK_t	3.1	model1_data1_ERK_PP
ERK_PP		model1_data1	52.1279030059724	3600	ERK_t	2.8	model1_data1_ERK_PP
ERK_PP		model1_data1	45.3081820299199	4500	ERK_t	2.9	model1_data1_ERK_PP
ERK_PP		model1_data1	40.6661974926109	5400	ERK_t	3.7	model1_data1_ERK_PP
ERK_PP		model1_data1	33.747577355144	9000	ERK_t	1.5	model1_data1_ERK_PP
AKT_PP		model1_data1	5.29862853957213E-52	1800	AKT_t	0.1	model1_data1_AKT_PP
AKT_PP		model1_data1	46.9128475628656	1950	AKT_t	0.1	model1_data1_AKT_PP
AKT_PP		model1_data1	49.3644152750207	2100	AKT_t	0.36	model1_data1_AKT_PP
AKT_PP		model1_data1	50.0708103111029	2250	AKT_t	0.69	model1_data1_AKT_PP
AKT_PP		model1_data1	50.2875849549111	2400	AKT_t	2.3	model1_data1_AKT_PP
AKT_PP		model1_data1	50.2843567254821	2700	AKT_t	2.1	model1_data1_AKT_PP
AKT_PP		model1_data1	49.8232571479622	3600	AKT_t	1.5	model1_data1_AKT_PP
AKT_PP		model1_data1	49.3838023306466	4500	AKT_t	3.5	model1_data1_AKT_PP
AKT_PP		model1_data1	48.9860095764	5400	AKT_t	2.3	model1_data1_AKT_PP
AKT_PP		model1_data1	47.5709579212551	9000	AKT_t	7.4	model1_data1_AKT_PP
ERB_B1_P_tot		model1_data2	3.36363329625249E-17	1800	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.000528876163967	1950	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.000498882602886	2100	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.000466345782826	2250	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.00045884216035	2400	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.000465416745889	2700	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.000500321469747	3600	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.000534193225367	4500	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.000566166733081	5400	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERB_B1_P_tot		model1_data2	0.000675558959884	9000	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
ERK_PP		model1_data2	5.00383145707368E-154	1800	ERK_t	0.1	model1_data2_ERK_PP
ERK_PP		model1_data2	24.262444854452	1950	ERK_t	3.4	model1_data2_ERK_PP
ERK_PP		model1_data2	31.9517037134021	2100	ERK_t	6.8	model1_data2_ERK_PP
ERK_PP		model1_data2	32.6244225748506	2250	ERK_t	1.9	model1_data2_ERK_PP
