conditionId	conditionName	r23811_k_RPKM2protein	r1525_k_RPKM2protein	r1523_k_RPKM2protein	r99_k_RPKM2protein	r802_k_RPKM2protein	r4126_k_RPKM2protein	r4128_k_RPKM2protein	r5851_k_RPKM2protein	r15777_k_RPKM2protein	r28456_k_RPKM2protein	r598_k_RPKM2protein	r600_k_RPKM2protein	r185_k_RPKM2protein	r5853_k_RPKM2protein	r931_k_RPKM2protein	r23_k_RPKM2protein	r540_k_RPKM2protein	r602_k_RPKM2protein	r604_k_RPKM2protein	r2395_k_RPKM2protein	SP_44511_2	r2399_k_RPKM2protein	r570_k_RPKM2protein	r1682_k_RPKM2protein	r572_k_RPKM2protein	r1_k_RPKM2protein	r17_k_RPKM2protein	r66_k_RPKM2protein	r16447_k_RPKM2protein	r5946_k_RPKM2protein	r28446_k_RPKM2protein	r28448_k_RPKM2protein	r5869_k_RPKM2protein	SP_45182_2	r1535_k_RPKM2protein	r17294_k_RPKM2protein	r17295_k_RPKM2protein	r606_k_RPKM2protein	r608_k_RPKM2protein	r610_k_RPKM2protein	r612_k_RPKM2protein	r518_k_RPKM2protein	r21_k_RPKM2protein	r614_k_RPKM2protein	r5847_k_RPKM2protein	r187_k_RPKM2protein	r1254_k_RPKM2protein	r27_k_RPKM2protein	SP_46396_2	r59_k_RPKM2protein	r1668_k_RPKM2protein	r406_k_RPKM2protein	r408_k_RPKM2protein	r393_k_RPKM2protein	r856_k_RPKM2protein	r193_k_RPKM2protein	r61_k_RPKM2protein	r17805_k_RPKM2protein	r635_k_RPKM2protein	r17845_k_RPKM2protein	r16181_k_RPKM2protein	r17803_k_RPKM2protein	SP_10133_6	r32229_k_RPKM2protein	SP_9054_6	r26582_k_RPKM2protein	SP_9063_6	r59637_k_RPKM2protein	SP_9072_6	r9873_k_RPKM2protein	SP_9090_6	r26436_k_RPKM2protein	SP_9099_6	r26456_k_RPKM2protein	SP_9748_6	r8644_k_RPKM2protein	SP_9117_6	r26480_k_RPKM2protein	SP_9126_6	r26500_k_RPKM2protein	SP_10213_6	r98895_k_RPKM2protein	SP_10221_6	r10220_k_RPKM2protein	SP_9775_6	r10973_k_RPKM2protein	SP_9784_6	r10986_k_RPKM2protein	SP_5440_6	SP_5450_6	r8662_k_RPKM2protein	r5479_k_RPKM2protein	r189_k_RPKM2protein	r1592_k_RPKM2protein	r28450_k_RPKM2protein	r28452_k_RPKM2protein	r28454_k_RPKM2protein	r522_k_RPKM2protein	r524_k_RPKM2protein	r2825_k_RPKM2protein	SP_47728_2	r247_k_RPKM2protein	r928_k_RPKM2protein	r2364_k_RPKM2protein	r215_k_RPKM2protein	r217_k_RPKM2protein	r1878_k_RPKM2protein	SP_47964_2	r1615_k_RPKM2protein	r1617_k_RPKM2protein	r260_k_RPKM2protein	r36_k_RPKM2protein	r34_k_RPKM2protein	r418_k_RPKM2protein	r29_k_RPKM2protein	r428_k_RPKM2protein	r469_k_RPKM2protein	r467_k_RPKM2protein	r1664_k_RPKM2protein	r5481_k_RPKM2protein	r5483_k_RPKM2protein	r471_k_RPKM2protein	r473_k_RPKM2protein	r1621_k_RPKM2protein	r19_k_RPKM2protein	r25_k_RPKM2protein	r18525_k_RPKM2protein	r18527_k_RPKM2protein	r18540_k_RPKM2protein	r424_k_RPKM2protein	r9420_k_RPKM2protein	r1880_k_RPKM2protein	r16376_k_RPKM2protein	r426_k_RPKM2protein	SP_48658_2	SP_48715_2	r686_k_RPKM2protein	r2845_k_RPKM2protein	r812_k_RPKM2protein	r4132_k_RPKM2protein	r415_k_RPKM2protein	SP_49768_2	r2403_k_RPKM2protein	r618_k_RPKM2protein	r1627_k_RPKM2protein
CONTROL_A2058_cellline_01_01	CONTROL-A2058-cellline-01-01	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.0	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	4.75890567477	0.0	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	0.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	0.0	0.09616637979389997	15.573902777799999	0.0	10.6010556606	72.73933728899999	0.149702682837	0.0	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	0.0	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	0.0	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01	TUMOR-A2058-cellline-01-01	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	0.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01_CHIR_265_Conc2_5nM	TUMOR-A2058-cellline-01-01_CHIR-265_Conc2_5nM	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	2.5	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01_CHIR_265_Conc8_0nM	TUMOR-A2058-cellline-01-01_CHIR-265_Conc8_0nM	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	8.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01_CHIR_265_Conc25_0nM	TUMOR-A2058-cellline-01-01_CHIR-265_Conc25_0nM	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	25.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01_CHIR_265_Conc80_0nM	TUMOR-A2058-cellline-01-01_CHIR-265_Conc80_0nM	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	80.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01_CHIR_265_Conc250_0nM	TUMOR-A2058-cellline-01-01_CHIR-265_Conc250_0nM	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	250.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01_CHIR_265_Conc800_0nM	TUMOR-A2058-cellline-01-01_CHIR-265_Conc800_0nM	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	800.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01_CHIR_265_Conc2530_0nM	TUMOR-A2058-cellline-01-01_CHIR-265_Conc2530_0nM	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	2530.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
TUMOR_A2058_cellline_01_01_CHIR_265_Conc8000_0nM	TUMOR-A2058-cellline-01-01_CHIR-265_Conc8000_0nM	18.6564347249	20.7516909609	25.0636290929	21.0678161082	15.9117549947	13.0182117375	16.1674409006	0.642657646429	11.6911962152	17.0727196527	19.379118559000002	2.18921335121	3.80712453981	1.34915457885	2.34215860692	8.628258294510001	96.12511342170001	6.902925225580001	12.5114174009	14.4447977827	8000.0	6.2092678415	12.468357810499999	38.136007431799996	2.47809455536	1.49011509262	0.09616637979389997	15.573902777799999	0.0389361079678	10.6010556606	72.73933728899999	0.149702682837	0.018013718358700002	0.0	1.98460674387	2.8702478637700004	99.8176478426	2.48712645187	5.95853573467	1.8088812536	0.142264279231	1.6756722712799998	38.0749688115	11.8414187786	2.50741324838	23.2097430827	9.358773349	7.714016923200001	0.0	34.3393738073	40.182748806300005	8.22364612236	7.92553901589	4.41331414012	2.9475731775400003	14.768408495	11.3083565447	13.6394791613	9.524059108760001	3.56303132826	10.5120171328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.951781134954	5.10155558215	25.3883981772	3.11619790891	0.70637675912	0.00506458807901	1.04860440949	15.9347335945	0.0394417716661	0.00391144867285	0.0	6.65507127094	4.27674904197	1.59316603712	3.90804102568	5.91300660611	19.4707162056	0.0	47.8305378602	21.711979377800002	7.5803257878	8.589850901819997	16.5567513599	118.887999168	19.6287129591	21.5679806331	20.6928296862	4.52700452437	11.7746935743	0.633021125434	5.24642398932	2.42482327852	20.8306997927	16.577780537	130.443307469	5.71117022373	16.9362716442	11.7021278186	0.767348226735	8.1776421858	21.923240548000003	17.1895364866	7.897411995650001	14.0940224404	0.0	0.0	70.876670742	10.195067717	17.0745997855	12.9938643135	9.36169832722	0.0	14.7530427643	4.1621191928900005	213.452944653
