parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
weight_proliferation_SP_64_6	weight_proliferation_SP_64_6	log10	0.01	100	0.38759956309129	1
weight_proliferation_SP_258_6	weight_proliferation_SP_258_6	log10	0.01	100	1.02307624090232	1
weight_proliferation_SP_259_6	weight_proliferation_SP_259_6	log10	0.01	100	0.694010220695254	1
weight_proliferation_SP_382_6	weight_proliferation_SP_382_6	log10	0.01	100	0.57906901598191	1
weight_proliferation_SP_477_6	weight_proliferation_SP_477_6	log10	0.01	100	2.91995190782593	1
weight_proliferation_SP_478_6	weight_proliferation_SP_478_6	log10	0.01	100	1.11161531706691	1
weight_proliferation_SP_1512_6	weight_proliferation_SP_1512_6	log10	0.01	100	0.444570980630415	1
weight_proliferation_SP_1676_6	weight_proliferation_SP_1676_6	log10	0.01	100	2.5225031714576	1
weight_proliferation_SP_18461_6	weight_proliferation_SP_18461_6	log10	0.01	100	2.61030646635223	1
weight_proliferation_SP_22030_6	weight_proliferation_SP_22030_6	log10	0.01	100	3.33484179726272	1
weight_proliferation_SP_22032_6	weight_proliferation_SP_22032_6	log10	0.01	100	0.709626232077242	1
weight_proliferation_SP_22729_6	weight_proliferation_SP_22729_6	log10	0.01	100	0.79744002857281	1
weight_proliferation_SP_493_6	weight_proliferation_SP_493_6	log10	0.01	100	1.12381986130106	1
weight_proliferation_SP_494_6	weight_proliferation_SP_494_6	log10	0.01	100	0.718249873002296	1
weight_proliferation_SP_495_6	weight_proliferation_SP_495_6	log10	0.01	100	0.158572872112473	1
weight_proliferation_SP_496_6	weight_proliferation_SP_496_6	log10	0.01	100	1.02003022141	1
r1_k_GeneSpecificScaling	r1_k_GeneSpecificScaling	log10	0.01	100	1.0	0
r100_k0	r100_k0	log10	0.01	100	1.47706322702755	1
r10038_k0	r10038_k0	log10	0.01	100	0.773845637753925	1
r10039_k0	r10039_k0	log10	0.01	100	0.538078751573627	1
r10046_k0	r10046_k0	log10	0.01	100	0.987147861701924	1
r10102_k0	r10102_k0	log10	0.01	100	0.279439799446344	1
r10103_k0	r10103_k0	log10	0.01	100	0.731655119449628	1
r10214_kE3	r10214_kE3	log10	0.01	100	1.99004655350565	1
r10214_kE2	r10214_kE2	log10	0.01	100	1.00825113795438	1
r10214_kE1	r10214_kE1	log10	0.01	100	1.0055733983452	1
r10215_k0	r10215_k0	log10	0.01	100	0.739175488217776	1
r10220_k_GeneSpecificScaling	r10220_k_GeneSpecificScaling	log10	0.01	100	1.0	0
r10221_k0	r10221_k0	log10	0.01	100	1.37359217375586	1
r10389_k0	r10389_k0	log10	0.01	100	2.75980146579313	1
r10389_kd	r10389_kd	log10	0.01	100	0.599369073428758	1
r10390_k0	r10390_k0	log10	0.01	100	1.6732545223943	1
r10391_k0	r10391_k0	log10	0.01	100	1.26132502532589	1
r10392_k0	r10392_k0	log10	0.01	100	0.801010141301157	1
r10394_k0	r10394_k0	log10	0.01	100	0.994457492258276	1
r10394_kd	r10394_kd	log10	0.01	100	0.999345825443029	1
r10396_k0	r10396_k0	log10	0.01	100	0.431113445496245	1
r10396_kd	r10396_kd	log10	0.01	100	1.07082198970421	1
r10397_k0	r10397_k0	log10	0.01	100	1.0680876434986	1
r10397_kd	r10397_kd	log10	0.01	100	1.08458136105276	1
r10398_k0	r10398_k0	log10	0.01	100	1.1721266766042	1
r10398_kd	r10398_kd	log10	0.01	100	0.939683428195706	1
r10399_k0	r10399_k0	log10	0.01	100	2.10005695017428	1
r10400_k0	r10400_k0	log10	0.01	100	1.06306675434825	1
r10401_kE3	r10401_kE3	log10	0.01	100	1.01896752957788	1
r10401_kE2	r10401_kE2	log10	0.01	100	1.27205183427253	1
r10401_kE1	r10401_kE1	log10	0.01	100	0.663989725668837	1
r10402_k0	r10402_k0	log10	0.01	100	1.11384280793615	1
r10403_k0	r10403_k0	log10	0.01	100	0.898611973384158	1
r10404_k0	r10404_k0	log10	0.01	100	0.927182365738749	1
r10404_kd	r10404_kd	log10	0.01	100	1.03808439221785	1
r10405_k0	r10405_k0	log10	0.01	100	0.946028641600963	1
r10406_k0	r10406_k0	log10	0.01	100	0.92266073044673	1
r10407_k0	r10407_k0	log10	0.01	100	1.06280806862874	1
r10409_k0	r10409_k0	log10	0.01	100	1.59711484672455	1
r10409_kd	r10409_kd	log10	0.01	100	0.349491766972479	1
r10410_k0	r10410_k0	log10	0.01	100	2.93433324156844	1
r10411_k0	r10411_k0	log10	0.01	100	0.423892042270357	1
r10412_k0	r10412_k0	log10	0.01	100	0.275125529107255	1
r10416_k0	r10416_k0	log10	0.01	100	0.988438230802237	1
r10417_k0	r10417_k0	log10	0.01	100	0.985042781626518	1
r10418_k0	r10418_k0	log10	0.01	100	0.654333479294863	1
r10419_k0	r10419_k0	log10	0.01	100	0.877541265313841	1
r10419_kd	r10419_kd	log10	0.01	100	1.07383064201729	1
r10420_k0	r10420_k0	log10	0.01	100	0.898501309312508	1
r10420_kd	r10420_kd	log10	0.01	100	0.994224989931353	1
r10421_k0	r10421_k0	log10	0.01	100	1.11832483007064	1
r10421_kd	r10421_kd	log10	0.01	100	0.965642378418966	1
r10422_k0	r10422_k0	log10	0.01	100	0.993513506186244	1
r10422_kd	r10422_kd	log10	0.01	100	1.00547474882627	1
r10423_k0	r10423_k0	log10	0.01	100	0.967799901979082	1
r10423_kd	r10423_kd	log10	0.01	100	1.00873355873859	1
r10424_k0	r10424_k0	log10	0.01	100	0.577123145885031	1
r10424_kd	r10424_kd	log10	0.01	100	1.54534091253824	1
r10425_k0	r10425_k0	log10	0.01	100	0.972371821189277	1
r10425_kd	r10425_kd	log10	0.01	100	0.795119370519079	1
r10426_k0	r10426_k0	log10	0.01	100	0.964605633031159	1
r10426_kd	r10426_kd	log10	0.01	100	1.0099267550442	1
r10427_k0	r10427_k0	log10	0.01	100	1.03484428743352	1
r10427_kd	r10427_kd	log10	0.01	100	1.07684102479324	1
r10428_k0	r10428_k0	log10	0.01	100	0.623722463810362	1
r10428_kd	r10428_kd	log10	0.01	100	1.27387082854338	1
r10429_k0	r10429_k0	log10	0.01	100	3.6406070388758	1
r10429_kd	r10429_kd	log10	0.01	100	0.540608733841885	1
r10430_k0	r10430_k0	log10	0.01	100	1.29465264065819	1
r10431_k0	r10431_k0	log10	0.01	100	0.871215795920809	1
r10432_k0	r10432_k0	log10	0.01	100	1.06278732917589	1
r10433_k0	r10433_k0	log10	0.01	100	1.00486420352183	1
r10434_k0	r10434_k0	log10	0.01	100	1.13888214101203	1
r10435_k0	r10435_k0	log10	0.01	100	1.06710864739887	1
r10436_k0	r10436_k0	log10	0.01	100	1.03052842613515	1
r10437_k0	r10437_k0	log10	0.01	100	0.997207426708914	1
r10438_k0	r10438_k0	log10	0.01	100	1.02407896930875	1
r10439_k0	r10439_k0	log10	0.01	100	1.35610421767228	1
r10442_k0	r10442_k0	log10	0.01	100	1.23506568490092	1
r10443_k0	r10443_k0	log10	0.01	100	0.99772732928884	1
r10444_k0	r10444_k0	log10	0.01	100	0.866995208885988	1
r10445_k0	r10445_k0	log10	0.01	100	0.977688783082876	1
r10446_k0	r10446_k0	log10	0.01	100	1.00165186831975	1
r10447_k0	r10447_k0	log10	0.01	100	0.961954645029493	1
r10448_k0	r10448_k0	log10	0.01	100	0.772984363870457	1
r10449_k0	r10449_k0	log10	0.01	100	0.990137990505236	1
r10451_kE3	r10451_kE3	log10	0.01	100	1.05550851653928	1
r10451_kE2	r10451_kE2	log10	0.01	100	0.993115590207045	1
r10451_kE1	r10451_kE1	log10	0.01	100	1.00687964410424	1
r10456_k0	r10456_k0	log10	0.01	100	0.804960465675925	1
r10457_k0	r10457_k0	log10	0.01	100	0.698326065534792	1
r10458_k0	r10458_k0	log10	0.01	100	1.11744649227868	1
r10459_k0	r10459_k0	log10	0.01	100	0.549269330306286	1
r10459_kd	r10459_kd	log10	0.01	100	1.3779340915077	1
r10460_k0	r10460_k0	log10	0.01	100	1.87762531827674	1
r10460_kd	r10460_kd	log10	0.01	100	0.849614065561265	1
r10461_k0	r10461_k0	log10	0.01	100	2.3887548994245	1
r10461_kd	r10461_kd	log10	0.01	100	0.692548545534247	1
r10462_k0	r10462_k0	log10	0.01	100	0.72135294203275	1
r10462_kd	r10462_kd	log10	0.01	100	1.27734834193521	1
r10463_k0	r10463_k0	log10	0.01	100	0.627707310431533	1
r10463_kd	r10463_kd	log10	0.01	100	1.30996487365277	1
r10464_k0	r10464_k0	log10	0.01	100	1.36707294684348	1
r10464_kd	r10464_kd	log10	0.01	100	0.828843592819158	1
r10465_k0	r10465_k0	log10	0.01	100	3.06641154739704	1
r10465_kd	r10465_kd	log10	0.01	100	0.643727582084289	1
r10466_k0	r10466_k0	log10	0.01	100	1.35811313485888	1
r10466_kd	r10466_kd	log10	0.01	100	0.995204171554959	1
r10467_k0	r10467_k0	log10	0.01	100	0.814440709620055	1
r10467_kd	r10467_kd	log10	0.01	100	6.091062129665	1
r10468_k0	r10468_k0	log10	0.01	100	11.1763092216952	1
r10468_kd	r10468_kd	log10	0.01	100	0.496965424082828	1
r10469_k0	r10469_k0	log10	0.01	100	0.905085127013772	1
