plotId	plotName	plotTypeSimulation	plotTypeData	datasetId	xLabel	yLabel
plot1	all_data	ScatterPlot	replicate	data1	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data2	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data3	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data4	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data5	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data6	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data7	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data8	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data9	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data10	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data11	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data12	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data13	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data14	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data15	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data16	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data17	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data18	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data19	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data20	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data21	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data22	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data23	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data24	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data25	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data26	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data27	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data28	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data29	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data30	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data31	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data32	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data33	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data34	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data35	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data36	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data37	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data38	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data39	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data40	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data41	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data42	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data43	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data44	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data45	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data46	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data47	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data48	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data49	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data50	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data51	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data52	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data53	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data54	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data55	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data56	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data57	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data58	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data59	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data60	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data61	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data62	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data63	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data64	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data65	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data66	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data67	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data68	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data69	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data70	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data71	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data72	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data73	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data74	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data75	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data76	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data77	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data78	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data79	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data80	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data81	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data82	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data83	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data84	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data85	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data86	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data87	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data88	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data89	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data90	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data91	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data92	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data93	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data94	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data95	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data96	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data97	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data98	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data99	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data100	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data101	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data102	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data103	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data104	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data105	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data106	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data107	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data108	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data109	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data110	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data111	Measured viability	Simulated viability
plot1	all_data	ScatterPlot	replicate	data112	Measured viability	Simulated viability
