conditionId	conditionName	EGF_0	EGF_rate	EGF_end
condition_step_00_1	EGF 0.1 ng/mL	0.1	0.0	3600
condition_step_00_3	EGF 0.3 ng/mL	0.3	0.0	3600
condition_step_01_0	EGF 1.0 ng/mL	1.0	0.0	3600
condition_step_03_0	EGF 3.0 ng/mL	3.0	0.0	3600
condition_step_10_0	EGF 10.0 ng/mL	10.0	0.0	3600
condition_step_30_0	EGF 30.0 ng/mL	30.0	0.0	3600
condition_pulse_00_1	EGF 0.1 ng/mL	0.1	0.0	60
condition_pulse_00_3	EGF 0.3 ng/mL	0.3	0.0	60
condition_pulse_01_0	EGF 1.0 ng/mL	1.0	0.0	60
condition_pulse_03_0	EGF 3.0 ng/mL	3.0	0.0	60
condition_pulse_10_0	EGF 10.0 ng/mL	10.0	0.0	60
condition_pulse_30_0	EGF 30.0 ng/mL	30.0	0.0	60
condition_ramp_8_3Enegative06	EGF 8.3E-06 ng/mL/s	0.0	8.333333333333334e-06	3600
condition_ramp_8_3Enegative05	EGF 8.3E-05 ng/mL/s	0.0	8.333333333333333e-05	3600
condition_ramp_8_3Enegative04	EGF 8.3E-04 ng/mL/s	0.0	0.0008333333333333333	3600
condition_ramp_8_3Enegative03	EGF 8.3E-03 ng/mL/s	0.0	0.008333333333333333	3600
