observableId	preequilibrationConditionId	simulationConditionId	measurement	time	datasetId
obs_cycA__nuc_median		wt	0.760224341	0	Nucleus
obs_cycA__nuc_median		wt	0.619988707	164.6044632	Nucleus
obs_cycA__nuc_median		wt	0.634750419	329.4838944	Nucleus
obs_cycA__nuc_median		wt	0.673130618	494.6393196	Nucleus
obs_cycA__nuc_median		wt	0.556513665	660.071628	Nucleus
obs_cycA__nuc_median		wt	0.413325805	825.7817088	Nucleus
obs_cycA__nuc_median		wt	0.463515393	991.770588	Nucleus
obs_cycA__nuc_median		wt	0.321803694	1158.039086	Nucleus
obs_cycA__nuc_median		wt	1.018552993	1324.58823	Nucleus
obs_cycA__nuc_median		wt	0.618512546	1491.418908	Nucleus
obs_cycA__nuc_median		wt	0.823699383	1658.532146	Nucleus
obs_cycA__nuc_median		wt	0.535847404	1825.928903	Nucleus
obs_cycA__nuc_median		wt	0.420706612	1993.610066	Nucleus
obs_cycA__nuc_median		wt	0.487133977	2161.576595	Nucleus
obs_cycA__nuc_median		wt	0.453920295	2329.829582	Nucleus
obs_cycA__nuc_median		wt	0.46056307	2498.369918	Nucleus
obs_cycA__nuc_median		wt	0.729962885	2667.198629	Nucleus
obs_cycA__nuc_median		wt	0.439896809	2836.316603	Nucleus
obs_cycA__nuc_median		wt	0.569799119	3005.725003	Nucleus
obs_cycA__nuc_median		wt	0.622202998	3175.424651	Nucleus
obs_cycA__nuc_median		wt	0.340993794	3345.41664	Nucleus
obs_cycA__nuc_median		wt	0.407421159	3515.702065	Nucleus
obs_cycA__nuc_median		wt	0.4900863	3686.281747	Nucleus
obs_cycA__nuc_median		wt	0.581608508	3857.156849	Nucleus
obs_cycA__nuc_median		wt	0.494514785	4028.328328	Nucleus
obs_cycA__nuc_median		wt	0.500419528	4199.797278	Nucleus
obs_cycA__nuc_median		wt	0.289328044	4371.564658	Nucleus
obs_cycA__nuc_median		wt	0.283423398	4543.631561	Nucleus
obs_cycA__nuc_median		wt	0.524776144	4715.999014	Nucleus
obs_cycA__nuc_median		wt	0.305565917	4888.668042	Nucleus
obs_cycA__nuc_median		wt	0.296708852	5061.63974	Nucleus
obs_cycA__nuc_median		wt	0.330660663	5234.915203	Nucleus
obs_cycA__nuc_median		wt	0.296708852	5408.495456	Nucleus
obs_cycA__nuc_median		wt	0.29523269	5582.381594	Nucleus
obs_cycA__nuc_median		wt	0.525514273	5756.574643	Nucleus
obs_cycA__nuc_median		wt	0.305565917	5931.075697	Nucleus
obs_cycA__nuc_median		wt	0.42808742	6105.885919	Nucleus
obs_cycA__nuc_median		wt	0.296708852	6281.006335	Nucleus
obs_cycA__nuc_median		wt	0.34689844	6456.438108	Nucleus
obs_cycA__nuc_median		wt	0.407421159	6632.182332	Nucleus
obs_cycA__nuc_median		wt	0.557989827	6808.240102	Nucleus
obs_cycA__nuc_median		wt	0.386754897	6984.612511	Nucleus
obs_cycA__nuc_median		wt	0.320327532	7161.300724	Nucleus
obs_cycA__nuc_median		wt	0.321803694	7338.305833	Nucleus
obs_cycA__nuc_median		wt	0.386754897	7515.629071	Nucleus
obs_cycA__nuc_median		wt	0.34689844	7693.271464	Nucleus
obs_cycA__nuc_median		wt	0.488610139	7871.234242	Nucleus
