observableId	simulationConditionId	measurement	time	noiseParameters	datasetId
observable_ActiveCases	cond1	1	0	sd_ActiveCases	id1
observable_ActiveCases	cond1	1	1	sd_ActiveCases	id1
observable_ActiveCases	cond1	5	2	sd_ActiveCases	id1
observable_ActiveCases	cond1	9	3	sd_ActiveCases	id1
observable_ActiveCases	cond1	19	5	sd_ActiveCases	id1
observable_ActiveCases	cond1	22	6	sd_ActiveCases	id1
observable_ActiveCases	cond1	25	7	sd_ActiveCases	id1
observable_ActiveCases	cond1	29	8	sd_ActiveCases	id1
observable_ActiveCases	cond1	32	9	sd_ActiveCases	id1
observable_ActiveCases	cond1	43	10	sd_ActiveCases	id1
observable_ActiveCases	cond1	57	12	sd_ActiveCases	id1
observable_ActiveCases	cond1	66	13	sd_ActiveCases	id1
observable_ActiveCases	cond1	75	14	sd_ActiveCases	id1
observable_ActiveCases	cond1	76	15	sd_ActiveCases	id1
observable_ActiveCases	cond1	85	16	sd_ActiveCases	id1
observable_ActiveCases	cond1	81	17	sd_ActiveCases	id1
observable_ActiveCases	cond1	86	18	sd_ActiveCases	id1
observable_ActiveCases	cond1	86	19	sd_ActiveCases	id1
observable_ActiveCases	cond1	88	20	sd_ActiveCases	id1
observable_ActiveCases	cond1	87	21	sd_ActiveCases	id1
observable_ActiveCases	cond1	96	22	sd_ActiveCases	id1
observable_ActiveCases	cond1	111	23	sd_ActiveCases	id1
observable_ActiveCases	cond1	117	24	sd_ActiveCases	id1
observable_ActiveCases	cond1	115	25	sd_ActiveCases	id1
observable_ActiveCases	cond1	119	26	sd_ActiveCases	id1
observable_ActiveCases	cond1	116	27	sd_ActiveCases	id1
observable_ActiveCases	cond1	123	28	sd_ActiveCases	id1
observable_ActiveCases	cond1	139	29	sd_ActiveCases	id1
observable_ActiveCases	cond1	140	30	sd_ActiveCases	id1
observable_ActiveCases	cond1	154	31	sd_ActiveCases	id1
observable_ActiveCases	cond1	182	32	sd_ActiveCases	id1
observable_ActiveCases	cond1	200	33	sd_ActiveCases	id1
observable_ActiveCases	cond1	266	34	sd_ActiveCases	id1
observable_ActiveCases	cond1	266	35	sd_ActiveCases	id1
observable_ActiveCases	cond1	309	36	sd_ActiveCases	id1
observable_ActiveCases	cond1	383	37	sd_ActiveCases	id1
observable_ActiveCases	cond1	460	38	sd_ActiveCases	id1
observable_ActiveCases	cond1	530	39	sd_ActiveCases	id1
observable_ActiveCases	cond1	548	40	sd_ActiveCases	id1
observable_ActiveCases	cond1	584	41	sd_ActiveCases	id1
observable_ActiveCases	cond1	602	42	sd_ActiveCases	id1
observable_ActiveCases	cond1	682	43	sd_ActiveCases	id1
observable_ActiveCases	cond1	718	44	sd_ActiveCases	id1
observable_ActiveCases	cond1	756	45	sd_ActiveCases	id1
observable_ActiveCases	cond1	753	46	sd_ActiveCases	id1
observable_ActiveCases	cond1	791	47	sd_ActiveCases	id1
observable_Cumulative	cond1	1	0	sd_Cumulative	id1
observable_Cumulative	cond1	1	1	sd_Cumulative	id1
observable_Cumulative	cond1	5	2	sd_Cumulative	id1
observable_Cumulative	cond1	9	3	sd_Cumulative	id1
observable_Cumulative	cond1	19	5	sd_Cumulative	id1
observable_Cumulative	cond1	22	6	sd_Cumulative	id1
observable_Cumulative	cond1	25	7	sd_Cumulative	id1
observable_Cumulative	cond1	29	8	sd_Cumulative	id1
observable_Cumulative	cond1	32	9	sd_Cumulative	id1
observable_Cumulative	cond1	44	10	sd_Cumulative	id1
observable_Cumulative	cond1	58	12	sd_Cumulative	id1
observable_Cumulative	cond1	67	13	sd_Cumulative	id1
observable_Cumulative	cond1	81	14	sd_Cumulative	id1
observable_Cumulative	cond1	82	15	sd_Cumulative	id1
observable_Cumulative	cond1	91	16	sd_Cumulative	id1
observable_Cumulative	cond1	98	17	sd_Cumulative	id1
observable_Cumulative	cond1	109	18	sd_Cumulative	id1
observable_Cumulative	cond1	109	19	sd_Cumulative	id1
observable_Cumulative	cond1	120	20	sd_Cumulative	id1
observable_Cumulative	cond1	120	21	sd_Cumulative	id1
observable_Cumulative	cond1	130	22	sd_Cumulative	id1
observable_Cumulative	cond1	145	23	sd_Cumulative	id1
observable_Cumulative	cond1	158	24	sd_Cumulative	id1
observable_Cumulative	cond1	163	25	sd_Cumulative	id1
observable_Cumulative	cond1	174	26	sd_Cumulative	id1
observable_Cumulative	cond1	176	27	sd_Cumulative	id1
observable_Cumulative	cond1	189	28	sd_Cumulative	id1
observable_Cumulative	cond1	214	29	sd_Cumulative	id1
observable_Cumulative	cond1	232	30	sd_Cumulative	id1
observable_Cumulative	cond1	251	31	sd_Cumulative	id1
observable_Cumulative	cond1	283	32	sd_Cumulative	id1
observable_Cumulative	cond1	306	33	sd_Cumulative	id1
observable_Cumulative	cond1	376	34	sd_Cumulative	id1
observable_Cumulative	cond1	376	35	sd_Cumulative	id1
observable_Cumulative	cond1	430	36	sd_Cumulative	id1
observable_Cumulative	cond1	504	37	sd_Cumulative	id1
observable_Cumulative	cond1	582	38	sd_Cumulative	id1
observable_Cumulative	cond1	662	39	sd_Cumulative	id1
observable_Cumulative	cond1	689	40	sd_Cumulative	id1
observable_Cumulative	cond1	731	41	sd_Cumulative	id1
observable_Cumulative	cond1	764	42	sd_Cumulative	id1
observable_Cumulative	cond1	844	43	sd_Cumulative	id1
observable_Cumulative	cond1	931	44	sd_Cumulative	id1
observable_Cumulative	cond1	976	45	sd_Cumulative	id1
observable_Cumulative	cond1	1006	46	sd_Cumulative	id1
observable_Cumulative	cond1	1068	47	sd_Cumulative	id1
