observableId	simulationConditionId	measurement	time	noiseParameters	datasetId
cumulative_cases	interior	1	0	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	0	sd_cumulative_deaths	dataset_
cumulative_cases	interior	2	1	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	1	sd_cumulative_deaths	dataset_
cumulative_cases	interior	2	2	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	2	sd_cumulative_deaths	dataset_
cumulative_cases	interior	2	3	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	3	sd_cumulative_deaths	dataset_
cumulative_cases	interior	2	4	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	4	sd_cumulative_deaths	dataset_
cumulative_cases	interior	3	5	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	5	sd_cumulative_deaths	dataset_
cumulative_cases	interior	3	6	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	6	sd_cumulative_deaths	dataset_
cumulative_cases	interior	4	7	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	7	sd_cumulative_deaths	dataset_
cumulative_cases	interior	4	8	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	8	sd_cumulative_deaths	dataset_
cumulative_cases	interior	5	9	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	9	sd_cumulative_deaths	dataset_
cumulative_cases	interior	6	10	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	10	sd_cumulative_deaths	dataset_
cumulative_cases	interior	9	11	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	11	sd_cumulative_deaths	dataset_
cumulative_cases	interior	10	12	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	12	sd_cumulative_deaths	dataset_
cumulative_cases	interior	12	13	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	13	sd_cumulative_deaths	dataset_
cumulative_cases	interior	16	14	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	14	sd_cumulative_deaths	dataset_
