plotId	plotName	plotTypeData	plotTypeSimulation	xLabel	xScale	yLabel	yScale	legendEntry	yValues	xValues	xOffset	yOffset	datasetId
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	HM, EGF 0, CET 0, Time [min] 0	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_1
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	HM, EGF 0, CET 1, Time [min] 1	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_2
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	HM, EGF 100, CET 0, Time [min] 1	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_3
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	HM, EGF 100, CET 0, Time [min] 5	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_4
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	HM, EGF 100, CET 0, Time [min] 30	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_5
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	HM, EGF 30, CET 0, Time [min] 1	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_6
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	HM, EGF 30, CET 1, Time [min] 1	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_7
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	FM, EGF 0, CET 0, Time [min] 0	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_8
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	FM, EGF 0, CET 1, Time [min] 1	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_9
plot52	MKN1 cell line	MeanAndSD	BarPlot	time [min]	lin	EGFR	lin	FM, EGF 0, CET 1, Time [min] 15	EGFR_ID12_MKN1_FM_HM	condition	0	0	ID12_MKN1_FM_HM_10
