plotId	plotName	plotTypeSimulation	plotTypeData	datasetId	xValues	xOffset	xLabel	yValues	yOffset	yLabel	legendEntry	xScale	yScale
plot1	FACS data - IR1	LinePlot	MeanAndSD	model1_data5_IR1	time	0	Time [au]	observable_IR1	0	conc. [au]	Insulin 100 nM	lin	log10
plot1	FACS data - IR1	LinePlot	MeanAndSD	model1_data6_IR1	time	0	Time [au]	observable_IR1	0	conc. [au]	Insulin 1000 nM	lin	log10
plot1	FACS data - IR1	LinePlot	MeanAndSD	model1_data7_IR1	time	0	Time [au]	observable_IR1	0	conc. [au]	Insulin 10000 nM	lin	log10
plot2	FACS data – IR2	LinePlot	MeanAndSD	model1_data5_IR2	time	0	Time [au]	observable_IR2	0	conc. [au]	Insulin 100 nM	lin	log10
plot2	FACS data – IR2	LinePlot	MeanAndSD	model1_data6_IR2	time	0	Time [au]	observable_IR2	0	conc. [au]	Insulin 1000 nM	lin	log10
plot2	FACS data – IR2	LinePlot	MeanAndSD	model1_data7_IR2	time	0	Time [au]	observable_IR2	0	conc. [au]	Insulin 10000 nM	lin	log10
plot3	FACS data - IRsum	LinePlot	MeanAndSD	model1_data1_IRsum	time	0	Time [au]	observable_IRsum	0	conc. [au]	Insulin 0 nM	lin	log10
plot3	FACS data - IRsum	LinePlot	MeanAndSD	model1_data2_IRsum	time	0	Time [au]	observable_IRsum	0	conc. [au]	Insulin 0.1 nM	lin	log10
plot3	FACS data - IRsum	LinePlot	MeanAndSD	model1_data3_IRsum	time	0	Time [au]	observable_IRsum	0	conc. [au]	Insulin 1 nM	lin	log10
plot3	FACS data - IRsum	LinePlot	MeanAndSD	model1_data4_IRsum	time	0	Time [au]	observable_IRsum	0	conc. [au]	Insulin 10 nM	lin	log10
plot4	ELISA Exp1 – Insulin	LinePlot	MeanAndSD	model1_data8_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 0 nM	lin	log10
plot4	ELISA Exp1 – Insulin	LinePlot	MeanAndSD	model1_data9_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 10 nM	lin	log10
plot4	ELISA Exp1 – Insulin	LinePlot	MeanAndSD	model1_data10_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 10000 nM	lin	log10
plot5	ELISA Exp2 – Insulin	LinePlot	MeanAndSD	model1_data11_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 0 nM	lin	log10
plot5	ELISA Exp2 – Insulin	LinePlot	MeanAndSD	model1_data12_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 10 nM	lin	log10
plot5	ELISA Exp2 – Insulin	LinePlot	MeanAndSD	model1_data13_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 100 nM	lin	log10
plot6	ELISA Exp3 – Insulin	LinePlot	MeanAndSD	model1_data14_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 0 nM	lin	log10
plot6	ELISA Exp3 – Insulin	LinePlot	MeanAndSD	model1_data15_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 10 nM	lin	log10
plot6	ELISA Exp3 – Insulin	LinePlot	MeanAndSD	model1_data16_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 100 nM	lin	log10
plot7	ELISA Exp4 – Insulin	LinePlot	MeanAndSD	model1_data17_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 0 nM	lin	log10
plot7	ELISA Exp4 – Insulin	LinePlot	MeanAndSD	model1_data18_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 10 nM	lin	log10
plot7	ELISA Exp4 – Insulin	LinePlot	MeanAndSD	model1_data19_Insulin	time	0	Time [au]	observable_Insulin	0	conc. [au]	Insulin 10000 nM	lin	log10
