observableId	preequilibrationConditionId	simulationConditionId	simulation	time	observableParameters	noiseParameters
yPKDpN0	model1_data1	model1_data2	0.8888805862740757	0.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.3414135240792084	3.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.4214829226911558	6.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	0.8888805862740757	0.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.3414135240792084	3.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.4214829226911558	6.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	0.8888805862740757	0.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.3414135240792084	3.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.4214829226911558	6.0	scale_yPKDpN0	std_yPKDpN0
yPKDpN24	model1_data1	model1_data2	1.0001870064449365	24.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	8.970292078408768	27.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	7.207912771330243	30.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	1.0001870064449365	24.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	8.970292078408768	27.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	7.207912771330243	30.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	1.0001870064449365	24.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	8.970292078408768	27.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	7.207912771330243	30.0	scale_yPKDpN24	std_yPKDpN24
yPKDpN25	model1_data1	model1_data2	0.07044029948868204	24.0	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.8081706252721496	24.08	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0395288780607264	24.17	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.1581577231689724	24.25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.2130919816078487	24.5	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0214460684607902	25.0	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.07044029948868204	24.0	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.8081706252721496	24.08	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0395288780607264	24.17	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.1581577231689724	24.25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.2130919816078487	24.5	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0214460684607902	25.0	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.07044029948868204	24.0	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.8081706252721496	24.08	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0395288780607264	24.17	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.1581577231689724	24.25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.2130919816078487	24.5	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0214460684607902	25.0	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.8081706252721496	24.08	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0395288780607264	24.17	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.1581577231689724	24.25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.2130919816078487	24.5	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0214460684607902	25.0	scale_yPKDpN25	std_yPKDpN25
yPI4K3BpRN24	model1_data1	model1_data2	1.0802187857788772	24.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.9387327326932482	24.08	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.2960101814401286	24.17	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.3782731940762316	24.25	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.4262824508271787	24.5	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.41317158143404	25.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.309697733574285	27.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.2366758405496894	30.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.0802187857788772	24.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.9387327326932482	24.08	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.2960101814401286	24.17	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.3782731940762316	24.25	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.4262824508271787	24.5	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.41317158143404	25.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.309697733574285	27.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.2366758405496894	30.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.0802187857788772	24.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.2960101814401286	24.17	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.3782731940762316	24.25	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.4262824508271787	24.5	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.41317158143404	25.0	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
