observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId
observable_confirmed_infected		model1_Wuhan_Stage_I	258	15		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	363	16		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	425	17		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	495	18		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	572	19		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	618	20		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	698	21		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	1590	22		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	1905	23		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_I	2261	24		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
observable_confirmed_infected		model1_Wuhan_Stage_II	1905	0		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
