experimentId	time	conditionId
experiment____model1_data1	0	model1_data1
experiment____model1_data10	0	model1_data10
experiment____model1_data11	0	model1_data11
experiment____model1_data12	0	model1_data12
experiment____model1_data14	0	model1_data14
experiment____model1_data15	0	model1_data15
experiment____model1_data16	0	model1_data16
experiment____model1_data17	0	model1_data17
experiment____model1_data18	0	model1_data18
experiment____model1_data2	0	model1_data2
experiment____model1_data20	0	model1_data20
experiment____model1_data21	0	model1_data21
experiment____model1_data22	0	model1_data22
experiment____model1_data25	0	model1_data25
experiment____model1_data26	0	model1_data26
experiment____model1_data29	0	model1_data29
experiment____model1_data3	0	model1_data3
experiment____model1_data30	0	model1_data30
experiment____model1_data32	0	model1_data32
experiment____model1_data33	0	model1_data33
experiment____model1_data34	0	model1_data34
experiment____model1_data35	0	model1_data35
experiment____model1_data36	0	model1_data36
experiment____model1_data37	0	model1_data37
experiment____model1_data38	0	model1_data38
experiment____model1_data39	0	model1_data39
experiment____model1_data4	0	model1_data4
experiment____model1_data40	0	model1_data40
experiment____model1_data41	0	model1_data41
experiment____model1_data44	0	model1_data44
experiment____model1_data46	0	model1_data46
experiment____model1_data47	0	model1_data47
experiment____model1_data48	0	model1_data48
experiment____model1_data49	0	model1_data49
experiment____model1_data5	0	model1_data5
experiment____model1_data50	0	model1_data50
experiment____model1_data51	0	model1_data51
experiment____model1_data52	0	model1_data52
experiment____model1_data53	0	model1_data53
experiment____model1_data54	0	model1_data54
experiment____model1_data55	0	model1_data55
experiment____model1_data58	0	model1_data58
experiment____model1_data6	0	model1_data6
experiment____model1_data60	0	model1_data60
experiment____model1_data61	0	model1_data61
experiment____model1_data62	0	model1_data62
experiment____model1_data63	0	model1_data63
experiment____model1_data64	0	model1_data64
experiment____model1_data65	0	model1_data65
experiment____model1_data66	0	model1_data66
experiment____model1_data67	0	model1_data67
experiment____model1_data68	0	model1_data68
experiment____model1_data69	0	model1_data69
experiment____model1_data72	0	model1_data72
experiment____model1_data73	0	model1_data73
experiment____model1_data74	0	model1_data74
experiment____model1_data75	0	model1_data75
experiment____model1_data76	0	model1_data76
experiment____model1_data77	0	model1_data77
experiment____model1_data78	0	model1_data78
experiment____model1_data79	0	model1_data79
experiment____model1_data8	0	model1_data8
experiment____model1_data80	0	model1_data80
experiment____model1_data81	0	model1_data81
experiment____model1_data82	0	model1_data82
experiment____model1_data83	0	model1_data83
experiment____model1_data85	0	model1_data85
experiment____model1_data86	0	model1_data86
experiment____model1_data87	0	model1_data87
experiment____model1_data88	0	model1_data88
experiment____model1_data89	0	model1_data89
experiment____model1_data9	0	model1_data9
experiment____model1_data90	0	model1_data90
