parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
init_Cells	init_Cells	0.1	1000.0	1.0	false	
init_Cells_Cycle_G2_rel	init_Cells_Cycle_G2_rel	0.0	1.0	0.4	false	
init_Cells_Cycle_S_rel	init_Cells_Cycle_S_rel	0.0	1.0	0.5	false	
init_Space	init_Space	1e-05	1000.0	100.0	false	
k_apo_dsb_g2	k_apo_dsb_g2	1e-05	1000.0	1e-05	false	
k_apo_dsb_s	k_apo_dsb_s	1e-05	1000.0	1e-05	false	
k_apo_ssb	k_apo_ssb	1e-05	1000.0	1e-05	false	
k_cyc_arr_chk1	k_cyc_arr_chk1	1.0	1000.0	999.9999999999314	false	
k_cyc_arr_chk2	k_cyc_arr_chk2	1.0	1000.0	1000.0	false	
k_damage_dox_dsb	k_damage_dox_dsb	1.0	1000.0	214.76028158340145	true	
k_damage_gem_ssb	k_damage_gem_ssb	1.0	1000.0	49.87004701128138	true	
k_damage_sn38_ssb	k_damage_sn38_ssb	1.0	1000.0	174.43473709802518	true	
k_death	k_death	0.01	1.0	0.10317784266317824	false	
k_death_delay	k_death_delay	0.01	1.0	0.14104161220660824	false	
k_death_reox	k_death_reox	0.01	1.0	0.03412462375216097	true	
k_dox_apo	k_dox_apo	0.01	0.1	0.04880099644550196	true	
k_dox_kd	k_dox_kd	1e-05	1000.0	0.3564511334262443	false	
k_lyse	k_lyse	1e-05	1000.0	10.0	false	
k_rep_hr	k_rep_hr	1e-05	1.0	1.000000000000092e-05	true	
k_rep_nhej	k_rep_nhej	1e-05	1.0	0.32419762816439085	true	
k_rep_nhej_sat	k_rep_nhej_sat	1e-05	1.0	0.006867002980361337	true	
k_rep_s	k_rep_s	1e-05	1.0	1.000000000000092e-05	true	
k_ssb_to_dsb	k_ssb_to_dsb	1e-05	1.0	0.03049962682347336	true	
k_ssb_to_dsb_sn38	k_ssb_to_dsb_sn38	1e-05	1000.0	999.999674332203	true	
kt	kt	0.1	1.0	0.18739209303744497	true	
kt_apo	kt_apo	0.01	1.0	0.12350156944465318	false	
p_atm_act_dsb	p_atm_act_dsb	0.01	1.0	0.9999999999999243	true	
p_atr_act_atm	p_atr_act_atm	0.01	1.0	0.09021825700580331	true	
p_atr_act_ssb	p_atr_act_ssb	0.01	1.0	0.07918341948722293	true	
p_chk1_act	p_chk1_act	0.01	10.0	8.432499250969515	true	
p_chk1_dea_wip1	p_chk1_dea_wip1	0.01	10.0	9.999999988851322	true	
p_chk2_act	p_chk2_act	0.01	10.0	6.893081978138526	true	
p_chk2_dea_wip1	p_chk2_dea_wip1	0.01	10.0	9.999999999999195	true	
p_dnapk_act	p_dnapk_act	0.01	10.0	9.999997649241926	true	
p_dnapk_dea_wip1	p_dnapk_dea_wip1	0.01	10.0	6.588069227084837	true	
p_h2ax_act_atm	p_h2ax_act_atm	1e-05	1000.0	0.0013544454800986025	true	
p_h2ax_act_atr	p_h2ax_act_atr	1e-05	1000.0	0.005377641612290161	true	
p_h2ax_act_dnapk	p_h2ax_act_dnapk	1e-05	1000.0	1.0000000000096242e-05	true	
p_h2ax_dea	p_h2ax_dea	1e-05	1000.0	1.0000346614441236e-05	true	
p_mrna_exp_inh_dox	p_mrna_exp_inh_dox	1.0	1000.0	999.999999999908	true	
p_mrna_exp_inh_dox_kd	p_mrna_exp_inh_dox_kd	0.01	10.0	0.3564511794976623	false	
p_p21_mrna_turn	p_p21_mrna_turn	0.01	1.0	0.10935440467323092	true	
