experimentId	observableId	measurement	time	noiseParameters	replicateId	datasetId
experiment____wild_type	Sphinga_obs	0.000806	0	sd_Sphinga_obs	R1	wt_day2
experiment____wild_type	Sphinga_obs	0.000618	0	sd_Sphinga_obs	R2	wt_day2
experiment____wild_type	Sphinga_obs	0.000675	0	sd_Sphinga_obs	R3	wt_day2
experiment____wild_type	Sphinga_obs	0.000828	0	sd_Sphinga_obs	R4	wt_day2
experiment____wild_type	Sphinga_obs	0.000176620209326007	2	sd_Sphinga_obs	R1	wt_day4
experiment____wild_type	Sphinga_obs	0.000144832895774474	2	sd_Sphinga_obs	R2	wt_day4
experiment____wild_type	Sphinga_obs	0.000137134901470714	2	sd_Sphinga_obs	R3	wt_day4
experiment____wild_type	Sphinga_obs	0.000181912527619117	2	sd_Sphinga_obs	R4	wt_day4
experiment____wild_type	Cer_obs	1.02701422984826	0	sd_Cer_obs	R1	wt_day2
experiment____wild_type	Cer_obs	0.886288740504458	0	sd_Cer_obs	R2	wt_day2
experiment____wild_type	Cer_obs	0.945776256657445	0	sd_Cer_obs	R3	wt_day2
experiment____wild_type	Cer_obs	1.09426905460355	0	sd_Cer_obs	R4	wt_day2
experiment____wild_type	Cer_obs	0.612244538629556	2	sd_Cer_obs	R1	wt_day4
experiment____wild_type	Cer_obs	0.665790676225569	2	sd_Cer_obs	R2	wt_day4
experiment____wild_type	Cer_obs	0.712634629073372	2	sd_Cer_obs	R3	wt_day4
experiment____wild_type	Cer_obs	0.641981159099886	2	sd_Cer_obs	R4	wt_day4
experiment____wild_type	Sphingo_obs	0.000384239736109822	0	sd_Sphingo_obs	R1	wt_day2
experiment____wild_type	Sphingo_obs	0.000391938220558207	0	sd_Sphingo_obs	R2	wt_day2
experiment____wild_type	Sphingo_obs	0.000371485514201383	0	sd_Sphingo_obs	R3	wt_day2
experiment____wild_type	Sphingo_obs	0.000431025477692304	0	sd_Sphingo_obs	R4	wt_day2
experiment____wild_type	Sphingo_obs	0.000334877541530201	2	sd_Sphingo_obs	R1	wt_day4
experiment____wild_type	Sphingo_obs	0.000231658738329562	2	sd_Sphingo_obs	R2	wt_day4
experiment____wild_type	Sphingo_obs	0.000203229934963182	2	sd_Sphingo_obs	R3	wt_day4
experiment____wild_type	Sphingo_obs	0.000227793942150799	2	sd_Sphingo_obs	R4	wt_day4
experiment____wild_type	S1P_obs	1.421	0	sd_S1P_obs	R1	wt_day2
experiment____wild_type	S1P_obs	1.682	0	sd_S1P_obs	R2	wt_day2
experiment____wild_type	S1P_obs	1.614	0	sd_S1P_obs	R3	wt_day2
experiment____wild_type	S1P_obs	1.498	0	sd_S1P_obs	R4	wt_day2
experiment____wild_type	S1P_obs	1.541	0	sd_S1P_obs	R5	wt_day2
experiment____mutant	Sphinga_obs	0.000818	0	sd_Sphinga_obs	R1	mut_day2
experiment____mutant	Sphinga_obs	0.000761	0	sd_Sphinga_obs	R2	mut_day2
experiment____mutant	Sphinga_obs	0.000766	0	sd_Sphinga_obs	R3	mut_day2
experiment____mutant	Sphinga_obs	0.000835	0	sd_Sphinga_obs	R4	mut_day2
experiment____mutant	Sphinga_obs	0.000243420646439453	2	sd_Sphinga_obs	R1	mut_day4
experiment____mutant	Sphinga_obs	0.000239502545840865	2	sd_Sphinga_obs	R2	mut_day4
experiment____mutant	Sphinga_obs	0.000234873603648106	2	sd_Sphinga_obs	R3	mut_day4
experiment____mutant	Sphinga_obs	0.000233253355552097	2	sd_Sphinga_obs	R4	mut_day4
experiment____mutant	Cer_obs	0.892791183665478	0	sd_Cer_obs	R1	mut_day2
experiment____mutant	Cer_obs	0.677804963784483	0	sd_Cer_obs	R2	mut_day2
experiment____mutant	Cer_obs	0.857649492135442	0	sd_Cer_obs	R3	mut_day2
experiment____mutant	Cer_obs	0.857816589043671	0	sd_Cer_obs	R4	mut_day2
experiment____mutant	Cer_obs	0.877785182287324	2	sd_Cer_obs	R1	mut_day4
experiment____mutant	Cer_obs	1.02057671816819	2	sd_Cer_obs	R2	mut_day4
experiment____mutant	Cer_obs	0.96666151369505	2	sd_Cer_obs	R3	mut_day4
experiment____mutant	Cer_obs	0.827292874601032	2	sd_Cer_obs	R4	mut_day4
experiment____mutant	Sphingo_obs	0.000417035014112306	0	sd_Sphingo_obs	R1	mut_day2
experiment____mutant	Sphingo_obs	0.000366195755858261	0	sd_Sphingo_obs	R2	mut_day2
experiment____mutant	Sphingo_obs	0.0003291610891578	0	sd_Sphingo_obs	R3	mut_day2
experiment____mutant	Sphingo_obs	0.000341631934155604	0	sd_Sphingo_obs	R4	mut_day2
experiment____mutant	Sphingo_obs	0.000323262438726203	2	sd_Sphingo_obs	R1	mut_day4
experiment____mutant	Sphingo_obs	0.000316663676062039	2	sd_Sphingo_obs	R2	mut_day4
experiment____mutant	Sphingo_obs	0.000279704837681421	2	sd_Sphingo_obs	E3	mut_day4
experiment____mutant	Sphingo_obs	0.000242795904444989	2	sd_Sphingo_obs	E4	mut_day4
experiment____mutant	S1P_obs	2.128	0	sd_S1P_obs	R1	mut_day2
experiment____mutant	S1P_obs	2.143	0	sd_S1P_obs	R2	mut_day2
experiment____mutant	S1P_obs	1.565	0	sd_S1P_obs	R3	mut_day2
experiment____mutant	S1P_obs	2.275	0	sd_S1P_obs	R4	mut_day2
experiment____mutant	S1P_obs	2.238	0	sd_S1P_obs	R5	mut_day2
