parameterId	lowerBound	upperBound	nominalValue	estimate	priorParameters
k00	0.001	1000.0	0.23808250425876593	true	
k0	0.001	1000.0	999.9999277151477	true	
k_d	0.001	1000.0	0.9067726310954474	true	
k1	0.001	1000.0	0.30112832513704085	true	
k2	0.001	1000.0	999.9972374722311	true	
k3	0.001	1000.0	0.0010000471839981641	true	
k4	0.001	1000.0	2.3616885412588227	true	
k5	0.001	1000.0	0.0010007718402407393	true	
alpha_hai1a	0.5	0.999	0.5000000538784732	true	
alpha_cer	-0.999	-0.001	-0.32749379807106804	true	
sd_Sphinga_obs	0.001	1000.0	0.08812927862352599	true	
sd_Cer_obs	0.001	1000.0	0.09173161721376666	true	
sd_Sphingo_obs	0.001	1000.0	0.13184193616921516	true	
sd_S1P_obs	0.001	1000.0	0.0974467251675001	true	
