conditionId	targetId	targetValue
model1_data1	ActD	1.0
model1_data2	ActD	1.0
model1_data3	ActD	1.0
model1_data4	ActD	1.0
model1_data5	ActD	0.0
model1_data6	ActD	1.0
model1_data7	ActD	1.0
model1_data8	ActD	1.0
model1_data9	ActD	1.0
model1_data10	ActD	1.0
model1_data11	ActD	1.0
model1_data12	ActD	1.0
model1_data13	ActD	1.0
model1_data14	ActD	1.0
model1_data15	ActD	1.0
model1_data16	ActD	1.0
model1_data17	ActD	1.0
model1_data18	ActD	1.0
model1_data19	ActD	1.0
model1_data20	ActD	1.0
model1_data21	ActD	1.0
model1_data22	ActD	1.0
model1_data23	ActD	1.0
model1_data24	ActD	1.0
model1_data25	ActD	1.0
model1_data26	ActD	1.0
model1_data27	ActD	1.0
model1_data30	ActD	1.0
model1_data31	ActD	1.0
model1_data32	ActD	1.0
model1_data33	ActD	1.0
model1_data38	ActD	1.0
model1_data39	ActD	1.0
model1_data40	ActD	1.0
model1_data41	ActD	1.0
model1_data42	ActD	1.0
model1_data1	CISoe	0.0
model1_data2	CISoe	0.0
model1_data3	CISoe	0.0
model1_data4	CISoe	0.0
model1_data5	CISoe	0.0
model1_data6	CISoe	0.0
model1_data7	CISoe	0.0
model1_data8	CISoe	1.0
model1_data9	CISoe	0.0
model1_data10	CISoe	1.0
model1_data11	CISoe	0.0
model1_data12	CISoe	0.0
model1_data13	CISoe	0.0
model1_data14	CISoe	0.0
model1_data15	CISoe	0.0
model1_data16	CISoe	0.0
model1_data17	CISoe	0.0
model1_data18	CISoe	0.0
model1_data19	CISoe	0.0
model1_data20	CISoe	0.0
model1_data21	CISoe	0.0
model1_data22	CISoe	0.0
model1_data23	CISoe	0.0
model1_data24	CISoe	0.0
model1_data25	CISoe	0.0
model1_data26	CISoe	0.0
model1_data27	CISoe	0.0
model1_data30	CISoe	0.0
model1_data31	CISoe	0.0
model1_data32	CISoe	0.0
model1_data33	CISoe	0.0
model1_data38	CISoe	0.0
model1_data39	CISoe	0.0
model1_data40	CISoe	0.0
model1_data41	CISoe	0.0
model1_data42	CISoe	0.0
model1_data1	SOCS3oe	0.0
model1_data2	SOCS3oe	0.0
model1_data3	SOCS3oe	0.0
model1_data4	SOCS3oe	0.0
model1_data5	SOCS3oe	0.0
model1_data6	SOCS3oe	0.0
model1_data7	SOCS3oe	0.0
model1_data8	SOCS3oe	0.0
model1_data9	SOCS3oe	0.0
model1_data10	SOCS3oe	0.0
model1_data11	SOCS3oe	0.0
model1_data12	SOCS3oe	1.0
model1_data13	SOCS3oe	0.0
model1_data14	SOCS3oe	0.0
model1_data15	SOCS3oe	0.0
model1_data16	SOCS3oe	0.0
model1_data17	SOCS3oe	0.0
model1_data18	SOCS3oe	0.0
model1_data19	SOCS3oe	0.0
model1_data20	SOCS3oe	0.0
model1_data21	SOCS3oe	0.0
model1_data22	SOCS3oe	0.0
model1_data23	SOCS3oe	0.0
model1_data24	SOCS3oe	0.0
model1_data25	SOCS3oe	0.0
model1_data26	SOCS3oe	0.0
model1_data27	SOCS3oe	0.0
model1_data30	SOCS3oe	0.0
model1_data31	SOCS3oe	0.0
model1_data32	SOCS3oe	0.0
model1_data33	SOCS3oe	0.0
model1_data38	SOCS3oe	0.0
model1_data39	SOCS3oe	0.0
model1_data40	SOCS3oe	0.0
model1_data41	SOCS3oe	0.0
model1_data42	SOCS3oe	0.0
model1_data1	Epo	1.25e-07
model1_data2	Epo	1.25e-07
model1_data3	Epo	1.25e-07
model1_data4	Epo	1.25e-07
model1_data5	Epo	1.25e-07
model1_data6	Epo	1.25e-06
model1_data7	Epo	1.25e-07
model1_data8	Epo	1.25e-07
model1_data9	Epo	1.25e-07
model1_data10	Epo	1.25e-07
model1_data11	Epo	1.25e-07
model1_data12	Epo	1.25e-07
model1_data13	Epo	1.25e-07
model1_data14	Epo	1.25e-07
model1_data15	Epo	2.5e-05
model1_data16	Epo	2.5e-06
model1_data17	Epo	2.5e-07
model1_data18	Epo	2.5e-08
model1_data19	Epo	2.5e-09
model1_data20	Epo	1.25e-06
model1_data21	Epo	1.25e-07
model1_data22	Epo	2.5e-06
model1_data23	Epo	2.5e-07
model1_data24	Epo	2.5e-08
model1_data25	Epo	2.5e-09
model1_data26	Epo	1.25e-07
model1_data27	Epo	1.25e-08
model1_data30	Epo	2.5e-06
model1_data31	Epo	2.5e-07
model1_data32	Epo	2.5e-08
model1_data33	Epo	2.5e-09
model1_data38	Epo	1.25e-07
model1_data39	Epo	2.5e-06
model1_data40	Epo	2.5e-07
model1_data41	Epo	2.5e-08
model1_data42	Epo	2.5e-09
model1_data1	init_CIS_multiplier	0.0
model1_data2	init_CIS_multiplier	0.0
model1_data3	init_CIS_multiplier	0.0
model1_data4	init_CIS_multiplier	0.0
model1_data5	init_CIS_multiplier	0.0
model1_data6	init_CIS_multiplier	0.0
model1_data7	init_CIS_multiplier	0.0
model1_data8	init_CIS_multiplier	1.0
model1_data9	init_CIS_multiplier	0.0
model1_data10	init_CIS_multiplier	1.0
model1_data11	init_CIS_multiplier	0.0
model1_data12	init_CIS_multiplier	0.0
model1_data13	init_CIS_multiplier	0.0
model1_data14	init_CIS_multiplier	0.0
model1_data15	init_CIS_multiplier	0.0
model1_data16	init_CIS_multiplier	0.0
model1_data17	init_CIS_multiplier	0.0
model1_data18	init_CIS_multiplier	0.0
model1_data19	init_CIS_multiplier	0.0
model1_data20	init_CIS_multiplier	0.0
model1_data21	init_CIS_multiplier	0.0
model1_data22	init_CIS_multiplier	0.0
model1_data23	init_CIS_multiplier	0.0
model1_data24	init_CIS_multiplier	0.0
model1_data25	init_CIS_multiplier	0.0
model1_data26	init_CIS_multiplier	0.0
model1_data27	init_CIS_multiplier	0.0
model1_data30	init_CIS_multiplier	0.0
model1_data31	init_CIS_multiplier	0.0
model1_data32	init_CIS_multiplier	0.0
model1_data33	init_CIS_multiplier	0.0
model1_data38	init_CIS_multiplier	0.0
model1_data39	init_CIS_multiplier	0.0
model1_data40	init_CIS_multiplier	0.0
model1_data41	init_CIS_multiplier	0.0
model1_data42	init_CIS_multiplier	0.0
model1_data1	init_EpoRJAK2_CIS	0.0
model1_data2	init_EpoRJAK2_CIS	0.0
model1_data3	init_EpoRJAK2_CIS	0.0
model1_data4	init_EpoRJAK2_CIS	0.0
model1_data5	init_EpoRJAK2_CIS	0.0
model1_data6	init_EpoRJAK2_CIS	0.0
model1_data7	init_EpoRJAK2_CIS	0.0
model1_data8	init_EpoRJAK2_CIS	1.0
model1_data9	init_EpoRJAK2_CIS	0.0
model1_data10	init_EpoRJAK2_CIS	1.0
model1_data11	init_EpoRJAK2_CIS	0.0
model1_data12	init_EpoRJAK2_CIS	0.0
model1_data13	init_EpoRJAK2_CIS	0.0
model1_data14	init_EpoRJAK2_CIS	0.0
model1_data15	init_EpoRJAK2_CIS	0.0
model1_data16	init_EpoRJAK2_CIS	0.0
model1_data17	init_EpoRJAK2_CIS	0.0
model1_data18	init_EpoRJAK2_CIS	0.0
