experimentId	time	conditionId
experiment____model1_data1	0	model1_data1
experiment____model1_data10	0	model1_data10
experiment____model1_data11	0	model1_data11
experiment____model1_data12	0	model1_data12
experiment____model1_data13	0	model1_data13
experiment____model1_data14	0	model1_data14
experiment____model1_data15	0	model1_data15
experiment____model1_data16	0	model1_data16
experiment____model1_data17	0	model1_data17
experiment____model1_data18	0	model1_data18
experiment____model1_data19	0	model1_data19
experiment____model1_data2	0	model1_data2
experiment____model1_data20	0	model1_data20
experiment____model1_data21	0	model1_data21
experiment____model1_data22	0	model1_data22
experiment____model1_data23	0	model1_data23
experiment____model1_data24	0	model1_data24
experiment____model1_data25	0	model1_data25
experiment____model1_data26	0	model1_data26
experiment____model1_data27	0	model1_data27
experiment____model1_data3	0	model1_data3
experiment____model1_data30	0	model1_data30
experiment____model1_data31	0	model1_data31
experiment____model1_data32	0	model1_data32
experiment____model1_data33	0	model1_data33
experiment____model1_data38	0	model1_data38
experiment____model1_data39	0	model1_data39
experiment____model1_data4	0	model1_data4
experiment____model1_data40	0	model1_data40
experiment____model1_data41	0	model1_data41
experiment____model1_data42	0	model1_data42
experiment____model1_data5	0	model1_data5
experiment____model1_data6	0	model1_data6
experiment____model1_data7	0	model1_data7
experiment____model1_data8	0	model1_data8
experiment____model1_data9	0	model1_data9
