observableId	observableName	observableFormula	noiseFormula	noiseDistribution	observablePlaceholders	noisePlaceholders
observable_CISRNA_foldA		CISRNA * observableParameter1_observable_CISRNA_foldA / CISRNAEqc + 1	noiseParameter1_observable_CISRNA_foldA		observableParameter1_observable_CISRNA_foldA	noiseParameter1_observable_CISRNA_foldA
observable_CISRNA_foldB		CISRNA * observableParameter1_observable_CISRNA_foldB / CISRNAEqc + 1	noiseParameter1_observable_CISRNA_foldB		observableParameter1_observable_CISRNA_foldB	noiseParameter1_observable_CISRNA_foldB
observable_CISRNA_foldC		CISRNA * observableParameter1_observable_CISRNA_foldC / CISRNAEqc + 1	noiseParameter1_observable_CISRNA_foldC		observableParameter1_observable_CISRNA_foldC	noiseParameter1_observable_CISRNA_foldC
observable_CIS_abs		CIS	noiseParameter1_observable_CIS_abs			noiseParameter1_observable_CIS_abs
observable_CIS_au		observableParameter1_observable_CIS_au + CIS * observableParameter2_observable_CIS_au / CISEqc	noiseParameter1_observable_CIS_au		observableParameter1_observable_CIS_au;observableParameter2_observable_CIS_au	noiseParameter1_observable_CIS_au
observable_CIS_au1		CIS * observableParameter1_observable_CIS_au1 / CISEqc	noiseParameter1_observable_CIS_au1		observableParameter1_observable_CIS_au1	noiseParameter1_observable_CIS_au1
observable_CIS_au2		CIS * observableParameter1_observable_CIS_au2 / CISEqc	noiseParameter1_observable_CIS_au2		observableParameter1_observable_CIS_au2	noiseParameter1_observable_CIS_au2
observable_SHP1_abs		SHP1 + SHP1Act	noiseParameter1_observable_SHP1_abs			noiseParameter1_observable_SHP1_abs
observable_SOCS3RNA_foldA		SOCS3RNA * observableParameter1_observable_SOCS3RNA_foldA / SOCS3RNAEqc + 1	noiseParameter1_observable_SOCS3RNA_foldA		observableParameter1_observable_SOCS3RNA_foldA	noiseParameter1_observable_SOCS3RNA_foldA
observable_SOCS3RNA_foldB		SOCS3RNA * observableParameter1_observable_SOCS3RNA_foldB / SOCS3RNAEqc + 1	noiseParameter1_observable_SOCS3RNA_foldB		observableParameter1_observable_SOCS3RNA_foldB	noiseParameter1_observable_SOCS3RNA_foldB
observable_SOCS3RNA_foldC		SOCS3RNA * observableParameter1_observable_SOCS3RNA_foldC / SOCS3RNAEqc + 1	noiseParameter1_observable_SOCS3RNA_foldC		observableParameter1_observable_SOCS3RNA_foldC	noiseParameter1_observable_SOCS3RNA_foldC
observable_SOCS3_abs		SOCS3	noiseParameter1_observable_SOCS3_abs			noiseParameter1_observable_SOCS3_abs
observable_SOCS3_au		observableParameter1_observable_SOCS3_au + SOCS3 * observableParameter2_observable_SOCS3_au / SOCS3Eqc	noiseParameter1_observable_SOCS3_au		observableParameter1_observable_SOCS3_au;observableParameter2_observable_SOCS3_au	noiseParameter1_observable_SOCS3_au
observable_STAT5_abs		STAT5	noiseParameter1_observable_STAT5_abs			noiseParameter1_observable_STAT5_abs
observable_pEpoR_au		observableParameter1_observable_pEpoR_au + observableParameter2_observable_pEpoR_au * (16 * p12EpoRpJAK2 + 16 * p1EpoRpJAK2 + 16 * p2EpoRpJAK2) / init_EpoRJAK2	noiseParameter1_observable_pEpoR_au		observableParameter1_observable_pEpoR_au;observableParameter2_observable_pEpoR_au	noiseParameter1_observable_pEpoR_au
observable_pJAK2_au		observableParameter1_observable_pJAK2_au + observableParameter2_observable_pJAK2_au * (2 * EpoRpJAK2 + 2 * p12EpoRpJAK2 + 2 * p1EpoRpJAK2 + 2 * p2EpoRpJAK2) / init_EpoRJAK2	noiseParameter1_observable_pJAK2_au		observableParameter1_observable_pJAK2_au;observableParameter2_observable_pJAK2_au	noiseParameter1_observable_pJAK2_au
observable_pSTAT5B_rel		observableParameter1_observable_pSTAT5B_rel + 100 * pSTAT5 / (STAT5 + pSTAT5)	noiseParameter1_observable_pSTAT5B_rel		observableParameter1_observable_pSTAT5B_rel	noiseParameter1_observable_pSTAT5B_rel
observable_pSTAT5_au		observableParameter1_observable_pSTAT5_au + pSTAT5 * observableParameter2_observable_pSTAT5_au / init_STAT5	noiseParameter1_observable_pSTAT5_au + noiseParameter2_observable_pSTAT5_au		observableParameter1_observable_pSTAT5_au;observableParameter2_observable_pSTAT5_au	noiseParameter1_observable_pSTAT5_au;noiseParameter2_observable_pSTAT5_au
observable_tSHP1_au		observableParameter1_observable_tSHP1_au * (SHP1 + SHP1Act) / init_SHP1	noiseParameter1_observable_tSHP1_au		observableParameter1_observable_tSHP1_au	noiseParameter1_observable_tSHP1_au
observable_tSTAT5_au		observableParameter1_observable_tSTAT5_au * (STAT5 + pSTAT5) / init_STAT5	noiseParameter1_observable_tSTAT5_au		observableParameter1_observable_tSTAT5_au	noiseParameter1_observable_tSTAT5_au
