parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorDistribution	priorParameters
CISEqc	CISEqc	0.001	10000	432.854027325732	true	uniform	0.001;10000
CISEqcOE	CISEqcOE	0.001	1000	0.53027229006794	true	uniform	0.001;1000
CISInh	CISInh	0.001	1000000000000	785221045.232906	true	uniform	0.001;1000000000000
CISRNADelay	CISRNADelay	0.001	1000	0.144777009620017	true	uniform	0.001;1000
CISRNAEqc	CISRNAEqc	0.001	1000	1.0	false	uniform	0.001;1000
CISRNATurn	CISRNATurn	0.001	1000	1000.0	true	uniform	0.001;1000
CISTurn	CISTurn	0.001	1000	0.008398825029262	true	uniform	0.001;1000
EpoRActJAK2	EpoRActJAK2	0.001	10000	0.267299659481333	true	uniform	0.001;10000
EpoRCISInh	EpoRCISInh	0.001	1000000	1000000.0	true	uniform	0.001;1000000
EpoRCISRemove	EpoRCISRemove	0.001	1000	5.42989282766407	true	uniform	0.001;1000
JAK2ActEpo	JAK2ActEpo	0.001	1000000000	633154.209632843	true	uniform	0.001;1000000000
JAK2EpoRDeaSHP1	JAK2EpoRDeaSHP1	0.001	10000	142.723069412318	true	uniform	0.001;10000
SHP1ActEpoR	SHP1ActEpoR	0.001	1000	0.001	true	uniform	0.001;1000
SHP1Dea	SHP1Dea	0.001	1000	0.008162255244283	true	uniform	0.001;1000
SHP1ProOE	SHP1ProOE	0.001	1000	2.82568032716189	true	uniform	0.001;1000
SOCS3Eqc	SOCS3Eqc	0.001	1000	173.64095522801	true	uniform	0.001;1000
SOCS3EqcOE	SOCS3EqcOE	0.001	1000	0.679185853534469	true	uniform	0.001;1000
SOCS3Inh	SOCS3Inh	0.001	1000	10.4074255973465	true	uniform	0.001;1000
SOCS3RNADelay	SOCS3RNADelay	0.001	1000	1.06454014521077	true	uniform	0.001;1000
SOCS3RNAEqc	SOCS3RNAEqc	0.001	1000	1.0	false	uniform	0.001;1000
SOCS3RNATurn	SOCS3RNATurn	0.001	1000	0.008309263619427	true	uniform	0.001;1000
SOCS3Turn	SOCS3Turn	0.001	10000	10000.0	true	uniform	0.001;10000
STAT5ActEpoR	STAT5ActEpoR	0.001	1000	38.9972748894298	true	uniform	0.001;1000
STAT5ActJAK2	STAT5ActJAK2	0.001	1000	0.078108833252848	true	uniform	0.001;1000
STAT5Exp	STAT5Exp	0.001	1000	0.074514698833232	true	uniform	0.001;1000
STAT5Imp	STAT5Imp	0.001	1000	0.026887318057561	true	uniform	0.001;1000
init_EpoRJAK2	init_{EpoRJAK2}	0.001	1000	3.97622379188569	true	log10-normal	0.599470870492697;0.193459292722329
init_SHP1	init_{SHP1}	0.001	1000	26.7251164163486	true	uniform	0.001;1000
init_STAT5	init_{STAT5}	0.001	1000	79.753639977851	true	uniform	0.001;1000
offset_CIS_actd	offset_{CIS,actd}	0.001	1000	0.009388328725541	true	uniform	0.001;1000
offset_CIS_cisoe	offset_{CIS,cisoe}	0.001	1000	0.030012199170223	true	uniform	0.001;1000
offset_CIS_long	offset_{CIS,long}	0.001	1000	0.026460000624405	true	uniform	0.001;1000
offset_CIS_shp1oe	offset_{CIS,shp1oe}	0.001	1000	0.058794513917949	true	uniform	0.001;1000
offset_CIS_socs3oe	offset_{CIS,socs3oe}	0.001	1000	0.090496783983191	true	uniform	0.001;1000
offset_SOCS3_cisoe	offset_{SOCS3,cisoe}	0.001	1000	0.278270301775932	true	uniform	0.001;1000
offset_SOCS3_long	offset_{SOCS3,long}	0.001	1000	0.114475234936677	true	uniform	0.001;1000
offset_SOCS3_socs3oe	offset_{SOCS3,socs3oe}	0.001	1000	0.025584406819207	true	uniform	0.001;1000
offset_pEpoR_actd	offset_{pEpoR,actd}	0.001	1000	0.018840236081137	true	uniform	0.001;1000
offset_pEpoR_cisoe	offset_{pEpoR,cisoe}	0.001	1000	0.030210854745913	true	uniform	0.001;1000
offset_pEpoR_cisoe_pepor	offset_{pEpoR,cisoe,pepor}	0.001	1000	0.131027220027866	true	uniform	0.001;1000
offset_pEpoR_dr30	offset_{pEpoR,dr30}	0.001	1000	0.001	true	uniform	0.001;1000
offset_pEpoR_dr7	offset_{pEpoR,dr7}	0.001	1000	0.028405110847623	true	uniform	0.001;1000
offset_pEpoR_fine	offset_{pEpoR,fine}	0.001	1000	0.064550876993068	true	uniform	0.001;1000
offset_pEpoR_long	offset_{pEpoR,long}	0.001	1000	0.004391399791279	true	uniform	0.001;1000
offset_pEpoR_shp1oe	offset_{pEpoR,shp1oe}	0.001	1000	0.031327226759826	true	uniform	0.001;1000
offset_pEpoR_socs3oe	offset_{pEpoR,socs3oe}	0.001	1000	0.056711915845858	true	uniform	0.001;1000
offset_pJAK2_actd	offset_{pJAK2,actd}	0.001	1000	0.017059890602388	true	uniform	0.001;1000
offset_pJAK2_cisoe	offset_{pJAK2,cisoe}	0.001	1000	0.021928076840931	true	uniform	0.001;1000
offset_pJAK2_dr30	offset_{pJAK2,dr30}	0.001	1000	0.029944254724382	true	uniform	0.001;1000
offset_pJAK2_dr7	offset_{pJAK2,dr7}	0.001	1000	0.04733977489635	true	uniform	0.001;1000
offset_pJAK2_fine	offset_{pJAK2,fine}	0.001	1000	0.021658276199496	true	uniform	0.001;1000
offset_pJAK2_long	offset_{pJAK2,long}	0.001	1000	0.009473351822798	true	uniform	0.001;1000
offset_pJAK2_shp1oe	offset_{pJAK2,shp1oe}	0.001	1000	0.026667365128327	true	uniform	0.001;1000
offset_pJAK2_socs3oe	offset_{pJAK2,socs3oe}	0.001	1000	0.059752453075581	true	uniform	0.001;1000
offset_pSTAT5_actd	offset_{pSTAT5,actd}	0.001	1000	0.001868785567417	true	uniform	0.001;1000
offset_pSTAT5_cisoe	offset_{pSTAT5,cisoe}	0.001	1000	0.070791697579138	true	uniform	0.001;1000
offset_pSTAT5_conc	offset_{pSTAT5,conc}	0.001	1000	0.236827475949589	true	uniform	0.001;1000
offset_pSTAT5_long	offset_{pSTAT5,long}	0.001	1000	0.001093070638337	true	uniform	0.001;1000
offset_pSTAT5_shp1oe	offset_{pSTAT5,shp1oe}	0.001	1000	0.054941495350482	true	uniform	0.001;1000
offset_pSTAT5_socs3oe	offset_{pSTAT5,socs3oe}	0.001	1000	0.005613364786273	true	uniform	0.001;1000
scale1_CIS_dr90	scale1_{CIS,dr90}	0.001	1000	17.5631450183542	true	uniform	0.001;1000
scale2_CIS_dr90	scale2_{CIS,dr90}	0.001	1000	16.1205634424041	true	uniform	0.001;1000
scale_CISRNA_foldA	scale_{CISRNA,foldA}	0.001	1000	33.2822368277369	true	uniform	0.001;1000
scale_CISRNA_foldB	scale_{CISRNA,foldB}	0.001	1000	31.0176342778512	true	uniform	0.001;1000
scale_CISRNA_foldC	scale_{CISRNA,foldC}	0.001	1000	19.6194113406379	true	uniform	0.001;1000
scale_CIS_actd	scale_{CIS,actd}	0.001	1000	14.5490143154214	true	uniform	0.001;1000
scale_CIS_cisoe	scale_{CIS,cisoe}	0.001	1000	1.37088201048354	true	uniform	0.001;1000
scale_CIS_long	scale_{CIS,long}	0.001	1000	16.4036102124066	true	uniform	0.001;1000
scale_CIS_shp1oe	scale_{CIS,shp1oe}	0.001	1000	51.7115711834136	true	uniform	0.001;1000
scale_CIS_socs3oe	scale_{CIS,socs3oe}	0.001	1000	21.1493834462165	true	uniform	0.001;1000
scale_SHP1_shp1oe	scale_{SHP1,shp1oe}	0.001	1000	0.225547534442942	true	uniform	0.001;1000
scale_SOCS3RNA_foldA	scale_{SOCS3RNA,foldA}	0.001	1000	56.9631412510002	true	uniform	0.001;1000
scale_SOCS3RNA_foldB	scale_{SOCS3RNA,foldB}	0.001	1000	49.074989211721	true	uniform	0.001;1000
scale_SOCS3RNA_foldC	scale_{SOCS3RNA,foldC}	0.001	1000	80.7316820439984	true	uniform	0.001;1000
scale_SOCS3_cisoe	scale_{SOCS3,cisoe}	0.001	1000	11.5682149955845	true	uniform	0.001;1000
scale_SOCS3_long	scale_{SOCS3,long}	0.001	1000	15.485524391452	true	uniform	0.001;1000
scale_SOCS3_socs3oe	scale_{SOCS3,socs3oe}	0.001	1000	1.20457246908681	true	uniform	0.001;1000
scale_pEpoR_actd	scale_{pEpoR,actd}	0.001	1000	0.215657294488182	true	uniform	0.001;1000
scale_pEpoR_cisoe	scale_{pEpoR,cisoe}	0.001	1000	0.273625536372832	true	uniform	0.001;1000
scale_pEpoR_cisoe_pepor	scale_{pEpoR,cisoe_pepor}	0.001	1000	0.156616708581292	true	uniform	0.001;1000
scale_pEpoR_dr30	scale_{pEpoR,dr30}	0.001	1000	0.537385100441811	true	uniform	0.001;1000
scale_pEpoR_dr7	scale_{pEpoR,dr7}	0.001	1000	0.101429038197386	true	uniform	0.001;1000
scale_pEpoR_fine	scale_{pEpoR,fine}	0.001	1000	0.080269467995686	true	uniform	0.001;1000
scale_pEpoR_long	scale_{pEpoR,long}	0.001	1000	0.256529988627087	true	uniform	0.001;1000
scale_pEpoR_shp1oe	scale_{pEpoR,shp1oe}	0.001	1000	0.241283495329875	true	uniform	0.001;1000
scale_pEpoR_socs3oe	scale_{pEpoR,socs3oe}	0.001	1000	0.637275573973593	true	uniform	0.001;1000
scale_pJAK2_actd	scale_{pJAK2,actd}	0.001	1000	0.809491692283694	true	uniform	0.001;1000
scale_pJAK2_cisoe	scale_{pJAK2,cisoe}	0.001	1000	1.85429884799069	true	uniform	0.001;1000
scale_pJAK2_dr30	scale_{pJAK2,dr30}	0.001	1000	1.77561150477407	true	uniform	0.001;1000
scale_pJAK2_dr7	scale_{pJAK2,dr7}	0.001	1000	0.506322186585869	true	uniform	0.001;1000
scale_pJAK2_fine	scale_{pJAK2,fine}	0.001	1000	0.400770707451671	true	uniform	0.001;1000
scale_pJAK2_long	scale_{pJAK2,long}	0.001	1000	0.882775356861714	true	uniform	0.001;1000
scale_pJAK2_shp1oe	scale_{pJAK2,shp1oe}	0.001	1000	2.31011130113927	true	uniform	0.001;1000
scale_pJAK2_socs3oe	scale_{pJAK2,socs3oe}	0.001	1000	1.266550022901	true	uniform	0.001;1000
scale_pSTAT5_actd	scale_{pSTAT5,actd}	0.001	1000	1.09743435047828	true	uniform	0.001;1000
scale_pSTAT5_cisoe	scale_{pSTAT5,cisoe}	0.001	1000	2.41904111907135	true	uniform	0.001;1000
scale_pSTAT5_dr10	scale_{pSTAT5,dr10}	0.001	1000	1.00950903665707	true	uniform	0.001;1000
scale_pSTAT5_long	scale_{pSTAT5,long}	0.001	1000	1.47372211945355	true	uniform	0.001;1000
scale_pSTAT5_shp1oe	scale_{pSTAT5,shp1oe}	0.001	1000	1.15158552971751	true	uniform	0.001;1000
