conditionId	targetId	targetValue
typeIDwt_ExpID4	Bacmax	Bacmax_typeIDwt_ExpID4
typeIDT1_ExpID1	Bacmax	Bacmax_typeIDT1_ExpID1
typeIDT1_ExpID2	Bacmax	Bacmax_typeIDT1_ExpID2
typeIDT1_ExpID3	Bacmax	Bacmax_typeIDT1_ExpID3
typeIDT1_ExpID4	Bacmax	Bacmax_typeIDT1_ExpID4
typeIDT1_ExpID5	Bacmax	Bacmax_typeIDT1_ExpID5
typeIDT1_ExpID6	Bacmax	Bacmax_typeIDT1_ExpID6
typeIDT3_ExpID1	Bacmax	Bacmax_typeIDT3_ExpID1
typeIDT3_ExpID2	Bacmax	Bacmax_typeIDT3_ExpID2
typeIDT3_ExpID3	Bacmax	Bacmax_typeIDT3_ExpID3
typeIDT3_ExpID4	Bacmax	Bacmax_typeIDT3_ExpID4
typeIDT3_ExpID5	Bacmax	Bacmax_typeIDT3_ExpID5
typeIDT3_ExpID6	Bacmax	Bacmax_typeIDT3_ExpID6
typeIDT5_ExpID1	Bacmax	Bacmax_typeIDT5_ExpID1
typeIDT5_ExpID2	Bacmax	Bacmax_typeIDT5_ExpID2
typeIDT5_ExpID3	Bacmax	Bacmax_typeIDT5_ExpID3
typeIDT5_ExpID4	Bacmax	Bacmax_typeIDT5_ExpID4
typeIDT5_ExpID5	Bacmax	Bacmax_typeIDT5_ExpID5
typeIDT5_ExpID6	Bacmax	Bacmax_typeIDT5_ExpID6
typeIDwt_ExpID4	beta	beta_typeIDwt_ExpID4
typeIDT1_ExpID1	beta	beta_typeIDT1_ExpID1
typeIDT1_ExpID2	beta	beta_typeIDT1_ExpID2
typeIDT1_ExpID3	beta	beta_typeIDT1_ExpID3
typeIDT1_ExpID4	beta	beta_typeIDT1_ExpID4
typeIDT1_ExpID5	beta	beta_typeIDT1_ExpID5
typeIDT1_ExpID6	beta	beta_typeIDT1_ExpID6
typeIDT3_ExpID1	beta	beta_typeIDT3_ExpID1
typeIDT3_ExpID2	beta	beta_typeIDT3_ExpID2
typeIDT3_ExpID3	beta	beta_typeIDT3_ExpID3
typeIDT3_ExpID4	beta	beta_typeIDT3_ExpID4
typeIDT3_ExpID5	beta	beta_typeIDT3_ExpID5
typeIDT3_ExpID6	beta	beta_typeIDT3_ExpID6
typeIDT5_ExpID1	beta	beta_typeIDT5_ExpID1
typeIDT5_ExpID2	beta	beta_typeIDT5_ExpID2
typeIDT5_ExpID3	beta	beta_typeIDT5_ExpID3
typeIDT5_ExpID4	beta	beta_typeIDT5_ExpID4
typeIDT5_ExpID5	beta	beta_typeIDT5_ExpID5
typeIDT5_ExpID6	beta	beta_typeIDT5_ExpID6
typeIDwt_ExpID4	kdegi	kdegi_typeIDwt
typeIDT1_ExpID1	kdegi	kdegi_typeIDT1
typeIDT1_ExpID2	kdegi	kdegi_typeIDT1
typeIDT1_ExpID3	kdegi	kdegi_typeIDT1
typeIDT1_ExpID4	kdegi	kdegi_typeIDT1
typeIDT1_ExpID5	kdegi	kdegi_typeIDT1
typeIDT1_ExpID6	kdegi	kdegi_typeIDT1
typeIDT3_ExpID1	kdegi	kdegi_typeIDT3
typeIDT3_ExpID2	kdegi	kdegi_typeIDT3
typeIDT3_ExpID3	kdegi	kdegi_typeIDT3
typeIDT3_ExpID4	kdegi	kdegi_typeIDT3
typeIDT3_ExpID5	kdegi	kdegi_typeIDT3
typeIDT3_ExpID6	kdegi	kdegi_typeIDT3
typeIDT5_ExpID1	kdegi	kdegi_typeIDT5
typeIDT5_ExpID2	kdegi	kdegi_typeIDT5
typeIDT5_ExpID3	kdegi	kdegi_typeIDT5
typeIDT5_ExpID4	kdegi	kdegi_typeIDT5
typeIDT5_ExpID5	kdegi	kdegi_typeIDT5
typeIDT5_ExpID6	kdegi	kdegi_typeIDT5
typeIDwt_ExpID4	kdim	kdim_typeIDwt
typeIDT1_ExpID1	kdim	kdim_typeIDT1
typeIDT1_ExpID2	kdim	kdim_typeIDT1
typeIDT1_ExpID3	kdim	kdim_typeIDT1
typeIDT1_ExpID4	kdim	kdim_typeIDT1
typeIDT1_ExpID5	kdim	kdim_typeIDT1
typeIDT1_ExpID6	kdim	kdim_typeIDT1
typeIDT3_ExpID1	kdim	kdim_typeIDT3
typeIDT3_ExpID2	kdim	kdim_typeIDT3
typeIDT3_ExpID3	kdim	kdim_typeIDT3
typeIDT3_ExpID4	kdim	kdim_typeIDT3
typeIDT3_ExpID5	kdim	kdim_typeIDT3
typeIDT3_ExpID6	kdim	kdim_typeIDT3
typeIDT5_ExpID1	kdim	kdim_typeIDT5
typeIDT5_ExpID2	kdim	kdim_typeIDT5
typeIDT5_ExpID3	kdim	kdim_typeIDT5
typeIDT5_ExpID4	kdim	kdim_typeIDT5
typeIDT5_ExpID5	kdim	kdim_typeIDT5
typeIDT5_ExpID6	kdim	kdim_typeIDT5
typeIDwt_ExpID4	ksyn	ksyn_typeIDwt
typeIDT1_ExpID1	ksyn	ksyn_typeIDT1
typeIDT1_ExpID2	ksyn	ksyn_typeIDT1
typeIDT1_ExpID3	ksyn	ksyn_typeIDT1
typeIDT1_ExpID4	ksyn	ksyn_typeIDT1
typeIDT1_ExpID5	ksyn	ksyn_typeIDT1
typeIDT1_ExpID6	ksyn	ksyn_typeIDT1
typeIDT3_ExpID1	ksyn	ksyn_typeIDT3
typeIDT3_ExpID2	ksyn	ksyn_typeIDT3
typeIDT3_ExpID3	ksyn	ksyn_typeIDT3
typeIDT3_ExpID4	ksyn	ksyn_typeIDT3
typeIDT3_ExpID5	ksyn	ksyn_typeIDT3
typeIDT3_ExpID6	ksyn	ksyn_typeIDT3
typeIDT5_ExpID1	ksyn	ksyn_typeIDT5
typeIDT5_ExpID2	ksyn	ksyn_typeIDT5
typeIDT5_ExpID3	ksyn	ksyn_typeIDT5
typeIDT5_ExpID4	ksyn	ksyn_typeIDT5
typeIDT5_ExpID5	ksyn	ksyn_typeIDT5
typeIDT5_ExpID6	ksyn	ksyn_typeIDT5
typeIDwt_ExpID4	tau	tau_typeIDwt_ExpID4
typeIDT1_ExpID1	tau	tau_typeIDT1_ExpID1
typeIDT1_ExpID2	tau	tau_typeIDT1_ExpID2
typeIDT1_ExpID3	tau	tau_typeIDT1_ExpID3
typeIDT1_ExpID4	tau	tau_typeIDT1_ExpID4
typeIDT1_ExpID5	tau	tau_typeIDT1_ExpID5
typeIDT1_ExpID6	tau	tau_typeIDT1_ExpID6
typeIDT3_ExpID1	tau	tau_typeIDT3_ExpID1
typeIDT3_ExpID2	tau	tau_typeIDT3_ExpID2
typeIDT3_ExpID3	tau	tau_typeIDT3_ExpID3
typeIDT3_ExpID4	tau	tau_typeIDT3_ExpID4
typeIDT3_ExpID5	tau	tau_typeIDT3_ExpID5
typeIDT3_ExpID6	tau	tau_typeIDT3_ExpID6
typeIDT5_ExpID1	tau	tau_typeIDT5_ExpID1
typeIDT5_ExpID2	tau	tau_typeIDT5_ExpID2
typeIDT5_ExpID3	tau	tau_typeIDT5_ExpID3
typeIDT5_ExpID4	tau	tau_typeIDT5_ExpID4
typeIDT5_ExpID5	tau	tau_typeIDT5_ExpID5
typeIDT5_ExpID6	tau	tau_typeIDT5_ExpID6
