experimentId	time	conditionId
experiment____typeIDT1_ExpID1	0	typeIDT1_ExpID1
experiment____typeIDT1_ExpID2	0	typeIDT1_ExpID2
experiment____typeIDT1_ExpID3	0	typeIDT1_ExpID3
experiment____typeIDT1_ExpID4	0	typeIDT1_ExpID4
experiment____typeIDT1_ExpID5	0	typeIDT1_ExpID5
experiment____typeIDT1_ExpID6	0	typeIDT1_ExpID6
experiment____typeIDT3_ExpID1	0	typeIDT3_ExpID1
experiment____typeIDT3_ExpID2	0	typeIDT3_ExpID2
experiment____typeIDT3_ExpID3	0	typeIDT3_ExpID3
experiment____typeIDT3_ExpID4	0	typeIDT3_ExpID4
experiment____typeIDT3_ExpID5	0	typeIDT3_ExpID5
experiment____typeIDT3_ExpID6	0	typeIDT3_ExpID6
experiment____typeIDT5_ExpID1	0	typeIDT5_ExpID1
experiment____typeIDT5_ExpID2	0	typeIDT5_ExpID2
experiment____typeIDT5_ExpID3	0	typeIDT5_ExpID3
experiment____typeIDT5_ExpID4	0	typeIDT5_ExpID4
experiment____typeIDT5_ExpID5	0	typeIDT5_ExpID5
experiment____typeIDT5_ExpID6	0	typeIDT5_ExpID6
experiment____typeIDwt_ExpID4	0	typeIDwt_ExpID4
