experimentId	observableId	measurement	time	datasetId	realDate
experiment____u_CA	y_I_CA	225	0	data_CA	2020-03-20
experiment____u_CA	y_I_CA	187	1	data_CA	2020-03-21
experiment____u_CA	y_I_CA	282	2	data_CA	2020-03-22
experiment____u_CA	y_I_CA	462	3	data_CA	2020-03-23
experiment____u_CA	y_I_CA	430	4	data_CA	2020-03-24
experiment____u_CA	y_I_CA	460	5	data_CA	2020-03-25
experiment____u_CA	y_I_CA	901	6	data_CA	2020-03-26
experiment____u_CA	y_I_CA	758	7	data_CA	2020-03-27
experiment____u_CA	y_I_CA	437	8	data_CA	2020-03-28
experiment____u_CA	y_I_CA	757	9	data_CA	2020-03-29
experiment____u_CA	y_I_CA	1286	10	data_CA	2020-03-30
experiment____u_NY	y_I_NY	2945	0	data_NY	2020-03-20
experiment____u_NY	y_I_NY	3400	1	data_NY	2020-03-21
experiment____u_NY	y_I_NY	4090	2	data_NY	2020-03-22
experiment____u_NY	y_I_NY	5084	3	data_NY	2020-03-23
experiment____u_NY	y_I_NY	4797	4	data_NY	2020-03-24
experiment____u_NY	y_I_NY	5160	5	data_NY	2020-03-25
experiment____u_NY	y_I_NY	7036	6	data_NY	2020-03-26
experiment____u_NY	y_I_NY	6999	7	data_NY	2020-03-27
experiment____u_NY	y_I_NY	7534	8	data_NY	2020-03-28
experiment____u_NY	y_I_NY	7237	9	data_NY	2020-03-29
experiment____u_NY	y_I_NY	7015	10	data_NY	2020-03-30
