observableId	observableName	observableFormula	noiseFormula	noiseDistribution	observablePlaceholders	noisePlaceholders
observable_0ac		x_0ac	noiseParameter1_observable_0ac			noiseParameter1_observable_0ac
observable_4ac		x_4ac	noiseParameter1_observable_4ac			noiseParameter1_observable_4ac
observable_k12		x_k12	noiseParameter1_observable_k12			noiseParameter1_observable_k12
observable_k12k16		x_k12k16	noiseParameter1_observable_k12k16			noiseParameter1_observable_k12k16
observable_k16		x_k16	noiseParameter1_observable_k16			noiseParameter1_observable_k16
observable_k5		x_k5	noiseParameter1_observable_k5			noiseParameter1_observable_k5
observable_k5k12		x_k5k12	noiseParameter1_observable_k5k12			noiseParameter1_observable_k5k12
observable_k5k12k16		x_k5k12k16	noiseParameter1_observable_k5k12k16			noiseParameter1_observable_k5k12k16
observable_k5k16		x_k5k16	noiseParameter1_observable_k5k16			noiseParameter1_observable_k5k16
observable_k5k8		x_k5k8	noiseParameter1_observable_k5k8			noiseParameter1_observable_k5k8
observable_k5k8k12		x_k5k8k12	noiseParameter1_observable_k5k8k12			noiseParameter1_observable_k5k8k12
observable_k5k8k16		x_k5k8k16	noiseParameter1_observable_k5k8k16			noiseParameter1_observable_k5k8k16
observable_k8		x_k8	noiseParameter1_observable_k8			noiseParameter1_observable_k8
observable_k8k12		x_k8k12	noiseParameter1_observable_k8k12			noiseParameter1_observable_k8k12
observable_k8k12k16		x_k8k12k16	noiseParameter1_observable_k8k12k16			noiseParameter1_observable_k8k12k16
observable_k8k16		x_k8k16	noiseParameter1_observable_k8k16			noiseParameter1_observable_k8k16
