parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
Epo_degradation_BaF3	EPO_{degradation,BaF3}	1e-05	100000	0.026982514033029	true	
k_exp_hetero	k_{exp,hetero}	1e-05	100000	1.00067973851508e-05	true	
k_exp_homo	k_{exp,homo}	1e-05	100000	0.006170228086381	true	
k_imp_hetero	k_{imp,hetero}	1e-05	100000	0.0163679184468	true	
k_imp_homo	k_{imp,homo}	1e-05	100000	97749.3794024716	true	
k_phos	k_{phos}	1e-05	100000	15766.5070195731	true	
ratio	ratio	0.0	5	0.693	false	
sd_pSTAT5A_rel	\sigma_{pSTAT5A,rel}	1e-05	100000	3.85261197844677	true	
sd_pSTAT5B_rel	\sigma_{pSTAT5B,rel}	1e-05	100000	6.59147818673419	true	
sd_rSTAT5A_rel	\sigma_{rSTAT5A,rel}	1e-05	100000	3.15271275648527	true	
specC17	specC17	-5.0	5	0.107	false	
