parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
K2	K2	0.001	100000	0.09994855801565	true	
K_par	K_{par}	0.001	100000	11.4120804594265	true	
Ka	Ka	0.001	100000	0.197593940310187	true	
Kd	Kd	0.001	100000	0.392497512107474	true	
Kf	Kf	0.001	100000	1.13794968361236	true	
Kp	Kp	0.001	100000	0.996567464196472	true	
Ky	Ky	0.001	100000	0.200364133028272	true	
Kz	Kz	0.001	100000	0.303353547057472	true	
Vd	Vd	0.001	100000	92.8739300577976	true	
Vm2	Vm2	0.001	100000	7.45712445492225	true	
Vm3	Vm3	0.001	100000	22.7025248825352	true	
Vp	Vp	0.001	100000	2.75685784345759	true	
beta_par	beta_{par}	0.001	100000	1.12395230256787	true	
epsilon_par	epsilon_{par}	0.001	100000	0.163232195306188	true	
init_A_state	init_{A,state}	0.0	1	0.99999999999996	true	
init_Y_state	init_{Y,state}	0.0	1	0.999348084438687	true	
init_Z_state	init_{Z,state}	0.0	1	0.087920524425504	true	
n_par	n_{par}	0.001	100000	4.1025144127497	true	
offset	offset	0.001	100000	0.300763662073358	true	
scale	scale	0.001	100000	0.658073142979721	true	
sigma	sigma	0.001	100000	0.104922918935031	true	
v0	v0	0.001	100000	2.31778715779187	true	
v1	v1	0.001	100000	1.00488755696677	true	
