conditionId	targetId	targetValue
Dose_0	insulin_time_1	0.0
Dose_001	insulin_time_1	0.0
Dose_01	insulin_time_1	0.0
Dose_1	insulin_time_1	0.0
Dose_3	insulin_time_1	0.0
Dose_10	insulin_time_1	0.0
Dose_100	insulin_time_1	0.0
TwoSteps	insulin_time_1	0.0
Dose_0	insulin_dose_1	0.0
Dose_001	insulin_dose_1	0.01
Dose_01	insulin_dose_1	0.1
Dose_1	insulin_dose_1	0.3
Dose_3	insulin_dose_1	1.0
Dose_10	insulin_dose_1	10.0
Dose_100	insulin_dose_1	100.0
TwoSteps	insulin_dose_1	1.2
Dose_0	insulin_time_2	0.0
Dose_001	insulin_time_2	0.0
Dose_01	insulin_time_2	0.0
Dose_1	insulin_time_2	0.0
Dose_3	insulin_time_2	0.0
Dose_10	insulin_time_2	0.0
Dose_100	insulin_time_2	0.0
TwoSteps	insulin_time_2	4.0
Dose_0	insulin_dose_2	0.0
Dose_001	insulin_dose_2	0.0
Dose_01	insulin_dose_2	0.0
Dose_1	insulin_dose_2	0.0
Dose_3	insulin_dose_2	0.0
Dose_10	insulin_dose_2	0.0
Dose_100	insulin_dose_2	0.0
TwoSteps	insulin_dose_2	8.8
