experimentId	observableId	measurement	time	observableParameters	noiseParameters	experiment_id_2ca5faf0-b135-4795-9e20-c3e3c30e6c07	independentVariableId
experiment__Dose_0___Dose_0	IRS1_P_DosR	18.385	10.0	k_IRSiP_DosR	sigmaYDosR	dose_response	insulin_dose_1
experiment__Dose_0___Dose_001	IRS1_P_DosR	29.115	10.0	k_IRSiP_DosR	sigmaYDosR	dose_response	insulin_dose_1
experiment__Dose_0___Dose_01	IRS1_P_DosR	26.365	10.0	k_IRSiP_DosR	sigmaYDosR	dose_response	insulin_dose_1
experiment__Dose_0___Dose_1	IRS1_P_DosR	28.292	10.0	k_IRSiP_DosR	sigmaYDosR	dose_response	insulin_dose_1
experiment__Dose_0___Dose_3	IRS1_P_DosR	42.308	10.0	k_IRSiP_DosR	sigmaYDosR	dose_response	insulin_dose_1
experiment__Dose_0___Dose_10	IRS1_P_DosR	105.029	10.0	k_IRSiP_DosR	sigmaYDosR	dose_response	insulin_dose_1
experiment__Dose_0___Dose_100	IRS1_P_DosR	94.971	10.0	k_IRSiP_DosR	sigmaYDosR	dose_response	insulin_dose_1
experiment__Dose_0___Dose_100	IR1_P	0.0	0.0	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	100.0	0.9	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	82.667	1.15	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	77.333	1.3	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	60.0	2.3	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	50.667	3.3	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	56.667	5.3	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	45.667	7.0	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	52.333	10.0	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	41.333	15.0	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	42.667	20.0	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IR1_P	35.333	30.0	k_IRP_1Step	sigmaY1TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	0.0	0.0	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	227.667	0.9	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	205.0	1.15	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	169.667	1.3	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	145.5	2.3	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	121.667	3.3	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	110.333	5.3	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	95.0	7.0	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	110.0	10.0	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	86.667	15.0	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	73.0	20.0	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___Dose_100	IRS1_P	100.0	30.0	k_IRSiP_1Step	sigmaY2TimR	one_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	14.417	0.0	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	26.724	0.34	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	42.035	0.6	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	58.258	0.9	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	58.752	1.2	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	52.465	1.5	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	56.405	4.0	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	67.901	4.34	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	66.297	4.6	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	69.522	4.9	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	74.644	5.2	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
experiment__Dose_0___TwoSteps	IRS1_P	70.367	5.5	k_IRSiP_2Step	sigmaY2Step	two_step_time_response	time
