parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
k1a	k1a	1e-06	500000.000000001	0.177219477727669	true	
k1aBasic	k1aBasic	1e-06	500000.000000001	0.000392767904337	true	
k1b	k1b	1e-06	500000.000000001	0.174695978547559	true	
k1c	k1c	1e-06	500000.000000001	0.050857471885817	true	
k1d	k1d	1e-06	500000.000000001	499999.999999977	true	
k1e	k1e	1e-06	500000.000000001	1.00000000000009e-06	true	
k1f	k1f	1e-06	500000.000000001	499999.99200416	true	
k1g	k1g	1e-06	500000.000000001	1729.3765495871	true	
k1r	k1r	1e-06	500000.000000001	0.026696391080189	true	
k21	k21	1e-06	500000.000000001	2.10238165504418	true	
k22	k22	1e-06	500000.000000001	666.8355739795	true	
k3	k3	1e-06	500000.000000001	4.94410392362901e-05	true	
k_IRP_1Step	k_{IRP,1Step}	10.0	200000.0	199999.840171263	true	
k_IRSiP_1Step	k_{IRSiP,1Step}	10.0	200000.0	45.1583098084992	true	
k_IRSiP_2Step	k_{IRSiP,2Step}	10.0	200000.0	27.0146739112635	true	
k_IRSiP_DosR	k_{IRSiP,DosR}	10.0	200000.0	37.943517943785	true	
km2	km2	1e-06	500000.000000001	1.15970741690448	true	
km3	km3	1e-06	500000.000000001	0.416382500906785	true	
sigmaY1TimR	\sigma_{Y1TimR}	1e-05	1000.0	2.96681079960572	true	
sigmaY2Step	\sigma_{Y2Step}	1e-05	1000.0	5.15364156671777	true	
sigmaY2TimR	\sigma_{Y2TimR}	1e-05	1000.0	10.3675897036965	true	
sigmaYDosR	\sigma_{YDosR}	1e-05	1000.0	17.5783273408723	true	
