conditionId	targetId	targetValue
model1_data1	init_b10	init_b10_1
model1_data2	init_b10	0
model1_data3	init_b10	0
model1_data4	init_b10	0
model1_data5	init_b10	0
model1_data6	init_b10	0
model1_data1	init_bcar	0
model1_data2	init_bcar	init_bcar1
model1_data3	init_bcar	init_bcar2
model1_data4	init_bcar	0
model1_data5	init_bcar	0
model1_data6	init_bcar	0
model1_data1	init_bcry	0
model1_data2	init_bcry	0
model1_data3	init_bcry	0
model1_data4	init_bcry	init_bcry_1
model1_data5	init_bcry	0
model1_data6	init_bcry	0
model1_data1	init_ohb10	0
model1_data2	init_ohb10	0
model1_data3	init_ohb10	0
model1_data4	init_ohb10	0
model1_data5	init_ohb10	init_ohb10_1
model1_data6	init_ohb10	0
model1_data1	init_zea	0
model1_data2	init_zea	0
model1_data3	init_zea	0
model1_data4	init_zea	0
model1_data5	init_zea	0
model1_data6	init_zea	init_zea_1
model1_data1	k5_multiplier	0
model1_data2	k5_multiplier	1
model1_data3	k5_multiplier	szea
model1_data4	k5_multiplier	1
model1_data5	k5_multiplier	0
model1_data6	k5_multiplier	szea
model1_data1	kb1_multiplier	0
model1_data2	kb1_multiplier	1
model1_data3	kb1_multiplier	szea
model1_data4	kb1_multiplier	0
model1_data5	kb1_multiplier	0
model1_data6	kb1_multiplier	0
model1_data1	kb2_multiplier	1
model1_data2	kb2_multiplier	1
model1_data3	kb2_multiplier	szea
model1_data4	kb2_multiplier	1
model1_data5	kb2_multiplier	1
model1_data6	kb2_multiplier	0
model1_data1	kc1_multiplier	1
model1_data2	kc1_multiplier	0
model1_data3	kc1_multiplier	szea
model1_data4	kc1_multiplier	1
model1_data5	kc1_multiplier	0
model1_data6	kc1_multiplier	0
model1_data1	kc2_multiplier	0
model1_data2	kc2_multiplier	0
model1_data3	kc2_multiplier	szea
model1_data4	kc2_multiplier	1
model1_data5	kc2_multiplier	0
model1_data6	kc2_multiplier	0
model1_data1	kc4_multiplier	1
model1_data2	kc4_multiplier	0
model1_data3	kc4_multiplier	szea
model1_data4	kc4_multiplier	1
model1_data5	kc4_multiplier	1
model1_data6	kc4_multiplier	szea
