experimentId	observableId	measurement	time	observableParameters	noiseParameters	datasetId
experiment____model1_data1	ob10	3.973385	5		0.406451	model1_data1_ob10
experiment____model1_data1	ob10	3.976118	15		0.406728	model1_data1_ob10
experiment____model1_data1	ob10	3.12959	30		0.320749	model1_data1_ob10
experiment____model1_data1	ob10	3.131418	60		0.320935	model1_data1_ob10
experiment____model1_data1	ob10	3.105543	90		0.31831	model1_data1_ob10
experiment____model1_data1	ob10	2.279702	120		0.234682	model1_data1_ob10
experiment____model1_data1	ob10	1.321613	180		0.138555	model1_data1_ob10
experiment____model1_data2	obcar	3.83496	15		0.251006	model1_data2_obcar
experiment____model1_data2	obcar	2.68932	30		0.179664	model1_data2_obcar
experiment____model1_data2	obcar	2.12541	45		0.145321	model1_data2_obcar
experiment____model1_data2	obcar	1.55414	60		0.111703	model1_data2_obcar
experiment____model1_data2	obcar	0.90185	90		0.076761	model1_data2_obcar
experiment____model1_data2	obcar	0.62496	120		0.064455	model1_data2_obcar
experiment____model1_data2	obcar	0.30276	180		0.054089	model1_data2_obcar
experiment____model1_data2	ob10	0.87947	15		0.110017	model1_data2_ob10
experiment____model1_data2	ob10	1.61775	30		0.194075	model1_data2_ob10
experiment____model1_data2	ob10	2.0221	45		0.240978	model1_data2_ob10
experiment____model1_data2	ob10	2.51711	60		0.298703	model1_data2_ob10
experiment____model1_data2	ob10	2.24951	90		0.267467	model1_data2_ob10
experiment____model1_data2	ob10	2.46923	120		0.29311	model1_data2_ob10
experiment____model1_data2	ob10	2.09599	180		0.249578	model1_data2_ob10
experiment____model1_data3	obcar	2.792	15		0.161073	model1_data3_obcar
experiment____model1_data3	obcar	2.51	30		0.146065	model1_data3_obcar
experiment____model1_data3	obcar	2.101	45		0.124582	model1_data3_obcar
experiment____model1_data3	obcar	1.917	60		0.115071	model1_data3_obcar
experiment____model1_data3	obcar	1.598	90		0.098916	model1_data3_obcar
experiment____model1_data3	obcar	1.135	120		0.076702	model1_data3_obcar
experiment____model1_data3	obcar	0.824	180		0.063285	model1_data3_obcar
experiment____model1_data3	ob10	0.573	15		0.066702	model1_data3_ob10
experiment____model1_data3	ob10	0.849	30		0.092359	model1_data3_ob10
experiment____model1_data3	ob10	0.968	45		0.10382	model1_data3_ob10
experiment____model1_data3	ob10	1.212	60		0.127709	model1_data3_ob10
experiment____model1_data3	ob10	1.411	90		0.147436	model1_data3_ob10
experiment____model1_data3	ob10	1.612	120		0.167498	model1_data3_ob10
experiment____model1_data3	ob10	2.168	180		0.223405	model1_data3_ob10
experiment____model1_data4	obcry	4.804181	15		0.43054	model1_data4_obcry
experiment____model1_data4	obcry	3.874252	30		0.353484	model1_data4_obcry
experiment____model1_data4	obcry	3.687507	45		0.338201	model1_data4_obcry
experiment____model1_data4	obcry	2.905136	60		0.275261	model1_data4_obcry
experiment____model1_data4	obcry	2.471236	90		0.241465	model1_data4_obcry
experiment____model1_data4	obcry	2.243992	120		0.224241	model1_data4_obcry
experiment____model1_data4	obcry	0.922679	180		0.137702	model1_data4_obcry
experiment____model1_data4	ob10	0.186897	15		0.043179	model1_data4_ob10
experiment____model1_data4	ob10	0.238582	30		0.046576	model1_data4_ob10
experiment____model1_data4	ob10	0.268357	45		0.048771	model1_data4_ob10
experiment____model1_data4	ob10	0.377915	60		0.057968	model1_data4_ob10
experiment____model1_data4	ob10	0.332696	90		0.053988	model1_data4_ob10
experiment____model1_data4	ob10	0.410503	120		0.060963	model1_data4_ob10
experiment____model1_data4	ob10	0.487949	180		0.068419	model1_data4_ob10
experiment____model1_data4	oohb10	0.750567	15		0.146042	model1_data4_oohb10
experiment____model1_data4	oohb10	0.957066	30		0.185626	model1_data4_oohb10
experiment____model1_data4	oohb10	1.058638	45		0.205133	model1_data4_oohb10
experiment____model1_data4	oohb10	1.40061	60		0.270906	model1_data4_oohb10
experiment____model1_data4	oohb10	1.342636	90		0.259748	model1_data4_oohb10
experiment____model1_data4	oohb10	1.652208	120		0.319353	model1_data4_oohb10
experiment____model1_data4	oohb10	2.005941	180		0.387509	model1_data4_oohb10
experiment____model1_data5	oohb10	2.187219	5		0.365852	model1_data5_oohb10
experiment____model1_data5	oohb10	1.490176	15		0.249545	model1_data5_oohb10
experiment____model1_data5	oohb10	1.243819	30		0.208483	model1_data5_oohb10
experiment____model1_data5	oohb10	1.100679	60		0.184647	model1_data5_oohb10
experiment____model1_data5	oohb10	1.142316	90		0.191578	model1_data5_oohb10
experiment____model1_data5	oohb10	0.794621	120		0.13378	model1_data5_oohb10
experiment____model1_data5	oohb10	0.696621	180		0.117543	model1_data5_oohb10
experiment____model1_data6	oohb10	0.098	15		0.023108	model1_data6_oohb10
experiment____model1_data6	oohb10	0.1573	30		0.030931	model1_data6_oohb10
experiment____model1_data6	oohb10	0.165	45		0.032031	model1_data6_oohb10
experiment____model1_data6	oohb10	0.23	60		0.041749	model1_data6_oohb10
experiment____model1_data6	oohb10	0.374	90		0.064588	model1_data6_oohb10
experiment____model1_data6	oohb10	0.445	120		0.076127	model1_data6_oohb10
experiment____model1_data6	oohb10	0.46	180		0.090733	model1_data6_oohb10
experiment____model1_data6	ozea	2.761	15		0.172674	model1_data6_ozea
