experimentId	observableId	measurement	time	observableParameters	noiseParameters	datasetId
experiment____model1_data1	ERB_B1_P_tot	0.0	1800	EGFR_t	0.1	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	65.0	1950	EGFR_t	7.4	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	72.0	2100	EGFR_t	6.8	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	75.0	2250	EGFR_t	8.9	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	77.0	2400	EGFR_t	4.7	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	83.0	2700	EGFR_t	4.7	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	87.0	3600	EGFR_t	2.5	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	98.0	4500	EGFR_t	2.4	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	87.0	5400	EGFR_t	13.1	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERB_B1_P_tot	86.0	9000	EGFR_t	13.1	model1_data1_ERB_B1_P_tot
experiment____model1_data1	ERK_PP	0.0	1800	ERK_t	0.1	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	60.0	1950	ERK_t	0.46	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	88.0	2100	ERK_t	1.9	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	97.0	2250	ERK_t	1.5	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	98.0	2400	ERK_t	1.2	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	86.0	2700	ERK_t	3.1	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	65.0	3600	ERK_t	2.8	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	56.0	4500	ERK_t	2.9	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	50.0	5400	ERK_t	3.7	model1_data1_ERK_PP
experiment____model1_data1	ERK_PP	46.0	9000	ERK_t	1.5	model1_data1_ERK_PP
experiment____model1_data1	AKT_PP	0.0	1800	AKT_t	0.1	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	0.0	1950	AKT_t	0.1	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	24.0	2100	AKT_t	0.36	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	34.0	2250	AKT_t	0.69	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	40.0	2400	AKT_t	2.3	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	50.0	2700	AKT_t	2.1	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	64.0	3600	AKT_t	1.5	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	52.0	4500	AKT_t	3.5	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	49.0	5400	AKT_t	2.3	model1_data1_AKT_PP
experiment____model1_data1	AKT_PP	57.0	9000	AKT_t	7.4	model1_data1_AKT_PP
experiment____model1_data2	ERB_B1_P_tot	0.0	1800	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	1950	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	2100	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	2250	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	2400	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	2700	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	3600	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	4500	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	5400	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERB_B1_P_tot	0.0	9000	EGFR_t	0.1	model1_data2_ERB_B1_P_tot
experiment____model1_data2	ERK_PP	0.0	1800	ERK_t	0.1	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	9.7	1950	ERK_t	3.4	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	46.0	2100	ERK_t	6.8	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	58.0	2250	ERK_t	1.9	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	54.0	2400	ERK_t	4.0	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	26.0	2700	ERK_t	4.3	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	27.0	3600	ERK_t	2.7	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	24.0	4500	ERK_t	1.2	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	23.0	5400	ERK_t	0.94	model1_data2_ERK_PP
experiment____model1_data2	ERK_PP	17.0	9000	ERK_t	2.3	model1_data2_ERK_PP
experiment____model1_data2	AKT_PP	0.0	1800	AKT_t	0.1	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	45.0	1950	AKT_t	4.7	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	79.0	2100	AKT_t	3.2	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	86.0	2250	AKT_t	4.6	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	97.0	2400	AKT_t	3.2	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	91.0	2700	AKT_t	2.9	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	85.0	3600	AKT_t	2.8	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	72.0	4500	AKT_t	2.6	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	73.0	5400	AKT_t	1.8	model1_data2_AKT_PP
experiment____model1_data2	AKT_PP	68.0	9000	AKT_t	2.3	model1_data2_AKT_PP
experiment____model1_data3	ERB_B1_P_tot	0.0	1800	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
experiment____model1_data3	ERB_B1_P_tot	0.0	1950	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
experiment____model1_data3	ERB_B1_P_tot	0.0	2100	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
experiment____model1_data3	ERB_B1_P_tot	0.0	2250	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
experiment____model1_data3	ERB_B1_P_tot	0.0	2400	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
experiment____model1_data3	ERB_B1_P_tot	0.0	2700	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
