parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
AKT_t	AKT_{t}	1e-05	9049999.99999994	10000.0	true	
EGFR_t	EGFR_{t}	1e-05	10800000.0	10000.0	true	
ERK_t	ERK_{t}	1e-05	6949999.99999995	10000.0	true	
k101	k101	8.33e-08	1000.0	8.33e-07	true	
k102	k102	5e-08	1000.0	5e-07	true	
k103	k103	8.37e-10	1000.0	8.37e-09	true	
k104	k104	-5.0	3.0	0.0	false	
k105	k105	1e-05	1000.0	6.67e-05	true	
k106	k106	1e-05	1000.0	1.33e-05	true	
k106b	k106b	2.63e-09	1000.0	2.63e-08	true	
k107	k107	1e-05	1000.0	3.33e-05	true	
k108	k108	-5.0	3.0	0.0	false	
k109	k109	5e-07	1000.0	5e-06	true	
k10b	k10b	1e-05	1000.0	0.05426	true	
k110	k110	1e-05	1000.0	0.000333	true	
k111	k111	-5.0	3.0	0.0	false	
k112	k112	1e-05	1000.0	0.0047067	true	
k113	k113	-5.0	3.0	0.0	false	
k114	k114	4.99e-07	1000.0	4.99e-06	true	
k115	k115	-5.0	3.0	0.0	false	
k117	k117	8.33e-09	1000.0	8.33e-08	true	
k118	k118	-5.0	3.0	0.0	false	
k120	k120	1.48e-09	1000.0	1.48e-08	true	
k120b	k120b	5.93e-12	1000.0	5.93e-11	true	
k123	k123	-5.0	3.0	0.0	false	
k123h	k123h	-5.0	3.0	0.0	false	
k15	k15	1.67e-09	1000.0	1.67e-08	true	
k16	k16	1e-05	1000.0	1.67e-05	true	
k17	k17	1e-05	1000.0	1.67e-05	true	
k18	k18	1e-05	1000.0	2.5e-05	true	
k19	k19	1.67e-08	1000.0	1.67e-07	true	
k1d	k1d	1e-05	1000.0	517.999999999997	true	
k2	k2	7.45e-07	1000.0	7.45e-06	true	
k20	k20	1e-05	1000.0	1.11e-05	true	
k21	k21	3.67e-08	1000.0	3.67e-07	true	
k22	k22	1.39e-08	1000.0	1.39e-07	true	
k23	k23	1e-05	1000.0	6.00000000000001	true	
k25	k25	1e-05	1000.0	1.67e-05	true	
k28	k28	5e-07	1000.0	5e-06	true	
k29	k29	1.17e-07	1000.0	1.17e-06	true	
k2b	k2b	3.74e-09	1000.0	3.74e-08	true	
k32	k32	4e-08	1000.0	4e-07	true	
k33	k33	1e-05	1000.0	3.5e-05	true	
k34	k34	7.5e-07	1000.0	7.5e-06	true	
k35	k35	7.5e-07	1000.0	7.5e-06	true	
k36	k36	1e-05	1000.0	0.005	true	
k37	k37	1.5e-07	1000.0	1.5e-06	true	
k4	k4	6.73e-07	1000.0	6.73e-06	true	
k40	k40	1e-05	1000.0	5e-05	true	
k41	k41	1e-05	1000.0	5e-05	true	
k42	k42	1e-05	1000.0	6e-05	true	
k43	k43	-5.0	3.0	0.0	false	
