experimentId	observableId	measurement	time	observableParameters	noiseParameters	datasetId
experiment____model1_data1	pErk	0.037959	0.0	s_pErk_20140430_gel1	s_pErk_20140430_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.042262	0.25	s_pErk_20140430_gel1	s_pErk_20140430_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.162628	1.0	s_pErk_20140430_gel1	s_pErk_20140430_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.052124	5.5	s_pErk_20140430_gel1	s_pErk_20140430_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.023196	7.0	s_pErk_20140430_gel1	s_pErk_20140430_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.037687	8.5	s_pErk_20140430_gel1	s_pErk_20140430_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.028724	10.0	s_pErk_20140430_gel1	s_pErk_20140430_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.297881	0.0	s_pErk_20140505_gel1	s_pErk_20140505_gel1;sigma_pErk	control
experiment____model1_data1	pErk	3.043549	0.25	s_pErk_20140505_gel1	s_pErk_20140505_gel1;sigma_pErk	control
experiment____model1_data1	pErk	3.098459	1.0	s_pErk_20140505_gel1	s_pErk_20140505_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.224662	5.5	s_pErk_20140505_gel1	s_pErk_20140505_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.38254	7.0	s_pErk_20140505_gel1	s_pErk_20140505_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.123338	8.5	s_pErk_20140505_gel1	s_pErk_20140505_gel1;sigma_pErk	control
experiment____model1_data1	pErk	0.229486	10.0	s_pErk_20140505_gel1	s_pErk_20140505_gel1;sigma_pErk	control
experiment____model1_data2	pErk	0.039731	0.0	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.03303482	1.0	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.019296634	5.5	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.017683446	7.0	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.020209467	8.5	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.02141076	10.0	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.301624	0.0	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.54	1.0	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.27	5.5	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.25	7.0	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.18	8.5	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	Sorafenib
experiment____model1_data2	pErk	0.15	10.0	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	Sorafenib
experiment____model1_data3	pErk	0.004107653	1.0	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.011631788	5.5	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.012694322	7.0	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.003687738	8.5	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.002426131	10.0	s_pErk_20140430_gel2	s_pErk_20140430_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.176167582	1.0	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.069008927	5.5	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.074311261	7.0	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.073151837	8.5	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	UO126
experiment____model1_data3	pErk	0.048102336	10.0	s_pErk_20140505_gel2	s_pErk_20140505_gel2;sigma_pErk	UO126
experiment____model1_data1	pMek	0.116721	0.0	s_pMek_20140430_gel1	s_pMek_20140430_gel1;sigma_pMek	control
experiment____model1_data1	pMek	0.232984	0.25	s_pMek_20140430_gel1	s_pMek_20140430_gel1;sigma_pMek	control
experiment____model1_data1	pMek	0.305171	1.0	s_pMek_20140430_gel1	s_pMek_20140430_gel1;sigma_pMek	control
experiment____model1_data1	pMek	0.125647	5.5	s_pMek_20140430_gel1	s_pMek_20140430_gel1;sigma_pMek	control
experiment____model1_data1	pMek	0.073706	7.0	s_pMek_20140430_gel1	s_pMek_20140430_gel1;sigma_pMek	control
experiment____model1_data1	pMek	0.058253	8.5	s_pMek_20140430_gel1	s_pMek_20140430_gel1;sigma_pMek	control
experiment____model1_data1	pMek	0.066667	10.0	s_pMek_20140430_gel1	s_pMek_20140430_gel1;sigma_pMek	control
experiment____model1_data1	pMek	0.22033	0.0	s_pMek_20140505_gel1	s_pMek_20140505_gel1;sigma_pMek	control
