parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
ERK_total	ERK_{total}	1e-05	1000	1.0	false	
K_1	{K_1}	1e-05	1000	1.0000122099653e-05	true	
K_2	{K_2}	1e-05	1000	1.51121996768986	true	
K_3	{K_3}	1e-05	1000	0.960465656770682	true	
MEK_total	MEK_{total}	1e-05	1000	1.0	false	
RAF_total	RAF_{total}	1e-05	1000	1.0	false	
k10	{k10}	1e-05	100000	0.026413685021474	true	
k11	{k11}	1e-05	100000	163.162367794459	true	
k2	{k2}	1e-05	100000	1.22622424049592	true	
k3	{k3}	1e-05	100000	769.159517169525	true	
k4	{k4}	1e-05	100000	2.90693427220412	true	
k5	{k5}	1e-05	100000	577.552181196191	true	
k6	{k6}	1e-05	100000	3.60757835904195	true	
s_pErk_20140430_gel1	s_{pErk,20140430,gel1}	1e-05	1000	0.369256805232789	true	
s_pErk_20140430_gel2	s_{pErk,20140430,gel2}	1e-05	1000	0.250134156378628	true	
s_pErk_20140505_gel1	s_{pErk,20140505,gel1}	1e-05	1000	8.92600078593847	true	
s_pErk_20140505_gel2	s_{pErk,20140505,gel2}	1e-05	1000	2.85637035018243	true	
s_pMek_20140430_gel1	s_{pMek,20140430,gel1}	1e-05	1000	77.7404398920619	true	
s_pMek_20140430_gel2	s_{pMek,20140430,gel2}	1e-05	1000	404.217160578548	true	
s_pMek_20140505_gel1	s_{pMek,20140505,gel1}	1e-05	1000	392.45653075379	true	
s_pMek_20140505_gel2	s_{pMek,20140505,gel2}	1e-05	1000	999.992845715073	true	
sigma_pErk	\sigma_{pErk}	1e-05	1000	0.045270131337451	true	
sigma_pMek	\sigma_{pMek}	1e-05	1000	0.000580451138215	true	
tau1	\tau_{1}	1e-08	100000000	0.242822010781068	true	
tau2	\tau_{2}	1e-08	100000000	0.021140927521636	true	
