conditionId	targetId	targetValue
condition_step_00_1	EGF_0	0.1
condition_step_00_3	EGF_0	0.3
condition_step_01_0	EGF_0	1.0
condition_step_03_0	EGF_0	3.0
condition_step_10_0	EGF_0	10.0
condition_step_30_0	EGF_0	30.0
condition_pulse_00_1	EGF_0	0.1
condition_pulse_00_3	EGF_0	0.3
condition_pulse_01_0	EGF_0	1.0
condition_pulse_03_0	EGF_0	3.0
condition_pulse_10_0	EGF_0	10.0
condition_pulse_30_0	EGF_0	30.0
condition_ramp_8_3Enegative06	EGF_0	0.0
condition_ramp_8_3Enegative05	EGF_0	0.0
condition_ramp_8_3Enegative04	EGF_0	0.0
condition_ramp_8_3Enegative03	EGF_0	0.0
condition_step_00_1	EGF_rate	0.0
condition_step_00_3	EGF_rate	0.0
condition_step_01_0	EGF_rate	0.0
condition_step_03_0	EGF_rate	0.0
condition_step_10_0	EGF_rate	0.0
condition_step_30_0	EGF_rate	0.0
condition_pulse_00_1	EGF_rate	0.0
condition_pulse_00_3	EGF_rate	0.0
condition_pulse_01_0	EGF_rate	0.0
condition_pulse_03_0	EGF_rate	0.0
condition_pulse_10_0	EGF_rate	0.0
condition_pulse_30_0	EGF_rate	0.0
condition_ramp_8_3Enegative06	EGF_rate	8.333333333333334e-06
condition_ramp_8_3Enegative05	EGF_rate	8.333333333333333e-05
condition_ramp_8_3Enegative04	EGF_rate	0.0008333333333333333
condition_ramp_8_3Enegative03	EGF_rate	0.008333333333333333
condition_step_00_1	EGF_end	3600.0
condition_step_00_3	EGF_end	3600.0
condition_step_01_0	EGF_end	3600.0
condition_step_03_0	EGF_end	3600.0
condition_step_10_0	EGF_end	3600.0
condition_step_30_0	EGF_end	3600.0
condition_pulse_00_1	EGF_end	60.0
condition_pulse_00_3	EGF_end	60.0
condition_pulse_01_0	EGF_end	60.0
condition_pulse_03_0	EGF_end	60.0
condition_pulse_10_0	EGF_end	60.0
condition_pulse_30_0	EGF_end	60.0
condition_ramp_8_3Enegative06	EGF_end	3600.0
condition_ramp_8_3Enegative05	EGF_end	3600.0
condition_ramp_8_3Enegative04	EGF_end	3600.0
condition_ramp_8_3Enegative03	EGF_end	3600.0
