conditionId	targetId	targetValue
pred1	alpha_50	0.21
pred2	alpha_50	0.252
pred3	alpha_50	0.105
pred4	alpha_50	0.21
pred5	alpha_50	0.42
pred1	beta_50	0.005
pred2	beta_50	0.005
pred3	beta_50	0.005
pred4	beta_50	0.005
pred5	beta_50	0.005
pred1	gamma_50	0.11
pred2	gamma_50	0.11
pred3	gamma_50	0.11
pred4	gamma_50	0.11
pred5	gamma_50	0.11
pred1	delta_50	0.005
pred2	delta_50	0.005
pred3	delta_50	0.005
pred4	delta_50	0.005
pred5	delta_50	0.005
pred1	epsilon_50	0.2
pred2	epsilon_50	0.2
pred3	epsilon_50	0.2
pred4	epsilon_50	0.4
pred5	epsilon_50	0.6
pred1	zeta_50	0.025
pred2	zeta_50	0.025
pred3	zeta_50	0.025
pred4	zeta_50	0.025
pred5	zeta_50	0.025
pred1	eta_50	0.025
pred2	eta_50	0.025
pred3	eta_50	0.025
pred4	eta_50	0.025
pred5	eta_50	0.025
pred1	kappa_50	0.02
pred2	kappa_50	0.02
pred3	kappa_50	0.02
pred4	kappa_50	0.02
pred5	kappa_50	0.02
pred1	lam_50	0.08
pred2	lam_50	0.08
pred3	lam_50	0.08
pred4	lam_50	0.08
pred5	lam_50	0.08
pred1	mu_50	0.08
pred2	mu_50	0.08
pred3	mu_50	0.08
pred4	mu_50	0.08
pred5	mu_50	0.08
pred1	nu_50	0.015
pred2	nu_50	0.015
pred3	nu_50	0.015
pred4	nu_50	0.015
pred5	nu_50	0.015
pred1	xi_50	0.02
pred2	xi_50	0.02
pred3	xi_50	0.02
pred4	xi_50	0.02
pred5	xi_50	0.02
pred1	rho_50	0.02
pred2	rho_50	0.02
pred3	rho_50	0.02
pred4	rho_50	0.02
pred5	rho_50	0.02
pred1	sigma_50	0.01
pred2	sigma_50	0.01
pred3	sigma_50	0.01
pred4	sigma_50	0.01
pred5	sigma_50	0.01
