experimentId	observableId	measurement	time	noiseParameters	datasetId
experiment____pred1	observable_TotalCases	5e-08	0.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	3.33e-07	1.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	1.32e-06	2.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	2.2e-06	3.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	3.65e-06	3.99	sd_TotalCases	test
experiment____pred1	observable_TotalCases	5.37e-06	5.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	6.67e-06	6.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	1.08e-05	7.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	1.48e-05	8.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	1.88e-05	9.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	2.82e-05	10.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	3.39e-05	11.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	4.17e-05	11.99	sd_TotalCases	test
experiment____pred1	observable_TotalCases	5.15e-05	13.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	6.43e-05	14.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	7.73e-05	15.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	9.81e-05	16.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.00012300003485	17.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.0001530000459	18.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.000169000053517	19.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.000208000069333	20.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.0002520000882	21.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.0002940001078	22.01	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.000353000135317	23.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.0004120001648	24.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.000466000194167	25.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.0005250002275	26.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.00059500026775	27.0	sd_TotalCases	test
experiment____pred1	observable_TotalCases	0.0006840003192	27.99	sd_TotalCases	test
