parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
alpha_0	alpha_0	0.001	10	0.57	true	
beta_0	beta_0	0.001	10	0.011	true	
delta_0	delta_0	0.001	10	0.011	true	
epsilon_0	epsilon_0	0.001	10	0.171	true	
eta_0	eta_0	0.001	10	0.125	true	
gamma_0	gamma_0	0.001	10	0.456	true	
kappa_0	kappa_0	0.001	10	0.017	true	
lam_0	lam_0	0.001	10	0.034	true	
mu_0	mu_0	0.001	10	0.017	true	
nu_0	nu_0	0.001	10	0.027	true	
rho_0	rho_0	0.001	10	0.034	true	
sigma_0	sigma_0	0.001	10	0.017	true	
tau	tau	0.001	10	0.01	true	
theta	theta	0.001	10	0.371	true	
xi_0	xi_0	0.001	10	0.017	true	
zeta_0	zeta_0	0.001	10	0.125	true	
alpha_4	alpha_4	0.001	10	0.422	true	
alpha_22	alpha_22	0.001	10	0.36	true	
alpha_28	alpha_28	0.001	10	0.21	true	
beta_4	beta_4	0.001	10	0.0057	true	
beta_22	beta_22	0.001	10	0.005	true	
delta_4	delta_4	0.001	10	0.0057	true	
delta_22	delta_22	0.001	10	0.005	true	
epsilon_12	epsilon_12	0.001	10	0.143	true	
epsilon_38	epsilon_38	0.001	10	0.2	true	
eta_22	eta_22	0.001	10	0.034	true	
eta_38	eta_38	0.001	10	0.025	true	
gamma_4	gamma_4	0.001	10	0.285	true	
gamma_22	gamma_22	0.001	10	0.2	true	
gamma_28	gamma_28	0.001	10	0.11	true	
kappa_22	kappa_22	0.001	10	0.017	true	
kappa_38	kappa_38	0.001	10	0.02	true	
lam_22	lam_22	0.001	10	0.08	true	
mu_22	mu_22	0.001	10	0.008	true	
nu_22	nu_22	0.001	10	0.015	true	
rho_22	rho_22	0.001	10	0.017	true	
rho_38	rho_38	0.001	10	0.02	true	
sigma_22	sigma_22	0.001	10	0.017	true	
sigma_38	sigma_38	0.001	10	0.01	true	
xi_22	xi_22	0.001	10	0.017	true	
xi_38	xi_38	0.001	10	0.02	true	
zeta_22	zeta_22	0.001	10	0.034	true	
zeta_38	zeta_38	0.001	10	0.025	true	
sd_TotalCases	sd_TotalCases	1e-08	10	1.0	true	
sd_Deaths	sd_Deaths	1e-08	10	1.0	true	
sd_Recovered	sd_Recovered	1e-08	10	1.0	true	
sd_CurrentCases	sd_CurrentCases	1e-08	10	1.0	true	
sd_DiagHome	sd_DiagHome	1e-08	10	1.0	true	
sd_Hospit	sd_Hospit	1e-08	10	1.0	true	
sd_ICU	sd_ICU	1e-08	10	1.0	true	
