conditionId	targetId	targetValue
model1_data1	Fsk_level	0.0
model1_data2	Fsk_level	0.0
model1_data3	Fsk_level	0.0
model1_data4	Fsk_level	0.0
model1_data5	Fsk_level	0.0
model1_data6	Fsk_level	0.0
model1_data7	Fsk_level	0.0
model1_data8	Fsk_level	0.0
model1_data9	Fsk_level	0.0
model1_data10	Fsk_level	0.0
model1_data11	Fsk_level	0.0
model1_data12	Fsk_level	0.0
model1_data13	Fsk_level	0.0
model1_data14	Fsk_level	0.0
model1_data15	Fsk_level	0.0
model1_data16	Fsk_level	0.0
model1_data17	Fsk_level	0.0
model1_data18	Fsk_level	0.0
model1_data19	Fsk_level	0.0
model1_data20	Fsk_level	0.0
model1_data21	Fsk_level	0.0
model1_data22	Fsk_level	0.0
model1_data23	Fsk_level	0.0
model1_data24	Fsk_level	0.0
model1_data25	Fsk_level	10.0
model1_data26	Fsk_level	10.0
model1_data27	Fsk_level	10.0
model1_data28	Fsk_level	10.0
model1_data29	Fsk_level	10.0
model1_data30	Fsk_level	10.0
model1_data31	Fsk_level	10.0
model1_data32	Fsk_level	10.0
model1_data33	Fsk_level	10.0
model1_data34	Fsk_level	10.0
model1_data35	Fsk_level	10.0
model1_data36	Fsk_level	10.0
model1_data37	Fsk_level	10.0
model1_data38	Fsk_level	10.0
model1_data39	Fsk_level	10.0
model1_data40	Fsk_level	10.0
model1_data41	Fsk_level	10.0
model1_data42	Fsk_level	10.0
model1_data43	Fsk_level	10.0
model1_data44	Fsk_level	10.0
model1_data45	Fsk_level	10.0
model1_data46	Fsk_level	10.0
model1_data47	Fsk_level	10.0
model1_data48	Fsk_level	10.0
model1_data49	Fsk_level	0.0
model1_data50	Fsk_level	0.0
model1_data51	Fsk_level	10.0
model1_data52	Fsk_level	10.0
model1_data53	Fsk_level	0.0
model1_data54	Fsk_level	0.0
model1_data55	Fsk_level	0.0
model1_data56	Fsk_level	0.0
model1_data57	Fsk_level	0.0
model1_data58	Fsk_level	0.0
model1_data59	Fsk_level	0.0
model1_data60	Fsk_level	0.0
model1_data61	Fsk_level	0.0
model1_data62	Fsk_level	0.0
model1_data63	Fsk_level	0.0
model1_data64	Fsk_level	0.0
model1_data65	Fsk_level	0.0
model1_data66	Fsk_level	0.0
model1_data67	Fsk_level	0.0
model1_data68	Fsk_level	0.0
model1_data69	Fsk_level	0.0
model1_data70	Fsk_level	0.0
model1_data71	Fsk_level	0.0
model1_data72	Fsk_level	0.0
model1_data73	Fsk_level	0.0
model1_data74	Fsk_level	0.0
model1_data75	Fsk_level	0.0
model1_data76	Fsk_level	0.0
model1_data77	Fsk_level	0.0
model1_data78	Fsk_level	0.0
model1_data79	Fsk_level	0.0
