experimentId	time	conditionId
experiment__model1_data49___model1_data1	-inf	model1_data49
experiment__model1_data49___model1_data1	0.0	model1_data1
experiment__model1_data49___model1_data10	-inf	model1_data49
experiment__model1_data49___model1_data10	0.0	model1_data10
experiment__model1_data49___model1_data100	-inf	model1_data49
experiment__model1_data49___model1_data100	0.0	model1_data100
experiment__model1_data49___model1_data101	-inf	model1_data49
experiment__model1_data49___model1_data101	0.0	model1_data101
experiment__model1_data49___model1_data102	-inf	model1_data49
experiment__model1_data49___model1_data102	0.0	model1_data102
experiment__model1_data49___model1_data103	-inf	model1_data49
experiment__model1_data49___model1_data103	0.0	model1_data103
experiment__model1_data49___model1_data104	-inf	model1_data49
experiment__model1_data49___model1_data104	0.0	model1_data104
experiment__model1_data49___model1_data105	-inf	model1_data49
experiment__model1_data49___model1_data105	0.0	model1_data105
experiment__model1_data49___model1_data106	-inf	model1_data49
experiment__model1_data49___model1_data106	0.0	model1_data106
experiment__model1_data49___model1_data107	-inf	model1_data49
experiment__model1_data49___model1_data107	0.0	model1_data107
experiment__model1_data49___model1_data108	-inf	model1_data49
experiment__model1_data49___model1_data108	0.0	model1_data108
experiment__model1_data49___model1_data109	-inf	model1_data49
experiment__model1_data49___model1_data109	0.0	model1_data109
experiment__model1_data49___model1_data11	-inf	model1_data49
experiment__model1_data49___model1_data11	0.0	model1_data11
experiment__model1_data49___model1_data110	-inf	model1_data49
experiment__model1_data49___model1_data110	0.0	model1_data110
experiment__model1_data49___model1_data111	-inf	model1_data49
experiment__model1_data49___model1_data111	0.0	model1_data111
experiment__model1_data49___model1_data112	-inf	model1_data49
experiment__model1_data49___model1_data112	0.0	model1_data112
experiment__model1_data49___model1_data113	-inf	model1_data49
experiment__model1_data49___model1_data113	0.0	model1_data113
experiment__model1_data49___model1_data114	-inf	model1_data49
experiment__model1_data49___model1_data114	0.0	model1_data114
experiment__model1_data49___model1_data115	-inf	model1_data49
experiment__model1_data49___model1_data115	0.0	model1_data115
experiment__model1_data49___model1_data116	-inf	model1_data49
experiment__model1_data49___model1_data116	0.0	model1_data116
experiment__model1_data49___model1_data117	-inf	model1_data49
experiment__model1_data49___model1_data117	0.0	model1_data117
experiment__model1_data49___model1_data118	-inf	model1_data49
experiment__model1_data49___model1_data118	0.0	model1_data118
experiment__model1_data49___model1_data119	-inf	model1_data49
experiment__model1_data49___model1_data119	0.0	model1_data119
experiment__model1_data49___model1_data12	-inf	model1_data49
experiment__model1_data49___model1_data12	0.0	model1_data12
experiment__model1_data49___model1_data120	-inf	model1_data49
experiment__model1_data49___model1_data120	0.0	model1_data120
experiment__model1_data49___model1_data121	-inf	model1_data49
experiment__model1_data49___model1_data121	0.0	model1_data121
experiment__model1_data49___model1_data122	-inf	model1_data49
experiment__model1_data49___model1_data122	0.0	model1_data122
experiment__model1_data49___model1_data123	-inf	model1_data49
experiment__model1_data49___model1_data123	0.0	model1_data123
experiment__model1_data49___model1_data13	-inf	model1_data49
experiment__model1_data49___model1_data13	0.0	model1_data13
experiment__model1_data49___model1_data14	-inf	model1_data49
experiment__model1_data49___model1_data14	0.0	model1_data14
experiment__model1_data49___model1_data15	-inf	model1_data49
experiment__model1_data49___model1_data15	0.0	model1_data15
experiment__model1_data49___model1_data16	-inf	model1_data49
experiment__model1_data49___model1_data16	0.0	model1_data16
experiment__model1_data49___model1_data17	-inf	model1_data49
experiment__model1_data49___model1_data17	0.0	model1_data17
experiment__model1_data49___model1_data18	-inf	model1_data49
experiment__model1_data49___model1_data18	0.0	model1_data18
experiment__model1_data49___model1_data19	-inf	model1_data49
experiment__model1_data49___model1_data19	0.0	model1_data19
experiment__model1_data49___model1_data2	-inf	model1_data49
experiment__model1_data49___model1_data2	0.0	model1_data2
experiment__model1_data49___model1_data20	-inf	model1_data49
experiment__model1_data49___model1_data20	0.0	model1_data20
experiment__model1_data49___model1_data21	-inf	model1_data49
experiment__model1_data49___model1_data21	0.0	model1_data21
experiment__model1_data49___model1_data22	-inf	model1_data49
experiment__model1_data49___model1_data22	0.0	model1_data22
experiment__model1_data49___model1_data23	-inf	model1_data49
experiment__model1_data49___model1_data23	0.0	model1_data23
experiment__model1_data49___model1_data24	-inf	model1_data49
experiment__model1_data49___model1_data24	0.0	model1_data24
experiment__model1_data49___model1_data25	-inf	model1_data49
experiment__model1_data49___model1_data25	0.0	model1_data25
experiment__model1_data49___model1_data26	-inf	model1_data49
experiment__model1_data49___model1_data26	0.0	model1_data26
experiment__model1_data49___model1_data27	-inf	model1_data49
experiment__model1_data49___model1_data27	0.0	model1_data27
experiment__model1_data49___model1_data28	-inf	model1_data49
experiment__model1_data49___model1_data28	0.0	model1_data28
experiment__model1_data49___model1_data29	-inf	model1_data49
experiment__model1_data49___model1_data29	0.0	model1_data29
experiment__model1_data49___model1_data3	-inf	model1_data49
experiment__model1_data49___model1_data3	0.0	model1_data3
experiment__model1_data49___model1_data30	-inf	model1_data49
experiment__model1_data49___model1_data30	0.0	model1_data30
experiment__model1_data49___model1_data31	-inf	model1_data49
experiment__model1_data49___model1_data31	0.0	model1_data31
experiment__model1_data49___model1_data32	-inf	model1_data49
experiment__model1_data49___model1_data32	0.0	model1_data32
experiment__model1_data49___model1_data33	-inf	model1_data49
experiment__model1_data49___model1_data33	0.0	model1_data33
experiment__model1_data49___model1_data34	-inf	model1_data49
experiment__model1_data49___model1_data34	0.0	model1_data34
experiment__model1_data49___model1_data35	-inf	model1_data49
experiment__model1_data49___model1_data35	0.0	model1_data35
experiment__model1_data49___model1_data36	-inf	model1_data49
experiment__model1_data49___model1_data36	0.0	model1_data36
experiment__model1_data49___model1_data37	-inf	model1_data49
experiment__model1_data49___model1_data37	0.0	model1_data37
experiment__model1_data49___model1_data38	-inf	model1_data49
experiment__model1_data49___model1_data38	0.0	model1_data38
experiment__model1_data49___model1_data39	-inf	model1_data49
experiment__model1_data49___model1_data39	0.0	model1_data39
experiment__model1_data49___model1_data4	-inf	model1_data49
experiment__model1_data49___model1_data4	0.0	model1_data4
experiment__model1_data49___model1_data40	-inf	model1_data49
experiment__model1_data49___model1_data40	0.0	model1_data40
experiment__model1_data49___model1_data41	-inf	model1_data49
experiment__model1_data49___model1_data41	0.0	model1_data41
experiment__model1_data49___model1_data42	-inf	model1_data49
experiment__model1_data49___model1_data42	0.0	model1_data42
experiment__model1_data49___model1_data43	-inf	model1_data49
experiment__model1_data49___model1_data43	0.0	model1_data43
experiment__model1_data49___model1_data44	-inf	model1_data49
experiment__model1_data49___model1_data44	0.0	model1_data44
experiment__model1_data49___model1_data45	-inf	model1_data49
experiment__model1_data49___model1_data45	0.0	model1_data45
experiment__model1_data49___model1_data46	-inf	model1_data49
experiment__model1_data49___model1_data46	0.0	model1_data46
experiment__model1_data49___model1_data47	-inf	model1_data49
experiment__model1_data49___model1_data47	0.0	model1_data47
experiment__model1_data49___model1_data48	-inf	model1_data49
experiment__model1_data49___model1_data48	0.0	model1_data48
experiment__model1_data49___model1_data49	-inf	model1_data49
experiment__model1_data49___model1_data49	0.0	model1_data49
experiment__model1_data49___model1_data5	-inf	model1_data49
experiment__model1_data49___model1_data5	0.0	model1_data5
experiment__model1_data49___model1_data50	-inf	model1_data49
experiment__model1_data49___model1_data50	0.0	model1_data50
experiment__model1_data49___model1_data51	-inf	model1_data49
experiment__model1_data49___model1_data51	0.0	model1_data51
experiment__model1_data49___model1_data52	-inf	model1_data49
experiment__model1_data49___model1_data52	0.0	model1_data52
experiment__model1_data49___model1_data53	-inf	model1_data49
experiment__model1_data49___model1_data53	0.0	model1_data53
experiment__model1_data49___model1_data54	-inf	model1_data49
experiment__model1_data49___model1_data54	0.0	model1_data54
experiment__model1_data49___model1_data55	-inf	model1_data49
experiment__model1_data49___model1_data55	0.0	model1_data55
experiment__model1_data49___model1_data56	-inf	model1_data49
experiment__model1_data49___model1_data56	0.0	model1_data56
experiment__model1_data49___model1_data57	-inf	model1_data49
experiment__model1_data49___model1_data57	0.0	model1_data57
experiment__model1_data49___model1_data58	-inf	model1_data49
experiment__model1_data49___model1_data58	0.0	model1_data58
experiment__model1_data49___model1_data59	-inf	model1_data49
experiment__model1_data49___model1_data59	0.0	model1_data59
experiment__model1_data49___model1_data6	-inf	model1_data49
experiment__model1_data49___model1_data6	0.0	model1_data6
experiment__model1_data49___model1_data60	-inf	model1_data49
experiment__model1_data49___model1_data60	0.0	model1_data60
experiment__model1_data49___model1_data61	-inf	model1_data49
experiment__model1_data49___model1_data61	0.0	model1_data61
experiment__model1_data49___model1_data62	-inf	model1_data49
experiment__model1_data49___model1_data62	0.0	model1_data62
experiment__model1_data49___model1_data63	-inf	model1_data49
experiment__model1_data49___model1_data63	0.0	model1_data63
experiment__model1_data49___model1_data64	-inf	model1_data49
experiment__model1_data49___model1_data64	0.0	model1_data64
experiment__model1_data49___model1_data65	-inf	model1_data49
experiment__model1_data49___model1_data65	0.0	model1_data65
experiment__model1_data49___model1_data66	-inf	model1_data49
experiment__model1_data49___model1_data66	0.0	model1_data66
experiment__model1_data49___model1_data67	-inf	model1_data49
experiment__model1_data49___model1_data67	0.0	model1_data67
