conditionId	targetId	targetValue
wt	_Cyt__CCND	ic_wt_Cyt__CCND
wt	_Cyt__CCNE_CDKN1A_B_	ic_wt_Cyt__CCNE_CDKN1A_B_
wt	_Cyt__E2F_DBD_RB1_Ser332u_	ic_wt_Cyt__E2F_DBD_RB1_Ser332u_
wt	_Cyt__E2F_DBD_RB1_Ser332p_	ic_wt_Cyt__E2F_DBD_RB1_Ser332p_
wt	_Cyt__CCNA_CDKN1A_B_	ic_wt_Cyt__CCNA_CDKN1A_B_
wt	_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_	ic_wt_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_
wt	_Cyt__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_	ic_wt_Cyt__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_
wt	_Cyt__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_	ic_wt_Cyt__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_
wt	_Cyt__RB1_E2F_Ser807_Ser811u_	ic_wt_Cyt__RB1_E2F_Ser807_Ser811u_
wt	_Cyt__RB1_E2F_Ser807_Ser811p_	ic_wt_Cyt__RB1_E2F_Ser807_Ser811p_
wt	_Cyt__PPP2R2B_ENSA_ARPP19_	ic_wt_Cyt__PPP2R2B_ENSA_ARPP19_
wt	_Cyt__APC_FBXO5_FZR1_CDC20_Ser355u_	ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_Ser355u_
wt	_Cyt__CDC20_APC_	ic_wt_Cyt__CDC20_APC_
wt	_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_	ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_
wt	_Cyt__APC_FBXO5_FZR1_CDC20_Ser355p_	ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_Ser355p_
wt	_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_	ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_
wt	_Cyt__FZR1_APC_FBXO5_nTermu_	ic_wt_Cyt__FZR1_APC_FBXO5_nTermu_
wt	_Cyt__FZR1_APC_FBXO5_nTermp_	ic_wt_Cyt__FZR1_APC_FBXO5_nTermp_
wt	_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_	ic_wt_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_
wt	_Cyt__FBXO5_APC_FZR1_Ser182u_	ic_wt_Cyt__FBXO5_APC_FZR1_Ser182u_
wt	_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_	ic_wt_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_
wt	_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_	ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_
wt	_Cyt__FBXO5_APC_FZR1_Ser182p_	ic_wt_Cyt__FBXO5_APC_FZR1_Ser182p_
wt	_Cyt__FOXM1_DBD_Thr600u_	ic_wt_Cyt__FOXM1_DBD_Thr600u_
wt	_Cyt__FOXM1_DBD_Thr600p_	ic_wt_Cyt__FOXM1_DBD_Thr600p_
wt	_Cyt__WEE1_Ser123u_	ic_wt_Cyt__WEE1_Ser123u_
wt	_Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_	ic_wt_Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_
wt	_Cyt__WEE1_Ser123p_	ic_wt_Cyt__WEE1_Ser123p_
wt	_Cyt__CDC25_pSitesp_	ic_wt_Cyt__CDC25_pSitesp_
wt	_Cyt__CDC25_pSitesu_	ic_wt_Cyt__CDC25_pSitesu_
wt	_Cyt__MASTL_Thr198u_	ic_wt_Cyt__MASTL_Thr198u_
wt	_Cyt__MASTL_Thr198p_	ic_wt_Cyt__MASTL_Thr198p_
wt	_Cyt__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_	ic_wt_Cyt__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_
wt	_Cyt__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_	ic_wt_Cyt__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_
wt	_Cyt__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_	ic_wt_Cyt__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_
wt	_Cyt__SKP2	ic_wt_Cyt__SKP2
wt	_Cyt__TP53_DBD_Ser15p_	ic_wt_Cyt__TP53_DBD_Ser15p_
wt	_Cyt__FOXO_DBD_	ic_wt_Cyt__FOXO_DBD_
wt	_Num__NUP_pSitesu_	ic_wt_Num__NUP_pSitesu_
wt	_Nuc__CCND	ic_wt_Nuc__CCND
wt	_Nuc__CCNE_CDKN1A_B_	ic_wt_Nuc__CCNE_CDKN1A_B_
wt	_Nuc__E2F_DBD_RB1_Ser332u_	ic_wt_Nuc__E2F_DBD_RB1_Ser332u_
wt	_Nuc__E2F_DBD_RB1_Ser332p_	ic_wt_Nuc__E2F_DBD_RB1_Ser332p_
wt	_Nuc__CCNA_CDKN1A_B_	ic_wt_Nuc__CCNA_CDKN1A_B_
wt	_Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_	ic_wt_Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_
wt	_Nuc__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_	ic_wt_Nuc__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_
wt	_Nuc__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_	ic_wt_Nuc__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_
wt	_Nuc__RB1_E2F_Ser807_Ser811u_	ic_wt_Nuc__RB1_E2F_Ser807_Ser811u_
wt	_Nuc__RB1_E2F_Ser807_Ser811p_	ic_wt_Nuc__RB1_E2F_Ser807_Ser811p_
wt	_Nuc__PPP2R2B_ENSA_ARPP19_	ic_wt_Nuc__PPP2R2B_ENSA_ARPP19_
wt	_Nuc__APC_FBXO5_FZR1_CDC20_Ser355u_	ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_Ser355u_
wt	_Nuc__CDC20_APC_	ic_wt_Nuc__CDC20_APC_
wt	_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_	ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_
wt	_Nuc__APC_FBXO5_FZR1_CDC20_Ser355p_	ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_Ser355p_
wt	_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_	ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_
wt	_Nuc__FZR1_APC_FBXO5_nTermu_	ic_wt_Nuc__FZR1_APC_FBXO5_nTermu_
wt	_Nuc__FZR1_APC_FBXO5_nTermp_	ic_wt_Nuc__FZR1_APC_FBXO5_nTermp_
wt	_Nuc__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_	ic_wt_Nuc__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_
wt	_Nuc__FBXO5_APC_FZR1_Ser182u_	ic_wt_Nuc__FBXO5_APC_FZR1_Ser182u_
wt	_Nuc__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_	ic_wt_Nuc__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_
wt	_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_	ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_
wt	_Nuc__FBXO5_APC_FZR1_Ser182p_	ic_wt_Nuc__FBXO5_APC_FZR1_Ser182p_
wt	_Nuc__FOXM1_DBD_Thr600u_	ic_wt_Nuc__FOXM1_DBD_Thr600u_
wt	_Nuc__FOXM1_DBD_Thr600p_	ic_wt_Nuc__FOXM1_DBD_Thr600p_
wt	_Nuc__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_	ic_wt_Nuc__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_
wt	_Nuc__CCNB_promoter_FOXM1_	ic_wt_Nuc__CCNB_promoter_FOXM1_
wt	_Nuc__CDC20_promoter_FOXM1_	ic_wt_Nuc__CDC20_promoter_FOXM1_
wt	_Nuc__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_	ic_wt_Nuc__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_
wt	_Nuc__WEE1_Ser123u_	ic_wt_Nuc__WEE1_Ser123u_
wt	_Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_	ic_wt_Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_
wt	_Nuc__WEE1_Ser123p_	ic_wt_Nuc__WEE1_Ser123p_
wt	_Nuc__CDC25_pSitesp_	ic_wt_Nuc__CDC25_pSitesp_
wt	_Nuc__CDC25_pSitesu_	ic_wt_Nuc__CDC25_pSitesu_
wt	_Nuc__MASTL_Thr198u_	ic_wt_Nuc__MASTL_Thr198u_
wt	_Nuc__MASTL_Thr198p_	ic_wt_Nuc__MASTL_Thr198p_
wt	_Nuc__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_	ic_wt_Nuc__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_
wt	_Nuc__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_	ic_wt_Nuc__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_
wt	_Nuc__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_	ic_wt_Nuc__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_
wt	_Nuc__CCNE_promoter_E2F_	ic_wt_Nuc__CCNE_promoter_E2F_
wt	_Nuc__CCNA_promoter_E2F_	ic_wt_Nuc__CCNA_promoter_E2F_
wt	_Nuc__E2F_promoter_E2F_	ic_wt_Nuc__E2F_promoter_E2F_
wt	_Nuc__FBXO5_promoter_E2F_	ic_wt_Nuc__FBXO5_promoter_E2F_
wt	_Nuc__FOXM1_promoter_E2F_	ic_wt_Nuc__FOXM1_promoter_E2F_
wt	_Nuc__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_	ic_wt_Nuc__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_
