parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorDistribution	priorParameters
kPhRbD		1.3e-16	9.21e-13	1.96e-14	true	uniform	1.3e-16;9.21e-13
kPhRbE		1.15e-14	4.22e-12	1.86e-13	true	uniform	1.15e-14;4.22e-12
kDpRb		0.000139	0.013899951	0.002405223	true	uniform	0.000139;0.013899951
kPhRb		4.05e-16	4.05e-14	2.8e-14	true	uniform	4.05e-16;4.05e-14
kSyCe1		2773.270542	16699678.07	7712092.714	true	uniform	2773.270542;16699678.07
kSyCe2		0.008399488	83.20022066	3.176641976	true	uniform	0.008399488;83.20022066
kDeCe		1.39e-05	0.001390002	0.00068623	true	uniform	1.39e-05;0.001390002
kDiE2fRb		3.47e-05	0.003470002	0.001259035	true	uniform	3.47e-05;0.003470002
kAsE2fRb		2.79e-13	2.79e-11	5.11e-13	true	uniform	2.79e-13;2.79e-11
kSyE2f1		83499.84045	835048195.2	1964124.657	true	uniform	83499.84045;835048195.2
kSyE2f2		0.218328894	1390.001354	14.19269549	true	uniform	0.218328894;1390.001354
kDeE2f1		1.83e-05	0.069303491	0.000693619	true	uniform	1.83e-05;0.069303491
kDeE2f2		1.61e-23	1.96e-19	1.89e-19	true	uniform	1.61e-23;1.96e-19
kPhE2f		1.9e-13	2.3e-11	2.57e-12	true	uniform	1.9e-13;2.3e-11
kDpE2f2		7.34e-16	1.86e-11	8.2e-13	true	uniform	7.34e-16;1.86e-11
kSyEmi1		416982.6945	41699512.66	1317275.1	true	uniform	416982.6945;41699512.66
kSyEmi2		0.693000194	69.29966	4.023427865	true	uniform	0.693000194;69.29966
kDeEmi1		3.53e-07	3.53e-05	1.64e-05	true	uniform	3.53e-07;3.53e-05
kDeEmi2		6.93e-07	6.93e-05	3.5e-05	true	uniform	6.93e-07;6.93e-05
kDeEmi3		0.003470002	0.347000173	0.005538575	true	uniform	0.003470002;0.347000173
kPhEmiA		5.75e-19	5.75e-17	8.97e-19	true	uniform	5.75e-19;5.75e-17
kPhEmiB		8.83e-15	2.88e-12	6.02e-14	true	uniform	8.83e-15;2.88e-12
kDpEmi		8.15e-09	2.89e-06	2.17e-06	true	uniform	8.15e-09;2.89e-06
kSyCa1		83499.84045	38511554.17	607075.3046	true	uniform	83499.84045;38511554.17
kSyCa2		0.104000456	62.13729164	0.225882008	true	uniform	0.104000456;62.13729164
kDeCa1		1.05e-10	1.05e-06	1.07e-10	true	uniform	1.05e-10;1.05e-06
kDeCa2		7.45e-14	7.45e-12	6.85e-13	true	uniform	7.45e-14;7.45e-12
kDeCa3		1.56e-20	7.5e-17	1.24e-17	true	uniform	1.56e-20;7.5e-17
kDpCdh		0.000346999	0.034699847	0.008890013	true	uniform	0.000346999;0.034699847
kPhCdhA		2.05e-16	3.03e-14	2.89e-14	true	uniform	2.05e-16;3.03e-14
kPhCdhE		1.7e-21	1.22e-17	8.29e-20	true	uniform	1.7e-21;1.22e-17
kPhCdhB		6.63e-21	6.63e-17	2.12e-20	true	uniform	6.63e-21;6.63e-17
kDiACE		5.96e-06	0.034699847	0.009196941	true	uniform	5.96e-06;0.034699847
kAsACE		1.11e-13	5.75e-08	6.1e-10	true	uniform	1.11e-13;5.75e-08
kDiACdh		3.46e-07	3.47e-05	4.08e-07	true	uniform	3.46e-07;3.47e-05
kAsACdh		2.54e-14	2.33e-10	1.07e-10	true	uniform	2.54e-14;2.33e-10
kPhCeA		6.33e-20	2.62e-17	7.75e-20	true	uniform	6.33e-20;2.62e-17
kPhCeE		2.32e-21	2.38e-17	8.29e-20	true	uniform	2.32e-21;2.38e-17
kPhFoxE		1.15e-17	1.15e-13	4.99e-16	true	uniform	1.15e-17;1.15e-13
kPhFoxA		1.15e-16	9.95e-13	3.78e-15	true	uniform	1.15e-16;9.95e-13
kPhFoxB		5.75e-15	5.75e-13	5.21e-14	true	uniform	5.75e-15;5.75e-13
kDpFox		1.04e-08	1.04e-06	1.22e-08	true	uniform	1.04e-08;1.04e-06
kSyCb1		83499.84045	8350232.995	3336037.432	true	uniform	83499.84045;8350232.995
kSyCb2		0.104000456	10.40004362	9.843245212	true	uniform	0.104000456;10.40004362
kDeCb1		6.93e-08	6.93e-06	3.1e-06	true	uniform	6.93e-08;6.93e-06
kDeCb2		1.44e-16	1.44e-14	8.86e-15	true	uniform	1.44e-16;1.44e-14
kDeCb3		1.44e-15	1.44e-13	3.66e-15	true	uniform	1.44e-15;1.44e-13
kPhEnsa		1.15e-15	1.15e-13	4.38e-14	true	uniform	1.15e-15;1.15e-13
kDpEnsa		3.6e-05	0.347010583	0.003234241	true	uniform	3.6e-05;0.347010583
kPhGw		1.14e-14	1.14e-12	9.22e-13	true	uniform	1.14e-14;1.14e-12
kDpGw1		0.000173	0.017299979	0.009615513	true	uniform	0.000173;0.017299979
kDpGw2		1.15e-13	1.15e-11	6.67e-13	true	uniform	1.15e-13;1.15e-11
kWee1		1.11e-21	2.9e-18	1.68e-21	true	uniform	1.11e-21;2.9e-18
kWee2		1.15e-14	1.15e-10	1.3e-12	true	uniform	1.15e-14;1.15e-10
kPhWeeA		1.15e-15	4.97e-12	1.85e-14	true	uniform	1.15e-15;4.97e-12
kPhWeeB		3.22e-15	3.19e-11	4.61e-13	true	uniform	3.22e-15;3.19e-11
kDpWee		1.15e-13	1.15e-11	1.09e-11	true	uniform	1.15e-13;1.15e-11
kCdc25_1		1.15e-16	1.15e-14	8.65e-15	true	uniform	1.15e-16;1.15e-14
kCdc25_2		1.15e-14	1.15e-12	8.4e-14	true	uniform	1.15e-14;1.15e-12
kDpCdc25		1.15e-13	1.44e-09	5.13e-12	true	uniform	1.15e-13;1.44e-09
kDipEB55		4.71e-07	0.001383382	0.00067326	true	uniform	4.71e-07;0.001383382
kAspEB55		1.7e-13	6.56e-10	1.54e-11	true	uniform	1.7e-13;6.56e-10
kSyCdc_1		1561.849756	8350232.995	260294.1445	true	uniform	1561.849756;8350232.995
kSyCdc_2		0.001237748	0.139	0.079613534	true	uniform	0.001237748;0.139
kDeCdc_1		2.77e-06	0.000277001	8.1e-06	true	uniform	2.77e-06;0.000277001
kDeCdc_2		4.76e-21	4.76e-17	5.78e-21	true	uniform	4.76e-21;4.76e-17
kDipACdc		0.008660178	86.60356004	0.812910086	true	uniform	0.008660178;86.60356004
kAspACdc		1.17e-10	1.82e-07	1.06e-09	true	uniform	1.17e-10;1.82e-07
kPhApcA		3.19e-14	3.19e-12	2.6e-13	true	uniform	3.19e-14;3.19e-12
kDpApc_1		1e-24	0.03	0.0	true	uniform	1e-24;0.03
kDpApc_2		5.75e-14	5.75e-11	5.56e-12	true	uniform	5.75e-14;5.75e-11
kSyFox1		83499.84045	8350232.995	473802.7527	true	uniform	83499.84045;8350232.995
kSyFox2		0.104000456	1040.004168	1.251173008	true	uniform	0.104000456;1040.004168
kDeFox1		7.93e-09	7.93e-07	1.21e-07	true	uniform	7.93e-09;7.93e-07
kDeFox2		2.7e-17	5.75e-11	7.97e-13	true	uniform	2.7e-17;5.75e-11
kAsEPx		5.75e-12	5.75e-10	8.09e-12	true	uniform	5.75e-12;5.75e-10
kDiEPx		0.003482222	3.469984059	0.036155448	true	uniform	0.003482222;3.469984059
kAsFPcb		5.75e-13	5.64e-09	9.44e-12	true	uniform	5.75e-13;5.64e-09
kDiFPcb		0.006929969	0.693000194	0.210209534	true	uniform	0.006929969;0.693000194
kAsFPcdc		5.75e-13	5.75e-11	5.28e-11	true	uniform	5.75e-13;5.75e-11
kDiFPcdc		0.000329673	1.729999293	0.294263524	true	uniform	0.000329673;1.729999293
kPhC25B		1.3e-16	1.15e-12	1.2e-14	true	uniform	1.3e-16;1.15e-12
kPhCAEE		9.96e-18	1.01e-15	5.96e-17	true	uniform	9.96e-18;1.01e-15
kPhCAEA		3.05e-18	2.7e-14	2.3e-14	true	uniform	3.05e-18;2.7e-14
kPhCAEB		7.69e-13	3.64e-08	2.31e-11	true	uniform	7.69e-13;3.64e-08
kDpE2f1		1e-24	0.010000002	0.0	true	uniform	1e-24;0.010000002
kPhC25A		1e-24	0.010000002	0.0	true	uniform	1e-24;0.010000002
kSySkp2		1199961.463	119999723.9	13037613.64	true	uniform	1199961.463;119999723.9
kDeSkp2_1		1.07e-07	0.000999995	0.000185181	true	uniform	1.07e-07;0.000999995
kDeSkp2_2		7.38e-14	7.38e-12	5.68e-13	true	uniform	7.38e-14;7.38e-12
kAsTP53PCDKN1A		4.98e-13	4.98e-09	2.06e-12	true	uniform	4.98e-13;4.98e-09
kDiTP53PCDKN1A		0.014999926	1.499999838	1.481276948	true	uniform	0.014999926;1.499999838
kSyCDKN1A_1		1188160.371	118819579.5	118819579.5	true	uniform	1188160.371;118819579.5
kSyCDKN1A_2		0.008	80.0	0.367139286	true	uniform	0.008;80.0
kDeCDKN1A_1		2e-05	0.001999996	0.001037873	true	uniform	2e-05;0.001999996
kDeCDKN1A_2		4.15e-16	4.15e-14	4.66e-15	true	uniform	4.15e-16;4.15e-14
kAsCdkn1aC		7.41e-13	1.82e-06	7.76e-13	true	uniform	7.41e-13;1.82e-06
kDiCdkn1aC		3.53e-11	3.05e-07	4.52e-10	true	uniform	3.53e-11;3.05e-07
kPhCDKN1AByCe		9.48e-16	8.3e-13	2.14e-14	true	uniform	9.48e-16;8.3e-13
kPhCDKN1AByCa		4.69e-16	3.32e-12	9.24e-15	true	uniform	4.69e-16;3.32e-12
kPhCDKN1AByCb		1.79e-14	1.79e-10	1.08e-13	true	uniform	1.79e-14;1.79e-10
kDpCDKN1A		0.000200001	0.857510932	0.00282592	true	uniform	0.000200001;0.857510932
kAsFOXOPCDKN1B		4.98e-13	4.98e-09	4.35e-11	true	uniform	4.98e-13;4.98e-09
kDiFOXOPCDKN1B		0.000512749	1.499999838	0.0020376	true	uniform	0.000512749;1.499999838
kSyCDKN1B_1		1199961.463	119999723.9	1826525.047	true	uniform	1199961.463;119999723.9
kSyCDKN1B_2		0.099999509	10.00004907	1.235322479	true	uniform	0.099999509;10.00004907
kDeCDKN1B_1		2e-05	0.200003583	0.001331691	true	uniform	2e-05;0.200003583
