experimentId	observableId	measurement	time	noiseParameters	observableParameters	datasetId
experiment____virus_infection	RM5	16.4862319433747	1.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	137.529004093062	2.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	5927.73630370154	3.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	26070.7777033051	4.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	36165.1722001919	5.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	39708.6354393543	6.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	33557.6057996387	7.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	26851.6819153912	8.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	24129.7114856115	9.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RM5	15503.6668243303	10.0	sigma_RM5		dataset_RM5
experiment____virus_infection	RVSegTot	535.171384487193	1.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	505.340542126865	2.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	2257.56566823967	3.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	13599.6998388987	4.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	34431.2425312543	5.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	52925.7096508491	6.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	64547.3268688838	7.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	74091.3081045583	8.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	88032.0436517163	9.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RVSegTot	97993.174580701	10.0	sigma_RV	vRNA_offset	dataset_RV
experiment____virus_infection	RCSegTot	0.316575722115733	1.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	28.2322619773035	2.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	304.173443943742	3.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	853.489726325741	4.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	1059.34292406483	5.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	1080.18974477004	6.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	923.164390912859	7.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	944.367497535591	8.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	1058.63298698841	9.0	sigma_RC		dataset_RC
experiment____virus_infection	RCSegTot	1003.14044835124	10.0	sigma_RC		dataset_RC
experiment____virus_infection_2	Vrel	848.298307989294	20.0	sigma_Vrel		dataset_Vrel
experiment____virus_infection_2	Vrel	907.923629140452	24.0	sigma_Vrel		dataset_Vrel
experiment____virus_infection_2	Vrel	1223.94016428638	28.0	sigma_Vrel		dataset_Vrel
experiment____virus_infection_3	IntNucOffset	51.6	0.0	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
experiment____virus_infection_3	FracNucInt_1	42.785	0.25	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
experiment____virus_infection_3	FracNucInt_2	51.7075	0.5	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
experiment____virus_infection_3	FracNucInt_3	53.7125	0.75	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
experiment____virus_infection_3	FracNucInt_4	57.4275	1.0	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
experiment____virus_infection_3	FracNucInt_5	65.885	1.25	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
experiment____virus_infection_3	FracNucInt_6	72.12	1.5	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
experiment____virus_infection_3	FracNucInt_7	69.9933333333333	1.75	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
experiment____virus_infection_3	FracNucInt_8	76.97	2.0	scale_sigma_FracNucInt	Int_nuc_off	dataset_FracNucInt
