conditionId	targetId	targetValue
model1_data1	init_S2	S2tot
model1_data2	init_S2	S2tot
model1_data3	init_S2	S2tot
model1_data4	init_S2	S2tot
model1_data5	init_S2	S2tot
model1_data6	init_S2	S2tot
model1_data7	init_S2	S2tot
model1_data8	init_S2	142.34
model1_data9	init_S2	142.34
model1_data10	init_S2	142.34
model1_data11	init_S2	284.68
model1_data12	init_S2	142.34
model1_data13	init_S2	142.34
model1_data14	init_S2	142.34
model1_data15	init_S2	284.68
model1_data16	init_S2	142.34
model1_data1	init_S3	S3tot
model1_data2	init_S3	S3tot
model1_data3	init_S3	S3tot
model1_data4	init_S3	S3tot
model1_data5	init_S3	S3tot
model1_data6	init_S3	S3tot
model1_data7	init_S3	S3tot
model1_data8	init_S3	14.234
model1_data9	init_S3	14.234
model1_data10	init_S3	227.744
model1_data11	init_S3	14.234
model1_data12	init_S3	14.234
model1_data13	init_S3	14.234
model1_data14	init_S3	227.744
model1_data15	init_S3	14.234
model1_data16	init_S3	S3tot
model1_data1	init_S4	S4tot
model1_data2	init_S4	S4tot
model1_data3	init_S4	S4tot
model1_data4	init_S4	S4tot
model1_data5	init_S4	S4tot
model1_data6	init_S4	S4tot
model1_data7	init_S4	S4tot
model1_data8	init_S4	208.41
model1_data9	init_S4	69.47
model1_data10	init_S4	69.47
model1_data11	init_S4	69.47
model1_data12	init_S4	208.41
model1_data13	init_S4	69.47
model1_data14	init_S4	69.47
model1_data15	init_S4	69.47
model1_data16	init_S4	69.47
model1_data1	init_TGFb	0.0
model1_data2	init_TGFb	0.1
model1_data3	init_TGFb	1.0
model1_data4	init_TGFb	1.0
model1_data5	init_TGFb	0.0
model1_data6	init_TGFb	1.0
model1_data7	init_TGFb	0.0
model1_data8	init_TGFb	0.0
model1_data9	init_TGFb	0.0
model1_data10	init_TGFb	0.0
model1_data11	init_TGFb	0.0
model1_data12	init_TGFb	1.0
model1_data13	init_TGFb	1.0
model1_data14	init_TGFb	1.0
model1_data15	init_TGFb	1.0
model1_data16	init_TGFb	1.0
