experimentId	conditionId	time
experiment____model1_data1	model1_data1	0
experiment____model1_data10	model1_data10	0
experiment____model1_data11	model1_data11	0
experiment____model1_data12	model1_data12	0
experiment____model1_data13	model1_data13	0
experiment____model1_data14	model1_data14	0
experiment____model1_data15	model1_data15	0
experiment____model1_data16	model1_data16	0
experiment____model1_data2	model1_data2	0
experiment____model1_data3	model1_data3	0
experiment____model1_data4	model1_data4	0
experiment____model1_data5	model1_data5	0
experiment____model1_data6	model1_data6	0
experiment____model1_data7	model1_data7	0
experiment____model1_data8	model1_data8	0
experiment____model1_data9	model1_data9	0
