parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
Rec_act	Rec_{act}	1e-05	1000	0.005969840220269	true	
S2tot	S2tot	1e-05	1000	142.781779487328	true	
S3tot	S3tot	1e-05	1000	16.2589451746389	true	
S4tot	S4tot	1e-05	1000	67.0231777556657	true	
S_dephos	S_{dephos}	1e-05	1000	0.27814192587492	true	
S_dephosphos	S_{dephosphos}	1e-05	1000	0.047612869772851	true	
S_phos	S_{phos}	1e-05	1000	0.377121036829566	true	
geneA_act1	geneA_{act1}	1e-05	1000	0.014141482569873	true	
geneA_act2	geneA_{act2}	1e-05	1000	0.000804762503775	true	
geneA_act3	geneA_{act3}	0.0	1000	0.0	false	
geneA_inh1	geneA_{inh1}	0.0	1000	0.0	false	
geneA_inh2	geneA_{inh2}	1e-05	1000	0.046327226117843	true	
geneA_inh3	geneA_{inh3}	1e-05	1000	0.026267107319375	true	
geneA_turn	geneA_{turn}	1e-05	1000	0.00457249551772	true	
geneB_act1	geneB_{act1}	1e-05	1000	0.459613121530843	true	
geneB_act2	geneB_{act2}	1e-05	1000	0.073383419339726	true	
geneB_act3	geneB_{act3}	1e-05	1000	0.030882914826193	true	
geneB_inh1	geneB_{inh1}	0.0	1000	0.0	false	
geneB_inh2	geneB_{inh2}	1e-05	1000	0.741363220477926	true	
geneB_inh3	geneB_{inh3}	1e-05	1000	0.408770024042632	true	
geneB_turn	geneB_{turn}	1e-05	1000	0.011249707694988	true	
geneC_act1	geneC_{act1}	1e-05	1000	0.007148127389081	true	
geneC_act2	geneC_{act2}	0.0	1000	0.0	false	
geneC_act3	geneC_{act3}	0.0	1000	0.0	false	
geneC_inh1	geneC_{inh1}	0.0	1000	0.0	false	
geneC_inh2	geneC_{inh2}	1e-05	1000	0.018280189253089	true	
geneC_inh3	geneC_{inh3}	1e-05	1000	0.035357897325705	true	
geneC_turn	geneC_{turn}	1e-05	1000	0.003788712045359	true	
geneD_act1	geneD_{act1}	1e-05	1000	0.011196450539858	true	
geneD_act2	geneD_{act2}	1e-05	1000	0.000274226711471	true	
geneD_act3	geneD_{act3}	0.0	1000	0.0	false	
geneD_inh1	geneD_{inh1}	0.0	1000	0.0	false	
geneD_inh2	geneD_{inh2}	1e-05	1000	0.087254446388786	true	
geneD_inh3	geneD_{inh3}	1e-05	1000	0.101513276183648	true	
geneD_turn	geneD_{turn}	1e-05	1000	0.000808762955598	true	
geneE_act1	geneE_{act1}	0.0	1000	0.0	false	
geneE_act2	geneE_{act2}	1e-05	1000	1.00646343942677	true	
geneE_act3	geneE_{act3}	1e-05	1000	5.99313266073915	true	
geneE_inh1	geneE_{inh1}	1e-05	1000	8.07491215308045	true	
geneE_inh2	geneE_{inh2}	1e-05	1000	1.41088296804943	true	
geneE_inh3	geneE_{inh3}	1e-05	1000	9.6007014049458	true	
geneE_turn	geneE_{turn}	1e-05	1000	0.123153223674769	true	
geneF_act1	geneF_{act1}	1e-05	1000	997.409937077934	true	
geneF_act2	geneF_{act2}	1e-05	1000	0.202918268796874	true	
geneF_act3	geneF_{act3}	1e-05	1000	20.6601154704175	true	
geneF_inh1	geneF_{inh1}	1e-05	1000	3.61748263470294	true	
geneF_inh2	geneF_{inh2}	0.0	1000	0.0	false	
geneF_inh3	geneF_{inh3}	0.0	1000	0.0	false	
geneF_turn	geneF_{turn}	1e-05	1000	36.7828145068642	true	
geneG_act1	geneG_{act1}	1e-05	1000	631.448426386524	true	
geneG_act2	geneG_{act2}	1e-05	1000	55.8423040781623	true	
geneG_act3	geneG_{act3}	0.0	1000	0.0	false	
geneG_inh1	geneG_{inh1}	0.0	1000	0.0	false	
geneG_inh2	geneG_{inh2}	1e-05	1000	0.017226968457893	true	
geneG_inh3	geneG_{inh3}	1e-05	1000	0.000789710736856	true	
geneG_turn	geneG_{turn}	1e-05	1000	298.52886647117	true	
geneH_act1	geneH_{act1}	0.0	1000	0.0	false	
geneH_act2	geneH_{act2}	1e-05	1000	89.4094400577504	true	
geneH_act3	geneH_{act3}	1e-05	1000	999.941275471262	true	
geneH_inh1	geneH_{inh1}	1e-05	1000	999.998157205339	true	
geneH_inh2	geneH_{inh2}	1e-05	1000	18.9335116736955	true	
geneH_inh3	geneH_{inh3}	1e-05	1000	218.414317332393	true	
geneH_turn	geneH_{turn}	1e-05	1000	0.992432086986075	true	
geneI_act1	geneI_{act1}	1e-05	1000	9.30363565946309	true	
geneI_act2	geneI_{act2}	0.0	1000	0.0	false	
geneI_act3	geneI_{act3}	0.0	1000	0.0	false	
geneI_inh1	geneI_{inh1}	0.0	1000	0.0	false	
geneI_inh2	geneI_{inh2}	1e-05	1000	318.827113851182	true	
geneI_inh3	geneI_{inh3}	1e-05	1000	999.984313802586	true	
geneI_turn	geneI_{turn}	1e-05	1000	0.003283125626569	true	
geneJ_act1	geneJ_{act1}	0.0	1000	0.0	false	
geneJ_act2	geneJ_{act2}	0.0	1000	0.0	false	
geneJ_act3	geneJ_{act3}	0.0	1000	0.0	false	
geneJ_inh1	geneJ_{inh1}	1e-05	1000	0.477105124254686	true	
geneJ_inh2	geneJ_{inh2}	1e-05	1000	0.009916494960393	true	
geneJ_inh3	geneJ_{inh3}	1e-05	1000	0.008538578630726	true	
geneJ_turn	geneJ_{turn}	1e-05	1000	0.014037170066501	true	
geneK_act1	geneK_{act1}	1e-05	1000	0.012554063210037	true	
geneK_act2	geneK_{act2}	1e-05	1000	0.000277659442546	true	
geneK_act3	geneK_{act3}	0.0	1000	0.0	false	
geneK_inh1	geneK_{inh1}	0.0	1000	0.0	false	
geneK_inh2	geneK_{inh2}	1e-05	1000	1.35229129075373	true	
geneK_inh3	geneK_{inh3}	1e-05	1000	2.43517542511281	true	
geneK_turn	geneK_{turn}	1e-05	1000	0.003604029209818	true	
geneL_act1	geneL_{act1}	0.0	1000	0.0	false	
geneL_act2	geneL_{act2}	1e-05	1000	0.000469494240947	true	
geneL_act3	geneL_{act3}	0.0	1000	0.0	false	
geneL_inh1	geneL_{inh1}	1e-05	1000	1.29355064932496	true	
geneL_inh2	geneL_{inh2}	1e-05	1000	0.062052638950287	true	
geneL_inh3	geneL_{inh3}	1e-05	1000	0.134647700641231	true	
geneL_turn	geneL_{turn}	1e-05	1000	0.014959914457387	true	
init_Rec	init_{Rec}	1e-05	1000	1.83573022281688	true	
k_223	K_{223}	0.0	3	0.0	false	
k_224	K_{224}	0.0	3	0.0	false	
k_233	K_{233}	1e-08	1000	0.142085879395794	true	
k_234	K_{234}	1e-08	1000	0.000388982466668	true	
k_244	K_{244}	1e-08	1000	8.39675013568961e-06	true	
k_334	K_{334}	0.0	3	0.0	false	
k_344	K_{344}	0.0	3	0.0	false	
k_on_u	k_{on,u}	0.0	3	0.0	false	
kdiss_SS	kdiss_{SS}	0.0	3	0.0	false	
khomo2	khomo2	0.0	3	0.0	false	
khomo3	khomo3	0.0	3	0.0	false	
khomo4	khomo4	0.0	3	0.0	false	
pRec_degind	pRec_{degind}	1e-05	1000	0.04135528194872	true	
sd_Bmp4_nExpID100	\sigma_{Bmp4,nExpID100}	1e-05	1000	0.137157454763382	true	
sd_Cxcl15_nExpID100	\sigma_{Cxcl15,nExpID100}	1e-05	1000	0.13079064242208	true	
sd_Dnmt3a_nExpID100	\sigma_{Dnmt3a,nExpID100}	1e-05	1000	0.094144201838107	true	
sd_Dusp5_nExpID100	\sigma_{Dusp5,nExpID100}	1e-05	1000	0.102712401706984	true	
sd_Jun_nExpID100	\sigma_{Jun,nExpID100}	1e-05	1000	0.160218041756984	true	
sd_Klf10_nExpID100	\sigma_{Klf10,nExpID100}	1e-05	1000	0.114163398031463	true	
sd_Pdk4_nExpID100	\sigma_{Pdk4,nExpID100}	1e-05	1000	0.071815166180012	true	
sd_Ski_nExpID100	\sigma_{Ski,nExpID100}	1e-05	1000	0.099395735077609	true	
sd_Skil_nExpID100	\sigma_{Skil,nExpID100}	1e-05	1000	0.170117118767879	true	
sd_Smad7_nExpID100	\sigma_{Smad7,nExpID100}	1e-05	1000	0.068439045180716	true	
sd_Sox4_nExpID100	\sigma_{Sox4,nExpID100}	1e-05	1000	0.12283736185634	true	
sd_Tgfa_nExpID100	\sigma_{Tgfa,nExpID100}	1e-05	1000	0.075061798783051	true	
