experimentId	observableId	measurement	time	noiseParameters	datasetId
experiment____cond1	observable_ActiveCases	1	0	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	1	1	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	5	2	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	9	3	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	19	5	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	22	6	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	25	7	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	29	8	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	32	9	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	43	10	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	57	12	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	66	13	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	75	14	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	76	15	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	85	16	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	81	17	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	86	18	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	86	19	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	88	20	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	87	21	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	96	22	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	111	23	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	117	24	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	115	25	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	119	26	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	116	27	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	123	28	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	139	29	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	140	30	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	154	31	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	182	32	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	200	33	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	266	34	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	266	35	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	309	36	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	383	37	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	460	38	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	530	39	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	548	40	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	584	41	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	602	42	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	682	43	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	718	44	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	756	45	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	753	46	sd_ActiveCases	id1
experiment____cond1	observable_ActiveCases	791	47	sd_ActiveCases	id1
experiment____cond1	observable_Cumulative	1	0	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	1	1	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	5	2	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	9	3	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	19	5	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	22	6	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	25	7	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	29	8	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	32	9	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	44	10	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	58	12	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	67	13	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	81	14	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	82	15	sd_Cumulative	id1
