experimentId	observableId	measurement	time	noiseParameters	datasetId
experiment____interior	cumulative_cases	1	0	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	0	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	2	1	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	1	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	2	2	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	2	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	2	3	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	3	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	2	4	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	4	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	3	5	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	5	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	3	6	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	6	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	4	7	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	7	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	4	8	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	8	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	5	9	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	9	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	6	10	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	10	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	9	11	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	11	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	10	12	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	12	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	12	13	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	13	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	16	14	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	14	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	18	15	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	15	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	22	16	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	16	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	26	17	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	17	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	34	18	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	18	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	37	19	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	19	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	45	20	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	20	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	45	21	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	21	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	46	22	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	22	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	53	23	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	23	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	59	24	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	24	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	85	25	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	25	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	93	26	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	26	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	100	27	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	0	27	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	106	28	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	1	28	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	121	29	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	2	29	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	157	30	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	2	30	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	174	31	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	2	31	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	193	32	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	4	32	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	223	33	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	7	33	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	254	34	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	8	34	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	273	35	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	8	35	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	285	36	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	10	36	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	310	37	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	10	37	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	333	38	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	11	38	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	348	39	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	13	39	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	362	40	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	13	40	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	395	41	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	16	41	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	421	42	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	18	42	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	440	43	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	21	43	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	485	44	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	23	44	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	553	45	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	24	45	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	577	46	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	25	46	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	606	47	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	26	47	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	708	48	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	28	48	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	756	49	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	30	49	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	808	50	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	34	50	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	886	51	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	35	51	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	921	52	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	35	52	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	981	53	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	37	53	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	1031	54	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	38	54	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	1077	55	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	39	55	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	1139	56	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	41	56	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	1209	57	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	45	57	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	1313	58	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	48	58	sd_cumulative_deaths	dataset_
experiment____interior	cumulative_cases	1357	59	sd_cumulative_cases	dataset_
experiment____interior	cumulative_deaths	50	59	sd_cumulative_deaths	dataset_
