experimentId	observableId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution	datasetId
experiment____model1_data1	observable_RecSurf	1.289752779	0.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data1_RecSurf
experiment____model1_data1	observable_RecSurf	1.57854438	10.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data1_RecSurf
experiment____model1_data1	observable_RecSurf	1.515091272	20.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data1_RecSurf
experiment____model1_data1	observable_RecSurf	1.50496416	30.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data1_RecSurf
experiment____model1_data1	observable_RecSurf	1.617802874	60.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data1_RecSurf
experiment____model1_data1	observable_RecSurf	1.572371701	90.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data1_RecSurf
experiment____model1_data1	observable_RecSurf	1.430619477	120.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data1_RecSurf
experiment____model1_data1	observable_IL13_cell	0.615740257	0.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data1_IL13_cell
experiment____model1_data1	observable_IL13_cell	0.295868505	15.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data1_IL13_cell
experiment____model1_data1	observable_IL13_cell	0.322285203	30.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data1_IL13_cell
experiment____model1_data1	observable_IL13_cell	0.169527777	60.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data1_IL13_cell
experiment____model1_data1	observable_IL13_cell	0.257966287	90.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data1_IL13_cell
experiment____model1_data1	observable_IL13_cell	0.231549589	120.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data1_IL13_cell
experiment____model1_data1	observable_SOCS3mRNA	1.562357019	0.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
experiment____model1_data1	observable_SOCS3mRNA	0.992868163	20.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
experiment____model1_data1	observable_SOCS3mRNA	14.83449477	30.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
experiment____model1_data1	observable_SOCS3mRNA	11.675177	40.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
