parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
CD274mRNA_production	CD274mRNA_{production}	1e-05	1000	0.021208853684209	true	
DecoyR_binding	DecoyR_{binding}	1e-05	1000	0.003851039137402	true	
JAK2_p_inhibition	JAK2_{p,inhibition}	1e-05	1000	0.078140000505809	true	
JAK2_phosphorylation	JAK2_{phosphorylation}	1e-05	1000	1.01721171826747	true	
Kon_IL13Rec	Kon_{IL13Rec}	1e-05	1000	0.002278141087201	true	
Rec_intern	Rec_{intern}	1e-05	1000	0.344129281159739	true	
Rec_phosphorylation	Rec_{phosphorylation}	1e-05	1000	999.999816483984	true	
Rec_recycle	Rec_{recycle}	1e-05	1000	0.00209774906794	true	
SOCS3_accumulation	SOCS3_{accumulation}	1e-05	1000	451.777901711184	true	
SOCS3_degradation	SOCS3_{degradation}	1e-05	1000	0.043380223348167	true	
SOCS3_translation	SOCS3_{translation}	1e-05	1000	15.7186888386006	true	
SOCS3mRNA_production	SOCS3mRNA_{production}	1e-05	1000	0.14337151776186	true	
STAT5_phosphorylation	STAT5_{phosphorylation}	1e-05	1000	0.01948207479306	true	
init_Rec_i	init_{Rec,i}	1e-05	1000	235.058493601113	true	
pJAK2_dephosphorylation	pJAK2_{dephosphorylation}	1e-05	1000	0.000175894009439	true	
pRec_degradation	pRec_{degradation}	1e-05	1000	0.209573978543856	true	
pRec_intern	pRec_{intern}	1e-05	1000	0.585271535297764	true	
pSTAT5_dephosphorylation	pSTAT5_{dephosphorylation}	1e-05	1000	0.000274832319318	true	
scaling_CD274mRNA	scaling_{CD274mRNA}	1e-05	1000	0.00815283660871	true	
scaling_IL13_cell	scaling_{IL13,cell}	1e-05	1000	5.50098613841361	true	
scaling_SOCS3mRNA	scaling_{SOCS3mRNA}	1e-05	1000	0.581287913862507	true	
scaling_pIL4Ra	scaling_{pIL4Ra}	1e-05	1000	2.9757729322919	true	
scaling_pJAK2	scaling_{pJAK2}	1e-05	1000	0.857246885626022	true	
sd_SOCS3mRNA_abs	sd_SOCS3mRNA_abs	1e-05	1000	9.2	true	
sd_RecSurf_abs	sd_RecSurf_abs	1e-05	1000	1e-05	true	
sd_pSTAT5_rel	sd_pSTAT5_rel	1e-05	1000	0.18	true	
sd_IL13_cell_rel	sd_IL13_cell_rel	1e-05	1000	0.065	true	
sd_RecSurf_rel	sd_RecSurf_rel	1e-05	1000	0.078	true	
sd_pJAK2_abs	sd_pJAK2_abs	1e-05	1000	0.32	true	
sd_pIL4Ra_abs	sd_pIL4Ra_abs	1e-05	1000	0.62	true	
sd_CD274mRNA_rel	sd_CD274mRNA_rel	1e-05	1000	0.61	true	
sd_SOCS3mRNA_rel	sd_SOCS3mRNA_rel	1e-05	1000	0.52	true	
sd_pIL4Ra_rel	sd_pIL4Ra_rel	1e-05	1000	1.1e-05	true	
sd_IL13_cell_abs	sd_IL13_cell_abs	1e-05	1000	0.28	true	
sd_SOCS3_rel	sd_SOCS3_rel	1e-05	1000	0.18	true	
sd_CD274mRNA_abs	sd_CD274mRNA_abs	1e-05	1000	0.024	true	
sd_pSTAT5_abs	sd_pSTAT5_abs	1e-05	1000	1.4	true	
sd_SOCS3_abs	sd_SOCS3_abs	1e-05	1000	15.0	true	
sd_pJAK2_rel	sd_pJAK2_rel	1e-05	1000	1e-05	true	
