conditionId	targetId	targetValue
model1_data1	CET_level	0.0
model1_data2	CET_level	0.0
model1_data3	CET_level	0.0
model1_data4	CET_level	0.0
model1_data5	CET_level	0.0
model1_data6	CET_level	0.0
model1_data7	CET_level	0.0
model1_data8	CET_level	1.0
model1_data9	CET_level	50.0
model1_data10	CET_level	0.0
model1_data11	CET_level	1.0
model1_data12	CET_level	50.0
model1_data13	CET_level	0.0
model1_data14	CET_level	0.1
model1_data15	CET_level	1.0
model1_data16	CET_level	0.0
model1_data17	CET_level	0.1
model1_data18	CET_level	1.0
model1_data19	CET_level	0.0
model1_data20	CET_level	1.0
model1_data21	CET_level	50.0
model1_data22	CET_level	0.0
model1_data23	CET_level	1.0
model1_data24	CET_level	50.0
model1_data25	CET_level	0.0
model1_data26	CET_level	0.1
model1_data27	CET_level	1.0
model1_data28	CET_level	0.0
model1_data29	CET_level	0.1
model1_data30	CET_level	1.0
model1_data31	CET_level	0.0
model1_data32	CET_level	0.05
model1_data33	CET_level	0.1
model1_data34	CET_level	1.0
model1_data35	CET_level	10.0
model1_data36	CET_level	0.0
model1_data37	CET_level	0.05
model1_data38	CET_level	0.1
model1_data39	CET_level	1.0
model1_data40	CET_level	10.0
model1_data41	CET_level	0.0
model1_data42	CET_level	0.05
model1_data43	CET_level	0.1
model1_data44	CET_level	1.0
model1_data45	CET_level	10.0
model1_data46	CET_level	0.0
model1_data47	CET_level	0.05
model1_data48	CET_level	0.1
model1_data49	CET_level	1.0
model1_data50	CET_level	10.0
model1_data51	CET_level	0.0
model1_data52	CET_level	0.05
model1_data53	CET_level	0.1
model1_data54	CET_level	1.0
model1_data55	CET_level	10.0
model1_data56	CET_level	0.0
model1_data57	CET_level	0.05
model1_data58	CET_level	0.1
model1_data59	CET_level	1.0
model1_data60	CET_level	10.0
model1_data61	CET_level	0.0
model1_data62	CET_level	0.05
model1_data63	CET_level	0.1
model1_data64	CET_level	1.0
model1_data65	CET_level	10.0
model1_data66	CET_level	0.0
model1_data67	CET_level	0.05
model1_data68	CET_level	0.1
model1_data69	CET_level	1.0
model1_data70	CET_level	10.0
model1_data71	CET_level	0.0
model1_data72	CET_level	0.05
model1_data73	CET_level	0.1
model1_data74	CET_level	1.0
model1_data75	CET_level	10.0
model1_data76	CET_level	0.0
model1_data77	CET_level	0.05
model1_data78	CET_level	0.1
model1_data79	CET_level	1.0
model1_data80	CET_level	10.0
model1_data81	CET_level	0.0
model1_data82	CET_level	0.05
model1_data83	CET_level	0.1
model1_data84	CET_level	1.0
model1_data85	CET_level	10.0
model1_data86	CET_level	0.0
model1_data87	CET_level	0.05
model1_data88	CET_level	0.1
model1_data89	CET_level	1.0
model1_data90	CET_level	10.0
model1_data91	CET_level	0.0
model1_data92	CET_level	0.05
model1_data93	CET_level	0.1
model1_data94	CET_level	1.0
