experimentId	observableId	measurement	time	observableParameters	noiseParameters
experiment__model1_data1___model1_data10	EGFR_ID3_HS746T_FM	0.821985861912803	3.0	s_EGFR_ID3_HS746T_FM	0.10060149107816
experiment__model1_data1___model1_data10	pEGFR_ID3_HS746T_FM	0.805463483870859	3.0	s_pEGFR_ID3_HS746T_FM	0.039344860581271
experiment__model1_data4___model1_data100	pEGFR_ID6_MKN1_HM_15min	0.237164694374052	15.0	s_pEGFR_ID6_MKN1_HM_15min	0.042689544547682
experiment__model1_data4___model1_data101	pEGFR_ID6_MKN1_HM_240min	0.173033863849875	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data4___model1_data102	pEGFR_ID6_MKN1_HM_240min	0.138783362985189	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data4___model1_data103	pEGFR_ID6_MKN1_HM_240min	0.119006852717629	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data4___model1_data104	pEGFR_ID6_MKN1_HM_240min	0.121862090942131	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data4___model1_data105	pEGFR_ID6_MKN1_HM_240min	0.104078182508054	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data4___model1_data106	pEGFR_ID6_MKN1_HM_240min	0.919290225150477	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data4___model1_data107	pEGFR_ID6_MKN1_HM_240min	0.838343617853035	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data4___model1_data108	pEGFR_ID6_MKN1_HM_240min	0.794975931631834	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data4___model1_data109	pEGFR_ID6_MKN1_HM_240min	0.742716175036726	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data1___model1_data11	EGFR_ID3_HS746T_FM	0.917712001049899	3.0	s_EGFR_ID3_HS746T_FM	0.10060149107816
experiment__model1_data1___model1_data11	pEGFR_ID3_HS746T_FM	0.663087172439741	3.0	s_pEGFR_ID3_HS746T_FM	0.039344860581271
experiment__model1_data4___model1_data110	pEGFR_ID6_MKN1_HM_240min	0.420651839255958	240.0	s_pEGFR_ID6_MKN1_HM_240min	0.059552188376648
experiment__model1_data1___model1_data111	pAKT_ID7_HS746T_FM_1min	0.883636088411126	1.0	s_pAKT_ID7_HS746T_FM_1min	0.1117116205816
experiment__model1_data1___model1_data111	pEGFR_ID7_HS746T_FM_1min	0.653126827053342	1.0	s_pEGFR_ID7_HS746T_FM_1min	0.097604025421469
experiment__model1_data1___model1_data111	pMAPK_ID7_HS746T_FM_1min	0.78601649317293	1.0	s_pMAPK_ID7_HS746T_FM_1min	0.049425092311007
experiment__model1_data1___model1_data112	pAKT_ID7_HS746T_FM_1min	0.871972994502037	1.0	s_pAKT_ID7_HS746T_FM_1min	0.1117116205816
experiment__model1_data1___model1_data112	pEGFR_ID7_HS746T_FM_1min	0.714772285036694	1.0	s_pEGFR_ID7_HS746T_FM_1min	0.097604025421469
experiment__model1_data1___model1_data112	pMAPK_ID7_HS746T_FM_1min	0.785445635600442	1.0	s_pMAPK_ID7_HS746T_FM_1min	0.049425092311007
experiment__model1_data1___model1_data113	pAKT_ID7_HS746T_FM_1min	0.981166589787904	1.0	s_pAKT_ID7_HS746T_FM_1min	0.1117116205816
experiment__model1_data1___model1_data113	pEGFR_ID7_HS746T_FM_1min	0.822327737639841	1.0	s_pEGFR_ID7_HS746T_FM_1min	0.097604025421469
experiment__model1_data1___model1_data113	pMAPK_ID7_HS746T_FM_1min	0.839008638763662	1.0	s_pMAPK_ID7_HS746T_FM_1min	0.049425092311007
experiment__model1_data1___model1_data114	pAKT_ID7_HS746T_FM_1min	0.924646109262353	1.0	s_pAKT_ID7_HS746T_FM_1min	0.1117116205816
experiment__model1_data1___model1_data114	pEGFR_ID7_HS746T_FM_1min	0.733090541530877	1.0	s_pEGFR_ID7_HS746T_FM_1min	0.097604025421469
experiment__model1_data1___model1_data114	pMAPK_ID7_HS746T_FM_1min	0.852410267772029	1.0	s_pMAPK_ID7_HS746T_FM_1min	0.049425092311007
experiment__model1_data1___model1_data115	pAKT_ID7_HS746T_FM_1min	0.858955130557409	1.0	s_pAKT_ID7_HS746T_FM_1min	0.1117116205816
experiment__model1_data1___model1_data115	pEGFR_ID7_HS746T_FM_1min	0.787181082619548	1.0	s_pEGFR_ID7_HS746T_FM_1min	0.097604025421469
experiment__model1_data1___model1_data115	pMAPK_ID7_HS746T_FM_1min	0.867822345509882	1.0	s_pMAPK_ID7_HS746T_FM_1min	0.049425092311007
experiment__model1_data1___model1_data116	pAKT_ID7_HS746T_FM_1min	0.946112484317893	1.0	s_pAKT_ID7_HS746T_FM_1min	0.1117116205816
experiment__model1_data1___model1_data116	pEGFR_ID7_HS746T_FM_1min	0.832316447301198	1.0	s_pEGFR_ID7_HS746T_FM_1min	0.097604025421469
experiment__model1_data1___model1_data116	pMAPK_ID7_HS746T_FM_1min	0.869960537966817	1.0	s_pMAPK_ID7_HS746T_FM_1min	0.049425092311007
experiment__model1_data1___model1_data117	pAKT_ID7_HS746T_FM_3min	0.996131105905826	3.0	s_pAKT_ID7_HS746T_FM_3min	0.084556264402854
experiment__model1_data1___model1_data117	pEGFR_ID7_HS746T_FM_3min	0.680310728168658	3.0	s_pEGFR_ID7_HS746T_FM_3min	0.083993516100831
experiment__model1_data1___model1_data117	pMAPK_ID7_HS746T_FM_3min	0.924597027826001	3.0	s_pMAPK_ID7_HS746T_FM_3min	0.077310689567689
experiment__model1_data1___model1_data118	pAKT_ID7_HS746T_FM_3min	0.767641618599231	3.0	s_pAKT_ID7_HS746T_FM_3min	0.084556264402854
experiment__model1_data1___model1_data118	pEGFR_ID7_HS746T_FM_3min	0.587797033138118	3.0	s_pEGFR_ID7_HS746T_FM_3min	0.083993516100831
experiment__model1_data1___model1_data118	pMAPK_ID7_HS746T_FM_3min	0.773167793634191	3.0	s_pMAPK_ID7_HS746T_FM_3min	0.077310689567689
experiment__model1_data1___model1_data119	pAKT_ID7_HS746T_FM_3min	0.770259355008459	3.0	s_pAKT_ID7_HS746T_FM_3min	0.084556264402854
experiment__model1_data1___model1_data119	pEGFR_ID7_HS746T_FM_3min	0.508340087374219	3.0	s_pEGFR_ID7_HS746T_FM_3min	0.083993516100831
experiment__model1_data1___model1_data119	pMAPK_ID7_HS746T_FM_3min	0.736179493085878	3.0	s_pMAPK_ID7_HS746T_FM_3min	0.077310689567689
experiment__model1_data1___model1_data12	EGFR_ID3_HS746T_FM	0.95966917103708	3.0	s_EGFR_ID3_HS746T_FM	0.10060149107816
experiment__model1_data1___model1_data12	pEGFR_ID3_HS746T_FM	0.632836255219639	3.0	s_pEGFR_ID3_HS746T_FM	0.039344860581271
experiment__model1_data1___model1_data120	pAKT_ID7_HS746T_FM_3min	1.01236581964604	3.0	s_pAKT_ID7_HS746T_FM_3min	0.084556264402854
experiment__model1_data1___model1_data120	pEGFR_ID7_HS746T_FM_3min	0.799189456047867	3.0	s_pEGFR_ID7_HS746T_FM_3min	0.083993516100831
experiment__model1_data1___model1_data120	pMAPK_ID7_HS746T_FM_3min	1.01894103188794	3.0	s_pMAPK_ID7_HS746T_FM_3min	0.077310689567689
experiment__model1_data1___model1_data121	pAKT_ID7_HS746T_FM_3min	0.8226065451338	3.0	s_pAKT_ID7_HS746T_FM_3min	0.084556264402854
experiment__model1_data1___model1_data121	pEGFR_ID7_HS746T_FM_3min	0.628505486701751	3.0	s_pEGFR_ID7_HS746T_FM_3min	0.083993516100831
experiment__model1_data1___model1_data121	pMAPK_ID7_HS746T_FM_3min	0.86035263326662	3.0	s_pMAPK_ID7_HS746T_FM_3min	0.077310689567689
experiment__model1_data1___model1_data122	pAKT_ID7_HS746T_FM_3min	0.840220784761375	3.0	s_pAKT_ID7_HS746T_FM_3min	0.084556264402854
experiment__model1_data1___model1_data122	pEGFR_ID7_HS746T_FM_3min	0.564971668257901	3.0	s_pEGFR_ID7_HS746T_FM_3min	0.083993516100831
