observableId	observableName	observableFormula	noiseFormula	noiseDistribution	observablePlaceholders	noisePlaceholders
EGFR_ID10_HS746T_FM_EGF_CET	EGFR_ID10_HS746T_FM_EGF_CET	observableParameter1_EGFR_ID10_HS746T_FM_EGF_CET*(EGFR + EGFR_EGF + EGFR_CET + 2*EGFR_EGF_2 + EGFR_MMET_METinh + MMET_EGFR + 2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_EGFR_ID10_HS746T_FM_EGF_CET		observableParameter1_EGFR_ID10_HS746T_FM_EGF_CET	noiseParameter1_EGFR_ID10_HS746T_FM_EGF_CET
EGFR_ID10_HS746T_FM_EGF	EGFR_ID10_HS746T_FM_EGF	observableParameter1_EGFR_ID10_HS746T_FM_EGF*(EGFR + EGFR_EGF + EGFR_CET + 2*EGFR_EGF_2 + EGFR_MMET_METinh + MMET_EGFR + 2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_EGFR_ID10_HS746T_FM_EGF		observableParameter1_EGFR_ID10_HS746T_FM_EGF	noiseParameter1_EGFR_ID10_HS746T_FM_EGF
EGFR_ID12_MKN1_FM_HM	EGFR_ID12_MKN1_FM_HM	observableParameter1_EGFR_ID12_MKN1_FM_HM*(EGFR + EGFR_EGF + EGFR_CET + 2*EGFR_EGF_2 + EGFR_MMET_METinh + MMET_EGFR + 2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_EGFR_ID12_MKN1_FM_HM		observableParameter1_EGFR_ID12_MKN1_FM_HM	noiseParameter1_EGFR_ID12_MKN1_FM_HM
EGFR_ID3_HS746T_FM	EGFR_ID3_HS746T_FM	observableParameter1_EGFR_ID3_HS746T_FM*(EGFR + EGFR_EGF + EGFR_CET + 2*EGFR_EGF_2 + EGFR_MMET_METinh + MMET_EGFR + 2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_EGFR_ID3_HS746T_FM		observableParameter1_EGFR_ID3_HS746T_FM	noiseParameter1_EGFR_ID3_HS746T_FM
EGFR_ID3_MKN1_FM	EGFR_ID3_MKN1_FM	observableParameter1_EGFR_ID3_MKN1_FM*(EGFR + EGFR_EGF + EGFR_CET + 2*EGFR_EGF_2 + EGFR_MMET_METinh + MMET_EGFR + 2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_EGFR_ID3_MKN1_FM		observableParameter1_EGFR_ID3_MKN1_FM	noiseParameter1_EGFR_ID3_MKN1_FM
EGFR_ID4_HS746T_HM_3min	EGFR_ID4_HS746T_HM_3min	observableParameter1_EGFR_ID4_HS746T_HM_3min*(EGFR + EGFR_EGF + EGFR_CET + 2*EGFR_EGF_2 + EGFR_MMET_METinh + MMET_EGFR + 2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_EGFR_ID4_HS746T_HM_3min		observableParameter1_EGFR_ID4_HS746T_HM_3min	noiseParameter1_EGFR_ID4_HS746T_HM_3min
EGFR_ID4_MKN1_HM_3min	EGFR_ID4_MKN1_HM_3min	observableParameter1_EGFR_ID4_MKN1_HM_3min*(EGFR + EGFR_EGF + EGFR_CET + 2*EGFR_EGF_2 + EGFR_MMET_METinh + MMET_EGFR + 2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_EGFR_ID4_MKN1_HM_3min		observableParameter1_EGFR_ID4_MKN1_HM_3min	noiseParameter1_EGFR_ID4_MKN1_HM_3min
MMET_ID10_HS746T_FM_EGF_CET	MMET_ID10_HS746T_FM_EGF_CET	observableParameter1_MMET_ID10_HS746T_FM_EGF_CET*(EGFR_MMET_METinh + MMET + 2*MMET_2 + MMET_EGFR + MMET_METinh + 2*MMET_METinh_2 + 2*MMET_MMET_METinh + 2*pMMET_2 + 2*pMMET_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_MMET_ID10_HS746T_FM_EGF_CET		observableParameter1_MMET_ID10_HS746T_FM_EGF_CET	noiseParameter1_MMET_ID10_HS746T_FM_EGF_CET
MMET_ID10_HS746T_FM_EGF	MMET_ID10_HS746T_FM_EGF	observableParameter1_MMET_ID10_HS746T_FM_EGF*(EGFR_MMET_METinh + MMET + 2*MMET_2 + MMET_EGFR + MMET_METinh + 2*MMET_METinh_2 + 2*MMET_MMET_METinh + 2*pMMET_2 + 2*pMMET_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_MMET_ID10_HS746T_FM_EGF		observableParameter1_MMET_ID10_HS746T_FM_EGF	noiseParameter1_MMET_ID10_HS746T_FM_EGF
pAKT_ID12_MKN1_FM_HM	pAKT_ID12_MKN1_FM_HM	pAKT*observableParameter1_pAKT_ID12_MKN1_FM_HM	noiseParameter1_pAKT_ID12_MKN1_FM_HM		observableParameter1_pAKT_ID12_MKN1_FM_HM	noiseParameter1_pAKT_ID12_MKN1_FM_HM
pAKT_ID2_HS746T_HM	pAKT_ID2_HS746T_HM	pAKT*observableParameter1_pAKT_ID2_HS746T_HM	noiseParameter1_pAKT_ID2_HS746T_HM		observableParameter1_pAKT_ID2_HS746T_HM	noiseParameter1_pAKT_ID2_HS746T_HM
pAKT_ID2_MKN1_HM	pAKT_ID2_MKN1_HM	pAKT*observableParameter1_pAKT_ID2_MKN1_HM	noiseParameter1_pAKT_ID2_MKN1_HM		observableParameter1_pAKT_ID2_MKN1_HM	noiseParameter1_pAKT_ID2_MKN1_HM
pAKT_ID5_MKN1_FM_15min	pAKT_ID5_MKN1_FM_15min	pAKT*observableParameter1_pAKT_ID5_MKN1_FM_15min	noiseParameter1_pAKT_ID5_MKN1_FM_15min		observableParameter1_pAKT_ID5_MKN1_FM_15min	noiseParameter1_pAKT_ID5_MKN1_FM_15min
pAKT_ID5_MKN1_FM_1min	pAKT_ID5_MKN1_FM_1min	pAKT*observableParameter1_pAKT_ID5_MKN1_FM_1min	noiseParameter1_pAKT_ID5_MKN1_FM_1min		observableParameter1_pAKT_ID5_MKN1_FM_1min	noiseParameter1_pAKT_ID5_MKN1_FM_1min
pAKT_ID5_MKN1_FM_240min	pAKT_ID5_MKN1_FM_240min	pAKT*observableParameter1_pAKT_ID5_MKN1_FM_240min	noiseParameter1_pAKT_ID5_MKN1_FM_240min		observableParameter1_pAKT_ID5_MKN1_FM_240min	noiseParameter1_pAKT_ID5_MKN1_FM_240min
pAKT_ID5_MKN1_FM_3min	pAKT_ID5_MKN1_FM_3min	pAKT*observableParameter1_pAKT_ID5_MKN1_FM_3min	noiseParameter1_pAKT_ID5_MKN1_FM_3min		observableParameter1_pAKT_ID5_MKN1_FM_3min	noiseParameter1_pAKT_ID5_MKN1_FM_3min
pAKT_ID7_HS746T_FM_15min	pAKT_ID7_HS746T_FM_15min	pAKT*observableParameter1_pAKT_ID7_HS746T_FM_15min	noiseParameter1_pAKT_ID7_HS746T_FM_15min		observableParameter1_pAKT_ID7_HS746T_FM_15min	noiseParameter1_pAKT_ID7_HS746T_FM_15min
pAKT_ID7_HS746T_FM_1min	pAKT_ID7_HS746T_FM_1min	pAKT*observableParameter1_pAKT_ID7_HS746T_FM_1min	noiseParameter1_pAKT_ID7_HS746T_FM_1min		observableParameter1_pAKT_ID7_HS746T_FM_1min	noiseParameter1_pAKT_ID7_HS746T_FM_1min
pAKT_ID7_HS746T_FM_240min	pAKT_ID7_HS746T_FM_240min	pAKT*observableParameter1_pAKT_ID7_HS746T_FM_240min	noiseParameter1_pAKT_ID7_HS746T_FM_240min		observableParameter1_pAKT_ID7_HS746T_FM_240min	noiseParameter1_pAKT_ID7_HS746T_FM_240min
pAKT_ID7_HS746T_FM_3min	pAKT_ID7_HS746T_FM_3min	pAKT*observableParameter1_pAKT_ID7_HS746T_FM_3min	noiseParameter1_pAKT_ID7_HS746T_FM_3min		observableParameter1_pAKT_ID7_HS746T_FM_3min	noiseParameter1_pAKT_ID7_HS746T_FM_3min
pAKT_ID8_HS746T_HM_15min	pAKT_ID8_HS746T_HM_15min	pAKT*observableParameter1_pAKT_ID8_HS746T_HM_15min	noiseParameter1_pAKT_ID8_HS746T_HM_15min		observableParameter1_pAKT_ID8_HS746T_HM_15min	noiseParameter1_pAKT_ID8_HS746T_HM_15min
pAKT_ID8_HS746T_HM_1min	pAKT_ID8_HS746T_HM_1min	pAKT*observableParameter1_pAKT_ID8_HS746T_HM_1min	noiseParameter1_pAKT_ID8_HS746T_HM_1min		observableParameter1_pAKT_ID8_HS746T_HM_1min	noiseParameter1_pAKT_ID8_HS746T_HM_1min
pAKT_ID8_HS746T_HM_240min	pAKT_ID8_HS746T_HM_240min	pAKT*observableParameter1_pAKT_ID8_HS746T_HM_240min	noiseParameter1_pAKT_ID8_HS746T_HM_240min		observableParameter1_pAKT_ID8_HS746T_HM_240min	noiseParameter1_pAKT_ID8_HS746T_HM_240min
pAKT_ID8_HS746T_HM_3min	pAKT_ID8_HS746T_HM_3min	pAKT*observableParameter1_pAKT_ID8_HS746T_HM_3min	noiseParameter1_pAKT_ID8_HS746T_HM_3min		observableParameter1_pAKT_ID8_HS746T_HM_3min	noiseParameter1_pAKT_ID8_HS746T_HM_3min
pAKT_ID9_HS746T_FM	pAKT_ID9_HS746T_FM	pAKT*observableParameter1_pAKT_ID9_HS746T_FM	noiseParameter1_pAKT_ID9_HS746T_FM		observableParameter1_pAKT_ID9_HS746T_FM	noiseParameter1_pAKT_ID9_HS746T_FM
pAKT_ID9_HS746T_HM_30EGF	pAKT_ID9_HS746T_HM_30EGF	pAKT*observableParameter1_pAKT_ID9_HS746T_HM_30EGF	noiseParameter1_pAKT_ID9_HS746T_HM_30EGF		observableParameter1_pAKT_ID9_HS746T_HM_30EGF	noiseParameter1_pAKT_ID9_HS746T_HM_30EGF
pAKT_ID9_HS746T_HM_5EGF	pAKT_ID9_HS746T_HM_5EGF	pAKT*observableParameter1_pAKT_ID9_HS746T_HM_5EGF	noiseParameter1_pAKT_ID9_HS746T_HM_5EGF		observableParameter1_pAKT_ID9_HS746T_HM_5EGF	noiseParameter1_pAKT_ID9_HS746T_HM_5EGF
