parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorDistribution	priorParameters
AKTtotal__MKN1_fm	AKTtotal__MKN1_fm	1e-05	1000	1.0	false	uniform	1e-05;1000
KD_EGFR_CET	KD_EGFR_CET	0.001	1000	0.218012149340634	true	log10-normal	-0.4089;0.2
KD_EGFR_EGF	KD_EGFR_EGF	0.001	1000	0.320759905034371	true	log10-normal	0.3010;0.2
KD_METinh	KD_METinh	1e-05	1000	0.041936901194249	true	uniform	1e-05;1000
MAPKtotal__MKN1_fm	MAPKtotal__MKN1_fm	1e-05	1000	1.0	false	uniform	1e-05;1000
MPI3Ktotal__MKN1_fm	MPI3Ktotal__MKN1_fm	1e-05	1000	1.0	false	uniform	1e-05;1000
PI3Ktotal__HS746T_fm	PI3Ktotal__HS746T_fm	1e-05	1000	1.0	false	uniform	1e-05;1000
RAStotal__MKN1_fm	RAStotal__MKN1_fm	1e-05	1000	1.0	false	uniform	1e-05;1000
d_AKTtotal__MKN1_2_HS746T	d_AKTtotal__MKN1_2_HS746T	-3.0	3	0.0	true	laplace	0;3
d_AKTtotal__fm_2_hm	d_AKTtotal__fm_2_hm	-3.0	3	0.822922669170335	true	laplace	0;3
d_MAPKtotal__MKN1_2_HS746T	d_MAPKtotal__MKN1_2_HS746T	-3.0	3	0.0	true	laplace	0;3
d_MAPKtotal__fm_2_hm	d_MAPKtotal__fm_2_hm	-3.0	3	0.427450996540987	true	laplace	0;3
d_MPI3Ktotal__fm_2_hm	d_MPI3Ktotal__fm_2_hm	-3.0	3	-1.54468079589527	true	laplace	0;3
d_PI3Ktotal__fm_2_hm	d_PI3Ktotal__fm_2_hm	-3.0	3	-0.53183572852766	true	laplace	0;3
d_RAStotal__MKN1_2_HS746T	d_RAStotal__MKN1_2_HS746T	-3.0	3	-1.06e-22	true	laplace	0;3
d_RAStotal__fm_2_hm	d_RAStotal__fm_2_hm	-3.0	3	-0.538190130449678	true	laplace	0;3
d_ka_AKT__MKN1_2_HS746T	d_ka_AKT__MKN1_2_HS746T	-3.0	3	0.0	false	laplace	0;3
d_ka_MAPK__MKN1_2_HS746T	d_ka_MAPK__MKN1_2_HS746T	-3.0	3	0.0	false	laplace	0;3
d_ka_RAS__basal__MKN1_2_HS746T	d_ka_RAS__basal__MKN1_2_HS746T	-3.0	3	0.0	false	laplace	0;3
d_ka_RAS__pEGFR_EGF_2__MKN1_2_HS746T	d_ka_RAS__pEGFR_EGF_2__MKN1_2_HS746T	-3.0	3	0.0	false	laplace	0;3
d_kdeg_membran__MKN1_2_HS746T	d_kdeg_membran__MKN1_2_HS746T	-3.0	3	-0.599975506316473	true	laplace	0;3
d_kdeg_pEGFR_EGF_2_i__MKN1_2_HS746T	d_kdeg_pEGFR_EGF_2_i__MKN1_2_HS746T	-3.0	3	2.99999999999997	true	laplace	0;3
d_kexp_pEGFR_EGF_2_i__MKN1_2_HS746T	d_kexp_pEGFR_EGF_2_i__MKN1_2_HS746T	-3.0	3	-0.23823693668421	true	laplace	0;3
d_ki_AKT__MKN1_2_HS746T	d_ki_AKT__MKN1_2_HS746T	-3.0	3	0.0	false	laplace	0;3
d_ki_PI3K__MKN1_2_HS746T	d_ki_PI3K__MKN1_2_HS746T	-3.0	3	0.0	false	laplace	0;3
