conditionId	targetId	targetValue
model1_data1	init_Ins	0.0
model1_data2	init_Ins	0.1
model1_data3	init_Ins	1.0
model1_data4	init_Ins	10.0
model1_data5	init_Ins	100.0
model1_data6	init_Ins	1000.0
model1_data7	init_Ins	10000.0
model1_data8	init_Ins	0.0
model1_data9	init_Ins	10.0
model1_data10	init_Ins	10000.0
model1_data11	init_Ins	0.0
model1_data12	init_Ins	10.0
model1_data13	init_Ins	100.0
model1_data14	init_Ins	0.0
model1_data15	init_Ins	10.0
model1_data16	init_Ins	100.0
model1_data17	init_Ins	0.0
model1_data18	init_Ins	100.0
model1_data19	init_Ins	10000.0
