experimentId	time	conditionId
experiment____model1_data1	0	model1_data1
experiment____model1_data10	0	model1_data10
experiment____model1_data11	0	model1_data11
experiment____model1_data12	0	model1_data12
experiment____model1_data13	0	model1_data13
experiment____model1_data14	0	model1_data14
experiment____model1_data15	0	model1_data15
experiment____model1_data16	0	model1_data16
experiment____model1_data17	0	model1_data17
experiment____model1_data18	0	model1_data18
experiment____model1_data19	0	model1_data19
experiment____model1_data2	0	model1_data2
experiment____model1_data3	0	model1_data3
experiment____model1_data4	0	model1_data4
experiment____model1_data5	0	model1_data5
experiment____model1_data6	0	model1_data6
experiment____model1_data7	0	model1_data7
experiment____model1_data8	0	model1_data8
experiment____model1_data9	0	model1_data9
