experimentId	observableId	measurement	time	observableParameters	noiseParameters	datasetId
experiment____model1_data1	observable_IRsum	2.35234490985703	0.0	offset;scale	IR_obs_std	model1_data1_IRsum
experiment____model1_data10	observable_Insulin	2850.76923100002	0.25	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2762.307692	0.25	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2250.76923099998	0.5	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2031.53846199998	0.5	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2796.92307700002	1.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2720.00000000001	1.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3439.23076899997	2.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3223.84615399998	2.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3343.07692300003	3.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3189.230769	3.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3416.15384599999	4.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3281.53846200004	4.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2927.69230800001	5.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2920.00000000001	5.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3154.61538500002	7.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2935.38461500002	7.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2462.30769200002	10.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2350.76923100001	10.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3550.76923099997	15.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3081.53846200002	15.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3212.307692	20.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3162.30769200002	20.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3196.92307699998	25.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3246.92307699999	25.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3146.92307699998	30.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3146.92307699998	30.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3996.92307699998	40.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3646.92307699999	40.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3116.153846	50.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	3043.07692300002	50.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2631.53846200003	60.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data10	observable_Insulin	2543.07692300003	60.0	offset_nExpID1;scaleElisa_nExpID1;fragments;km_nExpID1	std	model1_data10_Insulin
experiment____model1_data11	observable_Insulin	0.021957	15.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data11_Insulin
experiment____model1_data11	observable_Insulin	0.022826	15.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data11_Insulin
experiment____model1_data12	observable_Insulin	1.105435	0.25	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.042391	0.25	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.177174	0.5	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.133696	0.5	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.342391	1.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.272826	1.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.340217	2.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.294565	2.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.005435	3.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.011957	3.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.053261	4.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.044565	4.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.209783	5.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.118478	5.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.444565	7.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.379348	7.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.33587	10.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.290217	10.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.072826	15.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.079348	15.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.240217	20.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.21413	20.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.681522	25.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.718478	25.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.640217	30.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.681522	30.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.625	40.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.527174	40.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.838043	50.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.494565	50.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.420652	60.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data12	observable_Insulin	1.396739	60.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data12_Insulin
experiment____model1_data13	observable_Insulin	18.8423910000001	0.25	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	18.13587	0.25	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	21.5163039999998	0.5	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	22.1249999999998	0.5	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	17.3423909999998	1.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	16.679348	1.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	14.6576089999999	2.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	13.9619569999999	2.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	20.0489129999999	3.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	19.940217	3.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	9.20108699999999	4.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	8.23369599999999	4.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	22.63587	5.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	22.4945650000001	5.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	13.4076090000001	7.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	12.722826	7.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	14.9945649999998	10.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
experiment____model1_data13	observable_Insulin	14.7445650000001	10.0	offset_nExpID2;scaleElisa_nExpID2;fragments;km_nExpID2	std	model1_data13_Insulin
