parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorDistribution	priorParameters
IR_obs_std	IR_{obs,std}	1e-05	0.056234132519035	0.04718566713256	true	uniform	1e-05;0.056234132519035
fragments	fragments	0.0	1.0	0.999999072086866	true	uniform	0.0;1.0
ini_R1	ini_{R1}	1e-05	1000.0	58.8503656504712	true	log10-normal	1.809765366817905;3
ini_R2fold	ini_{R2fold}	1e-05	1000.0	15.6091614910056	true	log10-normal	1.196922192866968;3
ka1	ka1	1e-05	1000.0	0.003799559577141	true	log10-normal	-4.006774320046476;3
ka2fold	ka2fold	1e-05	1000.0	4.90235664339923	true	log10-normal	-0.018613892336092;3
kd1	kd1	1e-05	1000.0	9.1452569352756	true	log10-normal	-0.917792647716124;3
kd2fold	kd2fold	1e-05	1000.0	6.94256361634239	true	log10-normal	-0.105608820817629;3
kin	kin	1e-05	1000.0	0.371867742056691	true	uniform	1e-05;1000.0
kin2	kin2	1e-05	1000.0	0.538281644062314	true	uniform	1e-05;1000.0
km_nExpID1	km_{nExpID1}	1000.0	100000000.0	99999998.6188564	true	uniform	1000.0;100000000.0
km_nExpID2	km_{nExpID2}	1000.0	100000000.0	99999999.9262277	true	uniform	1000.0;100000000.0
km_nExpID3	km_{nExpID3}	1000.0	100000000.0	99999999.4830626	true	uniform	1000.0;100000000.0
km_nExpID4	km_{nExpID4}	1000.0	100000000.0	99999999.7688987	true	uniform	1000.0;100000000.0
koff_unspec	koff_{unspec}	1e-05	1000.0	10.0574365310404	true	uniform	1e-05;1000.0
kon_unspec	kon_{unspec}	1e-05	1000.0	20.2497851212426	true	uniform	1e-05;1000.0
kout	kout	1e-05	1000.0	0.045075006384889	true	uniform	1e-05;1000.0
kout2	kout2	1e-05	1000.0	0.035429930979713	true	uniform	1e-05;1000.0
kout_frag	kout_{frag}	1e-05	1000.0	0.011016106452567	true	uniform	1e-05;1000.0
offset	offset	1e-05	1000.0	14.6162752309182	true	uniform	1e-05;1000.0
offset_nExpID1	offset_{nExpID1}	1e-05	100000.0	0.025125178785146	true	uniform	1e-05;100000.0
offset_nExpID2	offset_{nExpID2}	1e-05	100000.0	0.021744798213588	true	uniform	1e-05;100000.0
offset_nExpID3	offset_{nExpID3}	1e-05	100000.0	0.007316811299973	true	uniform	1e-05;100000.0
offset_nExpID4	offset_{nExpID4}	1e-05	100000.0	1.56710171943085	true	uniform	1e-05;100000.0
scale	scale	1e-05	1000.0	0.131806990818741	true	uniform	1e-05;1000.0
scaleElisa_nExpID1	scaleElisa_{nExpID1}	0.1	1.0	0.538009450729947	true	uniform	0.1;1.0
scaleElisa_nExpID2	scaleElisa_{nExpID2}	0.1	1.0	0.569911881220408	true	uniform	0.1;1.0
scaleElisa_nExpID3	scaleElisa_{nExpID3}	0.1	1.0	0.100000000170598	true	uniform	0.1;1.0
scaleElisa_nExpID4	scaleElisa_{nExpID4}	0.1	1.0	0.999999999951202	true	uniform	0.1;1.0
std	std	1e-05	1000.0	0.24832414992796	true	uniform	1e-05;1000.0
